,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,WDF1,WDFM,WSF1,WSFM
0,1960.0,2.812450580133507,1.6943762538274731,0.08696210068161286,0.3896813665106348,0.14831444526566478,8.47143487722756,7.751994538884783,9.184967532467534,18.127450653456748,13.519180627412336,3.367117117117117,3.1293189368770764,,539.7633691889943,104.94341410366118,0.06687938498283326,6.185859829825348,0.18702501202501204,21.511535925760064,10.096424839528288,2.2704199217130254,32.435549688179,335.39,611.2588042549556,129.99231729672135,,,17.48753664014213,26.592344587085968,8.589709805360668,4419.9,205.78484848484848,18.118636363636366,,,,,,,,,,,,,,
0,1961.0,3.5451733938576044,2.209522348996033,0.15326661642451114,0.5043367451262187,0.24419881157686035,13.53091674407464,12.877912839193327,10.42984283260599,24.768993375046005,28.150534379802675,3.4893518518518523,4.783143304270064,,532.2866258162301,100.1407298304068,0.08839512442864397,6.012139148870993,0.41693692713245795,20.549126540746656,9.486592380307465,1.998667581642442,31.33057742226737,311.4875,592.2733366026334,136.84343900481542,,,16.94761169479709,25.576654776012322,8.373411410594372,4828.142857142857,204.19090909090912,18.05378787878788,,,,,,,,,,,,,,
0,1962.0,3.3413610309443644,1.986676716141002,0.08194043610710276,0.2903740966982073,0.1524493804255709,6.471823970934643,6.929316549852265,9.058352487459631,19.450723318788793,13.94519801186468,1.9320833333333334,2.5921289028431884,,485.9440233377734,100.3191309581684,0.050072533849129595,4.789901484449357,0.1145511648185445,21.828961309041524,9.819301880531826,2.5178445933499125,32.77024019800758,232.92455667789,666.79486304294,114.72033491909161,,,17.75515998024554,26.629311397010593,8.936289481056768,2701.284455667789,203.9340909090909,18.89727272727273,,,,,,,,,,,,,,
0,1963.0,3.219940115440116,2.1157493506493505,0.20137460317460318,0.18891467746889432,0.10989107946939271,4.931280823148294,8.037122516038178,12.57935215007215,26.33752008658009,11.06340846792654,1.2122222222222223,3.2597908322207387,,456.9276075379646,105.30675672475672,0.04084952084952085,5.435369630369631,0.07047008547008546,21.985926850926848,9.776267066267065,3.3760654345654344,32.36674494024494,221.00406144781144,544.6304453414454,114.78757842157842,11.329166666666667,22.168333333333333,17.91242602952603,26.627146706996708,9.141463406963407,2771.532551707552,207.51439393939395,18.490121212121217,,,,,,,,,,,,,,
0,1964.0,3.5763048131849784,2.3102245894601268,0.1875952559836857,0.30373898369766134,0.2581234422143513,9.965953215746604,13.517064088345082,12.089144425363433,26.416269200267134,24.56622392758756,1.5809523809523809,4.517941317941318,,462.2069645693231,94.86726393635604,0.15357522594364698,7.174547732968787,0.19003271306936226,19.79970932209152,8.868533880313985,1.2946653375863901,31.653175774196715,242.3675310800311,757.3740389527459,149.60339916078073,9.963517831374974,24.372647907647906,16.407964897091215,25.105573149218433,7.733032053618896,2770.872766122766,195.63636363636365,18.792727272727273,,,,,,,,,,,,,,
0,1965.0,4.824954351204352,3.2787158674658676,0.3096556221556222,0.3259954193093728,0.24469613074264235,10.111943074152375,11.267881892009797,16.391914446664444,40.17542087079587,25.205475155765857,2.2583333333333333,4.0047358834244084,,422.5124481670341,84.7247573953824,0.09355724613077554,6.044493782361429,0.2125526978468155,20.031160342925048,8.402592804798687,0.8717965014288545,31.62662058257646,220.74478354978353,652.0764482294295,139.75856437271878,11.264236111111112,25.99761458333333,16.347704062685683,24.870367845117844,7.799872674574881,2587.837188208617,203.3090909090909,20.76690909090909,,,,1.222222222222222,19694.727272727272,,,,,86.56363636363636,,241.3636363636364,,13.827272727272724
0,1966.0,3.428480668361621,2.116633025263978,0.1858054753888087,0.3079681274900399,0.16271414141414142,9.801018149623728,9.056722799422802,12.204552998808952,25.745057090176132,14.229264790764791,2.5277777777777777,3.7673405856595505,,483.4427028313567,98.23352099714344,0.1570721795211591,6.538311872367995,0.25783122772918693,21.419260020025327,9.15399899137144,1.3828962548222752,31.238469719056454,245.65146536796536,674.2438962441879,134.17999738640046,11.23559375,26.8093125,17.017112022189824,25.873608166210204,8.182374957667049,2660.6613468013466,204.25454545454545,18.561818181818182,,,,2.25,19979.454545454544,,,,,88.34545454545454,,233.1818181818182,,13.981818181818182
0,1967.0,4.056851763863959,2.6161280341158393,0.2459081230422694,0.42906823335394767,0.286280841198874,21.68081632653061,13.990084096231636,13.826149253862665,32.59058415162074,39.87383909351122,2.5,5.048159819483348,,415.1055994281771,91.58611938605495,0.0887535145267104,6.8270257806340275,0.24238128709778195,21.070370866247156,8.396866864521504,1.6957091905803248,31.27413975915265,230.3088123582766,706.4817176150975,136.35056820041356,10.782314814814814,25.408214285714287,16.771586022225197,25.588958006054654,7.979302126567591,2527.1161281179134,195.65454545454548,19.419999999999998,,,,2.111111111111111,19712.727272727272,,,,,87.19090909090909,,286.3636363636364,,14.827272727272726
0,1968.0,3.4650662331624673,2.2313227915738376,0.15470107530776983,0.3903350734233087,0.16864394396039964,9.511497629354773,7.952938060532997,11.392698865523133,23.909461817819558,16.598093046194315,1.5972222222222223,3.3997420634920634,,402.8122126253377,84.82987583205325,0.10514980837561483,6.161904761904763,0.13990747814277224,20.55610555516973,8.140828259678527,1.2213391208552498,31.392688053182702,228.46874310330193,637.6642991044903,135.24728467470405,10.138619047619047,26.479002645502646,16.605161705379448,25.367906199118767,7.8484119381216155,2441.785650623886,199.5090909090909,18.720000000000002,,,,1.0,20820.0,,,,,91.74545454545454,,265.90909090909093,,13.97272727272727
0,1969.0,3.9474958792950425,2.506272377088276,0.11908731668145893,0.3761971736655281,0.22502465888541834,10.424737124104212,9.773278292265635,11.079156629052028,24.772057635530437,20.387717896262203,2.0180555555555557,4.923400297619048,,487.79798520923526,99.14730479397146,0.05351397573619795,6.10632725593043,0.1262813318368874,20.226279995724443,9.073652053413959,2.2673553562839275,32.04524385960894,242.21960784313728,709.0105141414141,136.25204177069259,10.712093795093795,26.567647907647906,16.991671551112024,25.54364217572551,8.444834402223291,2281.599168152109,189.4909090909091,19.98977272727273,,,,1.4583333333333333,20216.18181818182,,,,,89.01818181818182,,261.8181818181818,,13.936363636363636
