,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,HN02,HX02,LN02,LX02,MN02,MX02,WDF1,WSF1,WDFM,WSFM
0,1960.0,5.643743358769721,4.164299218648955,0.8408138629579753,0.06224721863667096,0.07248449946620678,2.1797795398201076,4.465109060993208,32.368912556394974,74.28384498493708,5.7824368100282735,4.072380694702123,3.5168322008511885,,703.4631158892129,134.1701641646384,0.0071192696192696175,3.321848984348984,0.19350125183458516,22.31627415794083,9.93941074357741,5.491154154487487,33.045583074333074,176.22102870813396,541.7491219008264,95.16879408740996,,,19.551434255559254,26.03719212731713,13.099508082966416,4753.902475886687,232.24421296296296,19.237950336700337,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,5.13371401989823,3.7003027138553453,0.8214598364598366,0.0691137079294974,0.0724870657797487,2.849535844272686,5.02231460950973,32.627190178729656,69.19801330346068,6.990301387862363,4.229802899121081,3.236817993190542,,619.5108808756997,122.88109011243387,0.016565656565656565,2.7647903138528136,0.14628968253968253,23.09335963804714,8.671482383357384,5.879255321067821,32.350396179052424,156.4767876984127,508.91416958232037,84.41248137626263,,,19.46420954635642,26.014537333152955,12.853394650372774,3911.161742424242,245.7840909090909,20.148354176687512,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,4.811666400340897,3.491581805591873,0.722372151524836,0.01762829833847108,0.02751954180525609,0.7551425967932686,1.8163721467292897,27.81588747615174,59.723826163117266,1.9345840506554792,4.169839499287352,3.5315480337032064,,780.0766413970443,147.3618340496988,0.0034347029008950716,2.2725113360344675,0.06342004180082472,23.982754848947025,11.186633749801011,6.326390634869282,33.70962042899765,181.8695375523947,436.2288304219652,71.60488031047639,,,20.814972227357458,27.63633821951082,13.95405471080916,3641.944660894661,212.83847202180536,18.47197393186524,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,4.153009982282134,2.9525668643943965,0.573191967139752,0.06779396348668106,0.06333893784786641,2.0966753938778804,2.803756248711606,24.71429770695198,47.73644038143643,3.704671201814059,2.974986168120883,3.202829392829393,,818.8651274276955,143.88798860351577,0.0009003775776938715,4.054211674019981,0.21677120359228982,23.17380652716116,11.107825401435624,5.68074248878562,33.588726136306,188.19320577200574,455.2056357580911,93.4846178812313,14.504479166666668,26.632444444444445,19.940973485424763,27.006557435376127,12.877342078936328,3530.587480519481,203.2708894500561,18.740634606938958,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,4.628582189749113,3.316001257886884,0.6816773386325164,0.03747640767536961,0.03301623627144459,2.2355247981545556,2.5320007490580405,29.226839943930365,58.07624106487708,3.4398465683621935,7.183663019079685,3.3046088647892766,,688.9982590890176,131.85899276279275,0.003834355828220858,3.7574510441841733,0.07636130536130535,23.015034965034964,9.65682228882229,5.071929981232128,32.641558152958154,178.31646945646946,501.36418097521647,92.11051660561661,15.286094324194325,27.383129292929297,19.573438372738373,26.532674443334443,12.633464623226125,4190.306191163334,201.16847041847043,19.011201437451437,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,5.259904095726779,3.719627355250359,0.8081033405713917,0.031546673023945745,0.03846682998704088,1.2469542452496998,1.9050846780635886,30.816986904646647,65.80725580197226,2.24219923310433,9.331762065095399,3.715639074729984,,669.5143175166048,132.46602918838985,0.0,2.66563151354818,0.05800139832647573,23.28208165243769,9.842802416022229,5.974322390572391,32.72982286375475,186.1405022446689,462.3128798863174,77.73016164520034,16.54026515151515,28.256874777183604,20.058748367129947,26.74554809930352,13.416387405804073,3541.60544332211,199.91468253968256,18.83687950937951,,,,3.9364177489177483,13455.818181818182,,,,,59.56363636363637,,,,,,,,,,334.8863636363636,14.21590909090909,144.0,15.029999999999998
0,1966.0,4.9808945131470725,3.651000866785849,0.7907561721554895,0.048355027436660085,0.047999407999407995,2.081462094217196,3.504215290881958,29.264171505400174,65.97150895842876,4.06664915331582,9.244689754689754,3.749068024681522,,639.0171602500211,123.39096480679814,0.0011223344556677889,3.4287745176634066,0.07728497497016015,23.32760608732831,8.688568110558851,5.212363950350062,32.689094850622624,190.99140852974188,483.5000234372109,83.6952378280156,15.600364145658265,27.835743612596556,19.544728389494594,26.39486250512176,12.684340523845153,3616.7703583453585,219.62711732711733,18.94592074592075,,,,2.7800595238095234,13048.90909090909,,,,,58.23636363636364,,,,,,,,,,209.0909090909091,10.2,250.22727272727275,12.672727272727274
0,1967.0,5.022816315569317,3.617042762840361,0.727092847118576,0.03145810748025399,0.024510596498548302,0.7427597955706985,0.9914836836523582,29.841344621168812,64.73010013761728,1.2849432361480555,8.548923214832305,3.298779773617436,,739.4740827369908,128.7791328801407,0.0,2.7669570707070705,0.06677951388888889,24.31424986471861,8.883350468975468,5.07007776424964,33.29099503968254,201.95196168029503,483.3091295575579,73.91784353580448,15.197216301672183,27.22647812155165,20.060800040584418,27.01017610930736,13.109798390151514,3930.726430976431,241.07303030303032,19.391732323232326,,,,3.242916666666666,13248.0,,,,,58.3,,,,,,,,,,210.9090909090909,13.136363636363637,237.27272727272728,14.109090909090908
0,1968.0,6.153361509706688,4.506987508637255,0.9061304976279595,0.06135302605890841,0.06985639220487705,2.0685374755962993,3.3118580587014925,32.399775278772736,76.64687519380412,4.497050045913682,9.445821854912763,3.8413540163540163,,597.8371336046752,115.3675756105615,0.001994870333428327,3.4364190494284537,0.10231581375782002,22.518791135719038,7.864009214401064,5.213429944315525,31.807396829920336,172.41477236652236,574.7868489167996,92.47306272532762,14.756723905723906,26.85298849607183,19.005876302207025,25.666464164710245,12.345006591892956,3527.881489898989,225.5170101010101,18.754363636363635,,,,2.593230625583567,12468.545454545454,,,,,55.5,,,,,,,,,,238.1818181818182,12.518181818181818,229.0909090909091,15.11818181818182
0,1969.0,5.562457912457912,4.150013742870886,0.9175007484956466,0.05251840438281116,0.04737871070638474,1.726266050333847,2.495040386890981,33.87223184836705,74.79670020786092,3.9499562689715493,10.492526455026455,3.3636884147598436,,679.9736282213483,131.7836385534948,0.00028951939779965256,2.6673196937528147,0.06624390873592151,22.552790801672593,9.84205761402247,6.311807968217204,33.21824715664172,177.9436919191919,523.8990727536806,86.80809316349253,14.438391233766234,26.686866883116878,19.729648946101822,26.49997288148486,12.961291454122664,3401.5004797979805,195.66307070707072,19.16196507936508,,,,3.7346560846560846,14941.51948051948,,,,,65.17532467532467,,,,,,,,,,187.5974025974026,12.994155844155845,188.1818181818182,15.08181818181818
