,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,WDFM,WSFM
0,1960.0,9.92946386946387,6.393644133644134,1.144079254079254,1.7629886779886779,0.6018170718170718,27.516988011988012,32.52671939171939,36.854727272727274,100.9352634032634,60.01051559551559,3.8006410256410263,2.1289021164021165,,104.44834054834055,19.786233766233767,0.4588744588744589,10.892784992784993,2.162534435261708,11.820247933884298,0.09504132231404959,-3.7994083694083693,23.848691460055093,119.85,1658.0879268879269,269.66109668109664,,,10.003135642135641,15.656232782369147,3.8486305916305916,,,,,,,,,,,,,,,
0,1961.0,10.183164983164984,7.068686868686869,0.8686868686868686,1.3283690075356744,0.5846941638608305,29.37001630057186,32.15652356902357,32.27414141414141,95.33897306397306,57.30563037785261,4.76413610898905,2.1135204081632653,,154.0338787878788,30.809104651961796,0.4926887926887927,10.307118807118806,1.29165120593692,12.545392702535558,0.5795299938157081,-4.481885521885522,25.001397649969075,118.975,1591.958556998557,255.07487116058542,,,10.739808493094207,16.591227581941865,4.956619047619047,,,,,,,,,,,,,,,
0,1962.0,9.436492194674013,6.2065932047750225,0.7583103764921948,1.9292502282298198,0.7578488971346115,29.403407986571253,27.169470212327354,31.565595959595964,83.4149954086318,60.177741702741706,3.796046176046176,2.3988095238095237,,91.62521645021646,17.11093270365998,0.7294306703397613,12.276984126984127,2.5068149022694475,11.164456250819889,0.2289912108093926,-6.203881017971927,24.89639512003148,135.0,1609.0377835497834,294.79008067689887,,,8.956238357601995,15.096078118850848,2.8571625344352616,,,,,,,,,,,,,,,
0,1963.0,8.711663807890222,5.965351629502574,0.7927958833619212,1.9034686487516677,0.6239456560211278,23.102782542405187,21.237223991940976,29.309485420240144,82.79641509433962,50.23085844972638,4.422574955908289,2.447904761904762,,111.44432900432899,21.658917748917748,0.8493506493506493,10.304761904761904,2.740692640692641,12.944155844155844,0.9233766233766234,-4.896060606060606,24.786147186147186,110.95,1519.25601886209,267.5984848484849,,,10.04356277056277,16.462112554112554,3.6197662337662333,,,,,,,,,,,,,,,
0,1964.0,8.707539026629936,5.5825619834710745,0.5172681359044995,2.444638694638695,0.7272727272727273,42.93014763014764,34.81928374655647,24.821418732782373,71.05451285583105,67.88377716559533,,2.365888278388278,,105.5686002886003,22.840113636363636,0.20867768595041322,10.438337924701562,1.4883838383838386,12.75964187327824,0.805119375573921,-4.742561983471075,25.840220385674932,132.16000000000005,1757.9158189033187,261.5774896694215,,,10.314825068870523,16.78052640036731,3.984647842056934,,,,,,,,,,,,,,,
0,1965.0,8.683922558922559,5.321703142536476,0.5790591096146652,1.4145975887911373,0.6592765894236482,28.61151026392962,19.87792632204397,25.477771230826782,65.35232463524129,36.16304961378491,,2.239554531490015,,113.3109657802515,23.858854166666664,0.2582912457912458,12.1996632996633,1.3581965488215488,11.61199494949495,0.5415509259259258,-5.322735690235691,24.069297138047137,141.9333333333333,1484.4525886415172,280.007821969697,,,9.793071022727274,15.922270833333334,3.6279850589225586,,,,,,,,15092.181818181818,,,,,65.74545454545455,278.1818181818182,13.145454545454545
0,1966.0,9.011779835390948,5.514113355780023,0.9016086793864572,1.6291475359657177,0.5447439511393,26.991169268441997,35.90776368334508,32.40403713056491,80.28455667789001,59.42608644585388,2.0,2.9424242424242424,,144.96582467532465,28.53102766798419,0.17527272727272725,9.681454545454546,1.199621212121212,11.792803030303029,1.0484848484848486,-3.507018181818182,25.44178030303031,137.14,1457.612918660287,238.1874308300395,,,10.868166666666667,17.138136363636363,4.748880000000001,2605.25,,,,,,,14426.727272727272,,,,,63.25454545454545,274.09090909090907,11.772727272727272
0,1967.0,10.670954545454544,7.5114090909090905,0.8960909090909093,2.2387106357694595,1.167902711323764,43.16803327391563,50.76963716108453,30.308200000000003,98.75061363636364,120.50450558213716,,2.1923333333333335,,132.59665071770334,23.426747474747476,0.7609090909090909,12.224545454545453,2.725925925925926,10.15978835978836,0.2554112554112554,-6.72409090909091,22.93098605098605,101.13333333333333,1669.7420033670032,301.6850909090909,12.472,26.258,8.697881818181818,14.040513708513707,2.8965818181818186,2465.0,,,,,,,14039.454545454546,,,,,61.61818181818182,274.09090909090907,13.090909090909092
0,1968.0,9.18955512572534,5.7363260262196425,1.2179776488287126,1.2431892453951277,0.3985810485810486,14.502800059417707,17.12041847041847,38.39741833225876,99.91337040618957,29.002549302549305,3.0,2.810923141186299,,125.91709956709957,25.99864433811802,0.4185007974481659,9.937161084529507,1.9218500797448166,12.486762360446571,0.8115364167995747,-3.9750132908027647,24.864226475279107,125.76000000000002,1470.1319434951013,262.00709197235517,13.546,26.85,10.418451355661881,16.650958001063266,4.186662413609783,2457.2,,,,,,,14679.272727272728,,,,,64.0090909090909,253.63636363636363,13.445454545454544
0,1969.0,10.038604797979799,6.843771043771043,1.3826704545454547,2.3184175084175083,0.8608901515151516,46.50303030303031,44.98437499999999,40.28910984848485,110.1270970117845,102.98249158249159,,2.4800324675324674,,151.53210298473456,25.285082644628098,0.14917355371900823,10.314095500459135,1.4747474747474747,11.793388429752065,0.5137741046831955,-4.5213636363636365,24.793250688705232,115.075,1618.75754917597,264.6772038567493,15.063333333333334,27.653333333333336,10.341558769513314,16.05186409550046,4.661275941230486,1924.8,,,,,,,14416.5,,,,,62.475,292.5,13.975
