,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,WDF1,WDFM,WSF1,WSFM,HN01,LN01,MN01,HN02,HX02,LN02,LX02,MN02,MX02,HN03,HX03,LN03,LX03,MN03,MX03
0,1960.0,10.018899425913814,7.225383070167243,1.607226945716154,0.0,0.0,0.0,0.0,47.9780840003322,140.0292347161232,0.0,5.3390052819298095,7.305533164153854,,774.2622396250869,150.20723451219212,0.0,0.9570184288404628,0.0,26.005765279917824,6.992917981265439,10.15350181598063,31.50419748330765,137.15272727272728,214.87184726336042,40.763047515102606,,,21.915644706752758,27.424305619756893,16.440286646733682,2037.8757575757577,226.50281005544164,18.559168375484173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,7.928512677798392,5.523149866007009,1.0859415584415586,0.0,0.0,0.0,0.0,34.604355236033804,93.70542857142856,0.0,6.199563091229758,6.338811042758412,,774.4417187041081,150.39334200346806,0.0,0.40487679920453035,0.0,27.719713946184534,7.354008573126221,10.002645421805084,32.28310096765979,146.78070247933883,213.4175851925852,24.80057962578971,,,22.467140544096424,28.19360364145658,16.739922326506363,1827.371212121212,202.94668489405328,18.610443153337894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,8.784885548241713,6.091366453181521,1.1602030579770308,0.0,0.0,0.0,0.0,36.58432739824863,102.97885029354208,0.0,6.869160529225465,6.449840314913844,,842.625215114104,152.48386581832148,0.0,0.6532972582972584,0.010327272727272727,26.479417027417032,8.801401154401155,9.188939191919193,32.22747950937951,135.2453271728272,188.45684230503798,34.93473417935112,,,22.17770856277056,27.903399145743148,16.436535096681098,1922.1252525252526,247.66770334928228,17.347819548872177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,8.578796708342162,5.968411386593204,1.286377763650491,0.0,0.0,0.0,0.0,41.400815674224766,109.8711519036519,0.0,6.204487141473443,6.710698600915992,,853.5426962614348,150.82959971374603,0.0,0.938951946878776,0.0,25.753264644118303,8.127651955090979,9.943994357043138,31.846582755546173,144.00109168609168,239.47519116737604,40.65778511010218,16.171666666666667,26.14166666666667,21.914181618742596,27.507915921702512,16.314811653116532,2096.742032570604,212.24148629148632,19.322208994708994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,9.118992371265097,6.429504838595747,1.496715405806315,0.0,0.0,0.0,0.0,48.60445963127781,126.51444497421768,0.0,10.81496632996633,5.083335645835646,,791.4838497809959,151.8274555462459,0.0,0.4094289670902574,0.0,26.532308976865426,6.688990713587488,10.975373289345063,31.772521994134898,143.87306915306914,240.70382291033116,28.569994646930134,18.757323232323234,29.77636363636363,22.392005396709028,27.626178335777123,17.176602028348,2575.4472402597403,220.25752259436473,18.614938862307284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,9.439869134696723,6.744590486142211,1.4132477484201622,0.0,0.0,0.0,0.0,40.67984661889834,119.68128180823008,0.0,11.401103628881408,6.23475328683662,,780.5447434119279,153.71623577363496,0.0,0.4577107480333287,0.0,27.18225981008239,6.2186577759158395,10.892686106456267,31.728323150863474,135.95620999915118,153.01783140933142,25.805769096494906,18.996032467532466,30.631029220779215,22.551586920472,27.846312564004098,17.21572196329656,2329.3352272727275,208.866028708134,17.747511961722488,,,,4.4739718614718615,13801.636363636364,,,,,60.84734848484849,179.54545454545456,198.0,12.413636363636364,12.93,,,,,,,,,,,,,,,
0,1966.0,9.2481081519125,6.527859861555514,1.450628960411569,0.0,0.0,0.0,0.0,41.49776677227764,118.87151538678712,0.0,9.877104377104377,6.618239080143842,,742.0837494208135,140.81864559639982,0.0,0.68577176119549,0.0,26.264420010428413,5.551669152509489,9.780335681267886,31.14445687365855,133.03283501683504,228.94890252459058,34.44950525228068,18.69889256198347,29.31754545454545,21.80005779343068,27.042784210653956,16.50032663499401,4719.878172026386,222.32034632034635,17.44588744588745,,,,2.6607623857623857,13651.636363636364,,,,,61.1090909090909,221.81818181818184,249.54545454545453,12.763636363636364,13.045454545454543,,,,,,,,,,,,,,,
0,1967.0,8.116371732593107,5.770458400801912,1.2465340427172489,0.0,0.0,0.0,0.0,39.786043449764826,106.10326817796283,0.0,10.745707070707072,6.96935700834006,,831.1257697255575,143.7955505308184,0.0,0.5566829004329004,0.0,27.555256739327536,6.274951793535864,9.900349283652856,31.863983003230796,145.91372912801484,216.79963103254772,26.28236639352711,18.006462626262625,30.040990909090908,22.17378807526799,27.868583483379943,16.421335678210678,2250.0391414141413,211.0861244019139,16.605837320574164,,,,3.316743626743626,14379.409090909092,,,,,64.31363636363636,164.54545454545453,188.1818181818182,12.627272727272727,13.018181818181818,,,,,,,,,,,,,,,
0,1968.0,8.720213498622591,6.425321122480213,1.5155262035943855,0.0,0.0,0.0,0.00202020202020202,40.71996493615812,121.69828189907736,0.00202020202020202,10.627797202797202,5.832033388067871,,738.63054135101,142.3719138924006,0.0,1.5265145130189377,0.0,25.266953351466626,7.027642097332363,9.026589025527079,31.65723942969518,138.44396103896105,278.90192090811024,50.934072169227036,16.927536363636364,29.492663636363638,21.341263101942303,27.188975018835638,15.492075543679526,2068.883922558922,211.6658236500342,17.3022305764411,,,,3.37131398013751,15270.954545454546,,,,,67.49545454545455,185.9090909090909,163.63636363636363,13.131818181818183,12.27272727272727,,,,,,,,,,,,,,,
0,1969.0,9.77829475860972,7.049882685118905,1.737345899944325,0.0,0.0,0.0,0.0,48.53315060049312,136.66878429968983,0.0,9.832917082917083,5.933803574593049,,770.858375974026,147.13336285528945,0.0,0.6941408941408942,0.0,24.83490095762823,6.909533648170012,10.764619684619685,31.23536691591237,131.21200396825398,253.36702100757927,43.52210837073223,16.278605667060212,28.067590318772137,21.6150955988456,27.00194432638069,16.18040353990354,2031.3209790209792,174.93759820426487,18.289938271604942,,,,2.2927637721755367,13857.409090909092,,,,,61.659090909090914,207.27272727272728,167.72727272727272,13.254545454545452,14.19090909090909,,,,,,,,,,,,,,,
