,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,HN02,HX02,LN02,LX02,MN02,MX02,WDF1,WSF1
0,1967.0,7.693697848045675,4.459898501927487,0.30282779485678035,1.8675687176900768,0.7913969795037756,49.588607643704734,27.994997303128372,13.209083589518372,47.88156929892437,61.81861086594096,4.166666666666667,2.1872813411078718,,85.95172441325015,20.201405914546157,0.2541924031253299,11.263240858057932,0.9341797768627036,11.56227035159962,3.356911668954352,-4.086467198113539,24.913363359201774,165.69444444444446,1158.810644702054,260.73922594850944,9.634545454545457,19.55909090909091,10.132932651867103,17.803840279977475,2.44634681307852,1804.901818181818,212.8181818181818,16.490909090909092,,,,,,,,,,,,,,,,,,,,295.5555555555556,12.355555555555554
0,1968.0,9.139584494163701,5.782989370365608,0.5200177160573201,1.5066878809416122,0.6123107406689495,35.00402748163942,15.635986194568284,16.964594548740585,70.66744890560484,45.39572412109725,3.8285714285714287,2.4275280898876406,,59.24668554681328,13.323396738634079,0.10391806261371479,10.887756222383551,0.7697401227464519,10.24767749831041,1.9768624308181268,-4.78885698152779,25.342813578826235,152.704,1322.8602970177972,265.3156238241365,9.51090909090909,19.326363636363634,9.846806738268763,17.058702469998355,2.6204555044679267,1856.8109090909088,238.0909090909091,17.881818181818183,,,,,,,,,,,,,,,,,,,,230.9090909090909,11.742424242424244
0,1969.0,7.818345057720057,4.749104617604618,0.37139357864357864,2.410794816855423,0.64291362397423,71.13049597708688,19.754016354016354,15.871473593073592,54.74295504799237,46.1562575611818,3.35,3.1165564373897703,,55.630370817812675,11.500714875620536,0.05066545962772378,11.063756386869594,0.5475242088449636,11.457169629811139,1.7776901993883125,-3.9698736012415257,25.039050523201468,151.47648484848483,1236.212130857183,262.1566122364707,9.683,18.486363636363635,9.927766553676932,17.316723780936044,2.519156252552479,1474.24,201.8181818181818,16.436363636363637,,,,,,,,,,,,,,,,,,,,266.3636363636364,11.031818181818181
0,1970.0,8.28140139612221,5.092184535712454,0.48105328118018476,1.832919294467518,0.7911266398576043,46.14994451403081,26.063256019220486,15.33159405878949,61.296276763281845,61.77800997648714,6.8055555555555545,2.531585156585156,,76.74844115480478,16.184542052532557,0.10686201983670338,11.64558834274024,0.7907227793303743,10.706432087602975,2.8285125212340403,-4.071680754196577,25.179502689645094,154.9731818181818,1352.9461852244506,270.3074287860522,7.572121212121211,17.57393939393939,9.778869798801761,17.267517222404884,2.303402081392588,1435.8444805194806,203.75,18.6125,,,,,,,,,,,,,,,,,,,,235.75757575757575,12.47272727272727
0,1971.0,9.495761365458335,6.030280620053348,0.6181032912093518,2.454243669472096,1.2060618879146798,71.35380088045063,33.678384094754655,19.537402834258895,76.56177061014182,98.26665512998,1.75,2.3955053449951405,,72.48071486502144,16.124759953533538,0.10547932151705736,11.847919899806692,1.0477710619220053,10.203349079292474,2.3100059444399066,-5.256952181291803,24.317958856307914,151.6974891774892,1457.4016524303436,287.0133148874187,9.565132275132276,21.31281385281385,9.206131460607876,16.302504181527766,2.1620740536542424,1427.5488311688312,,,,,,,,,,,,,,,,,,,,,,243.33333333333334,10.339999999999998
0,1972.0,8.884333874458875,5.348334054834055,0.47109325396825397,2.145656311862342,0.7443327749860413,57.90810618750318,26.715491599411198,16.725197871572874,64.66109258900305,56.94871707019948,,2.384318181818182,,73.78058227126408,14.950815760585701,0.6425891252578368,10.451311980453085,1.4211235935162314,10.804207057427917,2.249356403650882,-6.353678569215378,25.639723461609965,137.8386904761905,1507.74223873442,275.56990020715483,10.27809523809524,23.0459126984127,9.58712567834347,16.8712587332572,2.348388472808718,1726.1919642857142,,,,,,,,,,,,,,,,,,,,,,273.1313131313131,11.633333333333335
0,1973.0,8.90603808205331,5.586404472571985,0.5622772320741863,1.5096292596292595,0.7442294742294742,39.38575776075776,23.210226995226996,15.856729733887095,70.97865271643191,60.59656991156991,,1.8418207282913166,,68.30628419766175,14.951709472776546,0.009295552931916567,9.586918754646028,0.3210695808256784,10.60467611656636,2.400952908879738,-3.358589006952643,24.909164994896706,155.998,1358.3226465392845,252.9965178571429,10.36374458874459,24.687207792207793,10.299961307324113,17.415088212261992,3.2440191022781937,1706.8080952380956,,,,,,,,,,,,,,,,,,,,,,238.78787878787878,12.02651515151515
0,1974.0,7.915192636954295,4.771821097727834,0.5181203223949337,1.3788143713924963,0.6276036029942279,46.11855891504329,18.857988365800868,14.912791740498996,61.677712581028636,48.86771058802308,,2.0347896440129447,,70.564880368067,15.471852453102453,0.08036455705167361,10.432380775325562,0.5090038390964318,11.449501630057187,2.5219576719576717,-3.886455174001186,24.889775243617837,173.0566419294991,1269.7938586245969,256.17586386350274,11.151921768707483,25.441299319727893,10.256057904886609,17.675210522330893,2.846245237209961,1698.5136363636364,285.0,19.2,,,,,,,,,,,,,,,,,,,,273.3333333333333,11.218181818181819
0,1975.0,9.69173041831772,6.045823312489978,0.48394813593226294,2.228542261520985,1.0801261091154708,62.044300336188634,30.81561185563845,17.487312180764558,71.44042742237187,78.45401392342882,,2.3143571428571432,,56.366926573426575,11.183408410248035,0.06766166125541126,11.207242063492064,0.9552962662337663,9.906280212842713,1.4288965548340549,-4.244464939574315,24.224819624819624,163.08126984126983,1294.2416678345635,280.6376784012633,9.601738095238094,23.89779761904762,9.120383570075756,15.929147637085137,2.406642884199134,2552.237662337662,218.57142857142856,20.327272727272728,,,,,,,,,,,,,,,,,,,,214.28571428571428,14.645454545454545
0,1976.0,7.389757696007695,4.200223264389931,0.22914421997755333,0.9844492544492545,0.3647510822510822,28.45589706589707,12.325559163059163,13.302834836459835,43.620093915343915,26.806829004329003,,2.5466196355085247,,41.14352375798804,9.456587527056278,0.16143354729561626,11.006813205951136,0.4748972863556197,11.099431066618568,1.2537295073753407,-4.936013061650993,25.613171722182138,167.8717142857143,1449.9592106835948,261.19852092352096,9.457409523809524,23.984866666666665,9.86541303411095,17.42543056307119,2.3398007986266607,2460.907619047619,258.75,20.009090909090908,,,,,,,,,,,,,,,,,,,,207.27272727272728,13.53636363636364
