,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HN03,HN04,HN05,HN06,HX02,HX03,HX04,HX05,HX06,LN01,LN02,LN03,LN04,LN05,LN06,LX02,LX03,LX04,LX05,LX06,MN01,MN02,MN03,MN04,MN05,MN06,MX02,MX03,MX04,MX05,MX06,WDFM,WSFM,WDF1,WSF1
0,1960.0,8.937818979266348,6.085084396597554,1.1169059011164273,1.5228262353262356,0.5053804713804714,32.43113909363909,38.67367676767677,37.03309044391281,101.24533426368951,61.33937373737373,4.130899908172635,2.5633630952380955,,189.01767676767676,37.73325585399449,0.19163223140495866,9.119513314967861,1.7255624426078973,14.521906565656566,0.7579660238751148,-1.110196854912764,26.656186294765845,,1259.846900826446,227.90911157024792,,,11.920210801193754,17.785092573461892,6.090578168044078,,241.84848484848484,17.937373737373736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,9.9095674001924,7.110698753407087,0.8983420514670516,1.3406585423708712,0.4589688469825457,34.5755791772915,30.040435667832927,30.73550479998397,96.25657828282827,49.18015477673011,4.479910951621477,2.4736568986568988,,232.12560606060606,49.97554825665291,0.21078224101479914,7.763763884694118,0.8747994899157691,14.595149166079398,1.9675534413906506,-1.895991308433169,27.305622588006308,113.43333333333334,1403.319308030471,212.39855431390313,,,12.82719522467197,18.465738338534848,7.206325413604483,1706.0,260.8131313131313,21.574747474747472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,8.99182022932023,6.054426016926017,0.9779791154791155,1.5703750828750827,0.5826966576966577,17.55201142701143,17.250537713037712,33.54091762216762,90.76072686322688,35.49700040950041,4.0766233766233775,2.5323961499493417,,209.74221590909093,36.88309573002755,0.18982438016528924,8.934486914600551,1.5583677685950412,13.734125344352616,1.1427341597796143,-2.6674896694214874,27.508054407713498,126.86,1325.1632346189165,233.85193870523415,,,11.647806129476583,17.440068870523415,5.854725034435262,1150.6666666666667,226.01704545454547,19.716152597402598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,7.497778947778948,5.011510374010374,0.6772069147069147,1.5877069304152638,0.31083754208754205,22.17464576318743,14.627269219977554,27.396278128778132,73.31463227838228,24.858656004489333,3.7033081783081783,2.314134542705971,,186.9861419068736,37.77700183654729,0.2695133149678604,8.006290174471992,1.9611340679522498,14.488406795224977,1.6637741046831955,-1.9606244260789716,26.92956152433425,116.93999999999998,1579.1025327134985,222.94646464646468,,,12.031484389348027,18.30416988062443,5.82706955922865,939.8,261.79040404040404,18.739141414141415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,8.279779441237773,5.461911275452943,0.5878567420234087,1.035711237119688,0.4251935857569661,16.754882832347622,14.663861959636609,26.15383282227032,71.36589315776816,28.69683759120379,12.0,2.5392857142857137,,193.37280610987926,41.06558261183261,0.03246753246753246,8.535335497835499,0.8027056277056277,13.772077922077921,2.1447150072150074,-1.7013311688311692,27.487397186147184,158.04583333333335,1220.8955964405966,225.5064502164502,13.885,27.541666666666668,12.168703102453103,18.414446248196246,6.078782467532467,2072.5714285714284,290.95454545454544,18.724545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,8.479660894660896,5.3426154401154395,0.400494227994228,0.46546625677060455,0.2521007173181086,8.671146245059287,8.713102034841166,24.50405447330447,62.212112554112565,14.40272288098375,16.545454545454547,2.431611481611482,,187.0848210326259,45.71613700497034,0.09434343434343434,8.32391694725028,0.9814646464646464,13.845555555555555,2.043742985409652,-1.7784068462401794,26.31359427609428,124.78,1186.249814541519,215.68263588263588,14.201666666666666,27.935,12.500130022446688,18.415224074074075,6.300356621773287,1114.2,253.3181818181818,18.077272727272728,,,,4.45,13762.363636363636,,,,,60.19999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.90909090909093,15.527272727272726,,
0,1966.0,8.390126618295632,5.36784748897425,0.9014511310285958,1.4073677956030897,0.43962121212121213,34.21883541295306,24.949152236652235,34.84284535495803,84.61689002703088,46.06796897546898,8.295454545454545,2.3401761517615176,,240.41466942148764,49.20789033189033,0.08888888888888888,8.689177489177489,1.0444444444444445,12.746262626262624,2.808686868686869,-1.7578354978354984,26.879232323232323,105.1,1152.347457912458,226.01252813852815,12.861428571428572,25.72714285714285,12.361040115440113,18.322955555555552,6.302002886002886,1078.3333333333333,254.77272727272725,18.213636363636365,,,,3.636363636363636,13607.454545454546,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.54545454545456,12.972727272727274,238.57142857142856,13.8
0,1967.0,10.08095031952175,7.1191960420531855,1.0610554524840239,1.796487260666365,0.8835116172072695,37.16660636212875,37.86151316477404,33.945493351886206,102.88638543599258,81.5491028295376,9.484848484848484,2.549817674817675,,200.71464646464645,38.97608901515151,0.3015151515151515,9.538446969696968,1.58811553030303,12.548579545454544,0.8854166666666666,-2.699905303030303,25.68065340909091,112.11999999999998,1318.369660894661,244.97738162878787,13.745833333333334,26.14,11.26540246212121,17.014171875,5.398231060606061,2122.0,243.5181818181818,18.97954545454546,,,,5.2727272727272725,11675.454545454546,,,,,51.38181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.63636363636363,14.581818181818182,229.0909090909091,14.5
0,1968.0,7.99020029266508,5.272058106213036,0.9223797329431132,0.5529427680162974,0.2789172335600907,12.63460179526356,14.689935064935064,36.99290866410585,87.13551688921407,20.57778756957328,9.43030303030303,2.7983805233805232,,183.08292067011578,40.612875337223166,0.10474308300395255,7.899904322730411,1.4041501976284585,13.588888104648973,1.9153609072087332,-1.5211338540686368,26.340084697910786,149.94,1468.96693640955,226.24763520296128,15.4305,27.868666666666666,12.060363557939645,17.846676054018445,6.293652683668989,2018.9111111111113,252.1,19.785,,,,4.454545454545454,13773.272727272728,,,,,60.11818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.63636363636363,14.345454545454544,255.0,13.84
0,1969.0,8.993701298701298,6.360661719233149,1.134582560296846,1.502155887230514,0.474168182863835,28.85327905924921,29.50874166091557,36.373006184291896,102.24478293135437,52.52458121588556,9.447272727272727,2.7266917293233086,,233.34423503325942,43.747095444238305,0.060482374768089056,9.390630797773655,1.1303383691138793,13.894194864092823,1.2817416143946756,-1.752940630797774,25.94587441470095,132.84166666666667,1111.3222501202504,226.18303287981857,14.500833333333334,26.569047619047623,12.185678777571633,17.57589302647466,6.57008719851577,2162.598214285714,249.64040404040406,17.493265993265993,,,,2.75,13303.636363636364,,,,,57.70909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.54545454545453,14.518181818181818,284.54545454545456,12.8
0,1970.0,9.17001356852103,6.271777476255089,0.8728629579375848,1.1407567740901075,0.42490052035506576,23.40592432259099,18.08938628711356,31.772225237449117,89.98486431478969,30.2424012855831,11.977272727272728,3.09430114638448,,197.2054935720845,46.268712121212126,0.046413110698824984,8.612069676355393,1.1458964646464647,13.250526094276095,1.7691919191919192,-0.7508575551432696,25.84506523569023,145.58333333333334,1248.3554476740192,230.42461069023565,14.552142857142861,26.722380952380952,12.073805555555554,17.661762415824917,7.0107319109461965,1804.25,244.30303030303034,18.51212121212121,,,,4.267045454545455,11946.545454545454,,,,,52.27272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.72727272727275,14.672727272727274,258.3333333333333,13.933333333333335
0,1971.0,8.99430634469697,6.141110321969697,1.3401870265151516,0.7160457029309489,0.2946608946608946,15.5401390958768,15.356160241874527,46.21566051136364,113.9516453598485,22.078650450079024,11.079545454545453,2.8294892199303963,,208.5781118881119,39.77872093023256,0.1239669421487603,7.217906336088155,0.7813601127554615,13.618111346018324,1.2221282593375615,-0.7720179063360881,26.409837914023957,150.67777777777778,1147.4795104895104,214.0378928823115,15.613000000000001,26.367,12.362183579985906,18.013272727272728,6.933088842975207,1514.7499999999998,207.72727272727275,18.595454545454547,,,,3.6060606060606064,12620.181818181818,,,,,54.7090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.45454545454547,15.390909090909092,,
