,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,HN02,HN03,HX02,HX03,LN02,LN03,LX02,LX03,MN02,MN03,MX02,MX03,WDF1,WSF1,WDFM,WSFM
0,1960.0,7.8942730880230885,5.852448593073594,1.2060380591630593,0.0980023161551824,0.10536536248561565,5.543804284887087,9.25589758342923,37.98380681818181,100.30274981962482,11.229746835443038,4.333654108654108,4.527464494569758,,566.9880260589084,108.56293658810324,0.0021212121212121214,4.601809764309764,0.06919753086419753,20.91523569023569,8.040036475869808,3.593687991021324,30.991588945005617,165.4202380952381,648.0023866843032,116.76421127946128,,,17.949406144781143,24.520136840628506,11.407465656565657,2259.7239057239053,229.58636363636364,16.221818181818186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,9.385971402335038,7.459411430320521,2.0553203025930293,0.0,0.0,0.0,0.047202797202797214,50.560451265905805,157.50895806550352,0.047202797202797214,4.6904329004329,5.187545313764826,,467.4110654590119,90.27599374426079,0.0,2.4416580578512397,0.003099173553719008,21.95567033976125,5.1397612488521585,3.428939393939394,30.711309687786958,147.17666666666668,640.7109830240004,89.46630538337924,,,18.27365751262626,24.698743916437095,11.832664514462811,2372.5252525252527,261.02645502645504,18.495767195767197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,7.373661725479906,5.499002142638506,1.0338869211596484,0.019289044289044287,0.026172553561088593,0.970104895104895,1.6394325419803126,36.69507206261751,91.5652965586602,1.7280254777070065,4.983449883449883,4.426879910213244,,612.0231760204082,115.8643338683788,0.00865679264555669,3.043750101334371,0.11337735298409454,21.32828890834509,8.881088574347002,3.3306431084520973,31.49827314071696,155.01583333333335,633.402238169028,100.63397028065567,,,18.766727130859152,25.468193256805616,12.089427704006354,1719.3977272727273,166.10999999999999,14.591363636363639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,6.684044851025982,4.999799885648942,1.039225589225589,0.10314537782892214,0.08247728860936407,3.784369006520905,7.464891048853313,33.67747315926562,84.85471126357918,8.396216885839527,3.8703470879002797,4.077033320215138,,581.7166357270181,109.8514516039516,0.01683316683316683,5.081984681984682,0.26736874236874236,22.141486291486288,7.527886002886003,2.787789432789433,31.29357781107781,144.2185185185185,689.059343644082,108.25733405483406,,,18.270461649461648,25.166373931623934,11.352675990675989,2119.524242424243,248.20303030303032,16.004848484848488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,7.975728623817796,6.207231551180596,1.7150147976581094,0.0027680652680652676,0.0027504342790966993,0.11086829836829838,0.12695425593514764,51.690240783632504,132.5719129189989,0.12869137232194555,14.179292929292927,4.742530406101835,,560.0119133644134,99.43060663452708,0.0,3.402631427915519,0.04635847107438015,21.897187786960515,6.658651859504132,3.1496949609733704,30.538505222681362,173.13055555555556,650.02609636544,100.4185990587695,,,18.23580148071625,24.70156198347108,11.74483623163453,2129.6325757575755,231.33333333333334,17.19848484848485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,7.4218750287221615,5.517262938759754,1.1754441595205927,0.025420875420875417,0.02359261403847391,0.9642709142709143,1.2527118316927235,35.68581203297764,93.91968106910781,1.3835745994981665,10.638636363636364,5.142752715121136,,589.2851587752525,106.82528357410382,0.0,3.6069142468018875,0.025175105793083314,22.241498856948297,6.692386546038232,3.5123679005139676,30.792191132837196,162.56785714285715,584.3570929887107,93.19721338586508,,,18.715646383578967,25.128515204209027,12.244247247758484,1818.1401515151513,237.25252525252526,16.78535353535354,,,,2.757575757575758,14893.09090909091,,,,,65.28181818181818,,,,,,,,,,,,,,,,,,233.1818181818182,12.354545454545452
0,1966.0,7.774099520551134,5.888896336638272,1.3327151701345248,0.011143695014662756,0.006451612903225806,0.3237536656891496,0.21700879765395897,42.09911567285761,107.55941991341993,0.2363636363636364,17.454545454545453,4.621396103896104,,538.5773238195911,95.07789968652035,0.0,3.2606923089681707,0.014733542319749214,21.567364946675294,5.658101540860161,2.939017183327528,30.80149209666451,158.76666666666668,636.2316572447161,99.32671397886915,,,18.112368981274155,24.539844218042496,11.67449752035959,2559.4249158249163,222.78787878787878,16.04878787878788,,,,2.909090909090909,15101.454545454546,,,,,66.39090909090909,,,,,,,,,,,,,,,,,,216.8181818181818,12.390909090909089
0,1967.0,7.603475073313782,5.999261974584555,1.4133479960899318,0.024222873900293252,0.017126099706744866,1.1764809384164223,1.2245161290322581,42.82013636363636,114.22828934506354,1.2843401759530793,10.242424242424242,4.25981240981241,,480.3803451033571,88.77174176079349,0.0,3.5563218390804594,0.04848194589573899,22.24062463717636,4.013755369789852,3.3736891907581557,30.57359166376408,162.07083333333335,652.826491682009,93.26293704698877,,,18.09303073841867,24.702118454661562,11.477301753163822,2474.2640692640693,245.84848484848484,16.63030303030303,,,,3.875,11244.0,,,,,60.4,,,,,,,,,,,,,,,,,,360.0,18.3
0,1968.0,7.902695789059425,6.1741196754183765,1.3786904293397801,0.11829613388054944,0.1111111111111111,9.351519836584771,9.603324562148092,41.93482412248647,112.17166338711793,12.091724905450397,15.636363636363637,5.0033670033670035,,516.9628194161929,95.26909209744504,0.0,5.035258467023173,0.03574569221628044,20.703992869875222,6.201152703505645,2.931306001188354,29.922912655971476,159.75297619047618,687.9378977272727,117.08975401069519,,,17.539812715389186,24.171914676173497,10.911647177658944,2120.6636363636367,256.5218855218855,15.948148148148148,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
0,1969.0,6.964368854103954,5.3846093384172855,1.5413572814235066,0.0,0.000606060606060606,0.0,0.024848484848484852,45.044061475683996,112.1100274265837,0.024848484848484852,14.045454545454547,3.535299969390878,,513.7461916786916,99.00445031712475,0.0,3.973059079163731,0.002114164904862579,20.235239018087857,7.136128729151984,4.252438630490956,30.699924242424245,176.16904761904763,681.2845358924877,111.71155978388538,,,17.82575466878083,24.469163965233736,11.189168751468172,2169.8969696969702,242.4949494949495,18.13973063973064,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
