,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,HN02,HX02,LN02,LX02,MN02,MX02
0,1960.0,12.351358276643992,6.999072150072151,1.0308309626881056,0.0,0.00032237266279819466,0.0,0.024500322372662798,31.94153457019171,122.78368126971068,0.024500322372662798,3.6132756132756128,2.713888888888889,,728.4757447654387,126.5834922925399,0.0,0.05442176870748299,0.0,27.675709475709475,0.15648548981882315,15.559456011360774,28.41983285233285,176.28888888888886,49.536698150334516,12.719210815639386,,,22.157147312123502,26.17638259579926,18.152286538857965,3664.1666666666665,108.5909090909091,14.90909090909091,,,,,,,,,,,,,,,,,,,
0,1961.0,12.251591496358937,6.948595170978891,1.0133834189066746,0.0,0.0,0.0,0.0,35.10204222457129,122.20971632209951,0.0,3.1778571428571425,1.5989583333333333,,760.5728614267676,128.4363426593982,0.0,0.037037037037037035,0.0,27.53900579872802,0.15680882903105126,15.484741595852707,28.467111859334086,194.54545454545453,49.39300780918428,14.163313224841001,,,22.14954234808401,26.27587448559671,18.028376409598632,3739.636363636364,90.27272727272728,16.31363636363637,,,,,,,,,,,,,,,,,,,
0,1962.0,10.50295914950611,5.856395047555269,0.6875921806861034,0.0,0.0,0.0,0.0,24.74205721381136,93.02846916786918,0.0,2.250505050505051,1.4166666666666667,,721.1516071428572,122.83809323392656,0.0,0.05092592592592592,0.0,27.295931537598204,0.15656565656565657,14.612304593554594,28.31598925765593,193.2833333333333,87.67600108225106,19.721116121532788,,,21.767460557960558,26.06004008337342,17.476391915183584,2159.9333333333334,132.1818181818182,14.20909090909091,,,,,,,,,,,,,,,,,,,
0,1963.0,12.576017154788103,7.493702185461961,1.363272388691383,0.0,0.0,0.0,0.0,36.42681888719598,142.80595171168702,0.0,4.07864758698092,2.1549019607843136,,651.8463097643097,121.95868686868687,0.0,0.031144781144781145,0.0,27.44803489439853,0.08776859504132233,15.0291835016835,28.1775261707989,173.03636363636363,107.78589138134595,18.251047512158625,,,21.780208473625137,25.928282920110195,17.652711653572766,1062.3636363636365,110.72727272727273,15.963636363636365,,,,,,,,,,,,,,,,,,,
0,1964.0,12.727471924211056,7.591388597599778,1.2160325526785154,0.0,0.0,0.0,0.0,31.192543155602166,137.8477429991883,0.0,6.0,1.711111111111111,,754.6033474277662,118.55539099198673,0.0,0.061895551257253385,0.0,27.707405360596848,0.2147001934235977,15.288770378557613,27.890038684719535,189.82,101.2228329809725,17.435647969052226,20.5175,32.1775,21.66112240950539,25.689580547112467,17.631156396794694,1509.9,66.77272727272728,15.909090909090914,,,,,,,,,,,,,,,,,,,
0,1965.0,11.841090502728433,6.905061493423562,1.2898224859431755,0.0,0.0,0.0,0.0,41.6936698678078,149.48570872190274,0.0,1.0,1.7023809523809526,,651.2449783549785,110.66426708949966,0.0,0.10782241014799156,0.0,26.71470854726669,0.241014799154334,14.270813953488371,27.897041679250982,173.89999999999998,109.90967532467535,23.106955602537,19.26636363636364,31.563636363636363,21.212890415785765,25.430880096647538,17.01365503875969,948.818181818182,122.2962962962963,14.933333333333332,,,,,,,,,,,,,,,,,,,
0,1966.0,10.632021208765394,6.0773830497667705,0.9065419561059096,0.0,0.0,0.0,0.0,30.341780638612036,110.72272214721472,0.0,1.0,1.2846153846153845,,647.2196248196249,117.94697048120962,0.0,0.05830039525691699,0.0,27.228985507246374,0.4014492753623189,14.528454106280194,28.287185441370223,173.94545454545457,107.86464646464646,18.771220355731224,19.23818181818182,31.08909090909091,21.582064284145805,25.820409420289856,17.332506932680847,1876.888888888889,109.11111111111113,14.044444444444444,,,,,,,,,,,,,,,,,,,
0,1967.0,12.469004375254375,7.68948828948829,1.467572705072705,0.0,0.0,0.0,0.0,44.613723221223225,160.13576841639656,0.0,,1.6624007936507936,,747.5635804473304,127.3628905514775,0.0,0.04619565217391304,0.0,26.746809712027105,0.7118153585544889,14.798119941652551,28.467020986260117,175.77272727272728,94.4473829201102,22.543562252964424,20.535454545454545,32.062,21.769843261810653,25.96057180500659,17.5787500235272,1723.5454545454545,115.97402597402595,14.82813852813853,,,,,,,,,,,,,,,,,,,
0,1968.0,11.274656955178427,7.022026133375826,1.4894975167981304,0.0,0.0,0.0,0.0,46.467267304951356,159.1633776056177,0.0,,1.633015873015873,,803.9984770784771,145.8778216228216,0.0,0.04195804195804195,0.0,27.42094225219225,1.1374458874458875,15.358599664224666,29.088070332445334,163.86363636363637,88.01773593073592,20.18086732711733,20.687272727272727,33.050909090909094,22.464657640970138,26.72712137862138,18.20215293040293,1463.7272727272727,159.81060606060606,16.378030303030304,,,,,,,,,,,,,,,,,,,
0,1969.0,11.691640211640214,6.972457912457912,1.2527816257816258,0.0,0.0,0.0,0.0,34.526256325156325,136.70506129130501,0.0,,1.538961038961039,,659.1220391414141,126.7068039485767,0.0,0.10909090909090909,0.0,27.56457300275482,0.456198347107438,15.034236914600552,28.631290633608817,180.08181818181816,103.08867349970292,17.60315702479339,19.466363636363635,31.769090909090902,21.929116620752986,26.11905688705234,17.74817300275482,1590.909090909091,82.10606060606061,14.800000000000002,,,,,,,,,,,,,,,,,,,
