,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,WDF1,WSF1
0,1960.0,3.2736748436748435,1.8560432900432902,0.06626262626262625,1.5395026586807408,0.5335028365850283,19.31547470794046,20.836820257368203,8.456254064454063,17.063118903318905,41.95676283381763,1.584126984126984,2.8259136212624587,,187.28031578540507,41.60686261970353,0.285133805588351,13.18295126590581,0.5970582447855175,15.226951331496787,5.224749114521842,-5.714505280073461,27.446299029253574,272.11727272727273,1408.8775289201537,245.45050215357034,,,11.351770923520924,20.472812967335695,2.2525686956141504,3014.5545454545454,231.36363636363637,20.809090909090912,,,,,,,,,,,,,,,
0,1961.0,4.0632133018496654,2.0845209984820374,0.031946084218811496,1.1651643312827524,0.685808745348219,15.66914919875446,23.58600003797372,8.257030134367795,17.118320824197447,52.83201279714437,1.4790123456790125,3.6670370370370367,,185.29215418597,37.63741817981401,0.39310916706750043,14.439656986531986,1.0373622134038802,13.425728515311848,4.567811046977713,-6.549048671236172,26.27187920875421,254.27437770562773,1151.3532053556646,274.6409238215488,,,10.288679317981401,18.998379885161135,1.5391643769039602,2892.326388888889,260.6363636363637,21.633333333333336,,,,,,,,,,,,,,,
0,1962.0,3.534281122917487,1.85933781225989,0.051003541912632816,0.7768454489233709,0.4180426716141002,13.289855887258485,17.189472180056597,7.308086523865744,16.474546344708685,33.22581192256517,2.527314814814815,2.3093073593073594,,114.34231132075472,28.702240309158118,0.4669987546699876,13.559234220878055,0.782341516930558,14.949164344027357,3.9196292672320068,-6.697923560457807,26.867369734527273,244.50939393939393,1269.3240764208908,250.32271946470578,,,10.769871034216923,19.979805209630552,1.4555050505050506,2773.700568181818,251.24242424242425,19.76060606060606,,,,,,,,,,,,,,,
0,1963.0,4.796869691489945,2.7951312400679487,0.08353151770873289,0.6873993095512082,0.5114545089228634,16.610439841452497,25.187529910314723,10.286282947010797,24.778465030047307,43.32092352092353,2.256,3.106666666666667,,108.70476945276945,24.099778958415325,0.20250229568411385,12.71831955922865,0.5280171848353667,13.777395944603736,3.5403215831787267,-5.364496589269316,26.09287578943423,224.16482142857143,1219.4258124535397,256.03555817919454,8.285833333333333,20.394583333333333,10.506787714810443,19.36513187533967,1.7506423980060342,2510.3016233766234,228.030303030303,20.003030303030304,,,,,,,,,,,,,,,
0,1964.0,4.234330648254699,2.3775412351361718,0.08685590077995141,1.5701332826332826,0.6849787558120891,26.341377578877577,26.148089526214527,8.707736862293824,23.049598836465922,52.92854687750522,2.175,1.925654761904762,,91.44678500461286,25.31254714129714,0.7002890877890879,15.175903825903825,1.508285558285558,12.984858722358723,3.448027573027573,-7.974995953745955,25.59709561834562,255.22272727272727,1593.2753024666308,300.3877458464958,8.78,25.643500000000003,9.067960653835653,17.884712394212396,0.192055614055614,3059.7577922077926,222.3939393939394,20.081818181818182,,,,,,,,,,,,,,,
0,1965.0,5.0615987921543475,2.9509370601963196,0.08432072043183153,1.3975722836833948,0.4473496264635506,19.474056259241443,22.01192942079018,10.612414711488785,25.252563732563733,37.73325205034066,2.388888888888889,3.4974074074074073,,88.92752164502163,19.515210853960856,0.4035524660524661,14.314583564583566,1.0244671994671994,12.988748288748289,2.305884855884856,-6.950293225293224,25.49491230991231,224.13083333333333,1141.6001803751803,277.42950572575575,9.257337662337664,24.41136363636364,9.52882566970067,18.113612785362786,0.89300178987679,2672.4816666666666,220.5757575757576,19.394545454545455,,,,2.75,,,,,,,,,,,
0,1966.0,3.0057592975206613,1.546895497179588,0.05694362455726092,1.2398114370024482,0.394803145087236,16.971336965157192,15.236495638200184,7.6080324757313385,14.049390700839565,28.538446969696967,4.555555555555556,1.9955865272938442,,150.38937672982757,34.31796822908892,0.44852216748768475,12.77208123932262,1.061540694299315,15.645512597236735,4.751425171252757,-6.491581579340199,26.962063160339024,263.87953030303026,1000.7208606902358,245.47938203877857,9.626647727272726,24.61403409090909,11.101397870328906,20.329857802159527,1.9024155346569138,2814.606233766234,192.0,20.05681818181818,,,,6.0,,,,,,,,,,,
0,1967.0,4.438495343040798,2.31035230552276,0.06695567689885872,1.5137605765446673,0.5737980453889544,25.556724304735667,24.567969467401284,9.18836436606323,20.35227658074249,47.90038944641217,2.2333333333333334,3.5200952380952377,,135.6846201975108,35.49374591564247,0.37585626378729825,12.51313463037601,0.8115871357250668,14.617252575011197,4.543168549203032,-5.018147940820355,26.61660239505067,234.69581818181814,1061.352896965949,246.4853461959497,10.763000000000002,27.040719696969695,11.121107951435537,19.902483194009054,2.3924771773564877,2290.872424242424,219.9090909090909,20.57272727272727,,,,1.25,,,,,,,,,,,
0,1968.0,4.535429292929293,2.497156485489819,0.05427809844476511,1.2251775378179872,0.7545999679333012,21.79802600645297,25.903562610229276,9.373135642135642,21.028995230078564,57.97880471380471,2.4,2.755701754385965,,144.26893779060444,31.056988828898938,0.3089689025082283,13.442967799990273,0.7532329717722975,13.080533667331421,3.8950005674724775,-6.391216052985716,26.1646746356016,233.98029401154403,984.1396647395004,263.4457461857743,9.195,24.16294285714286,10.412101662694358,18.84870091363069,1.8897311396468701,3155.1441077441073,212.04545454545456,18.91818181818182,,,,1.9166666666666665,,,,,,,,,,,
0,1969.0,4.2721330479757444,2.522492987661527,0.05387137830958056,1.7238893752938698,0.7479895260794136,42.40122452453913,26.491538985359206,8.488317160367721,21.11265958136745,62.93793715647648,2.365079365079365,3.33992673992674,,174.5717177814361,37.46915461432506,0.4180551456119638,12.862443837727927,0.8383506329529056,14.25249573658665,4.667539846517119,-4.6673796405614585,26.66700351731602,263.95690476190475,1152.2267143405118,254.58015733635054,10.424645562770563,27.226742424242424,10.87541069788797,19.496728691132102,2.2078762790240063,2699.795815295815,245.95454545454547,19.04090909090909,,,,1.5416666666666665,,,,,,,,,,,
