,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDFM,WSFM,WDF1,WSF1
0,1960.0,9.830873420796891,6.475639779721412,0.5413401507789262,1.934355333439103,0.7743618065783013,49.48749083958507,24.46261491944482,18.037870744618193,82.2675145956651,68.7941571458324,5.815597985093397,1.403920153920154,,72.44355578727843,15.313205812827523,0.06068319472924737,8.420737449684818,1.2550084966203388,9.41742281840966,1.7263252829042302,-2.4417707858661806,24.131616921090608,152.79194444444443,1353.0979109817386,264.43104627098046,,,10.046389956899825,16.084997275385433,4.00343180631503,2216.1217231842234,208.76623376623374,16.577597402597405,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,10.68846342100111,6.92110987839631,0.659721587736663,2.3144984454262807,0.9872155199566366,68.66155591258685,31.09413478512463,20.18084580550661,89.425012327148,89.54123578057587,5.150368504807756,1.6381904761904762,,103.40963955885384,21.44719420006517,0.06907135874877808,8.282280873248615,0.9610003258390355,9.923305637015316,2.43113880742913,-1.9466124144672534,24.085320788530467,163.37941269841272,1387.5087066124565,258.95514157706094,,,10.346577028347996,16.43003429455849,4.281530107526882,2269.2556349206347,215.32554112554112,18.181688311688315,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,10.539989534667752,6.546748424842483,0.5267855356964268,1.7203769294678388,0.655198593073593,51.211898020610136,22.501117784992786,20.910611704027545,80.02671788607432,54.81525811688312,5.984269886014072,1.7331521739130433,,41.309878802704155,9.514787180412181,0.043550893550893546,7.505914918414919,0.7327288452288452,8.620184213934213,1.0926813926813925,-2.6076690207940207,23.363053404928404,142.5923015873016,1628.940682835062,259.4518611249861,,,9.940009694009694,15.888319525382025,4.062819992507492,2181.620317460317,212.7923520923521,18.212323232323232,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,11.31737896825397,6.98228354978355,0.5927611832611833,1.4848991748991747,0.5297686460565249,37.30986494986495,17.66350117334966,20.276576587301587,84.32188255772007,45.25570222426283,7.503037878787878,1.8038740920096854,,49.38761063011063,10.935015877611418,0.03864256762345934,7.2786114098216,0.8867749377303518,9.54121515427248,1.173775976323747,-1.7940830047517944,23.64065534783688,146.4402380952381,1344.976048029216,246.7600939559379,10.861428571428572,23.38214285714286,10.392760615711252,16.217019735572283,4.6163460469113335,1939.7639384920635,216.74772727272727,17.531931818181818,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,10.859683834683834,6.69420190920191,0.5372090872090872,2.7625329586062564,1.1125741127036466,101.75878870983583,30.410860455031436,19.004296555296555,78.55398223998223,103.820060523817,12.674747474747475,1.4028686173264486,,38.478999183006536,7.214295745473165,0.1786601033375227,9.600755248335894,1.047828515570451,7.9096466973886335,0.6723851417399804,-2.9274393473909606,22.539875064004093,148.7227380952381,1464.6245912752256,282.5604205883722,9.990979591836735,23.860469387755106,9.089234636689476,14.959109249173766,3.21099849183075,2155.9144345238096,200.1688311688312,17.059220779220777,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,8.785701531913652,5.285627924264288,0.4626045811651872,2.0210741292708505,0.6550407925407925,72.26940304686205,24.794459706959703,17.316616179835876,63.229562380660866,62.41233766233766,12.759894867037726,1.692512077294686,,64.53685408775252,13.57397617677681,0.01844484629294756,8.17691152026595,0.8083428030303029,9.219301271645021,1.4391718524531025,-2.319329209819716,23.88011181006494,148.18398692810456,1381.2077439323793,255.44599466637442,10.858060515873015,24.37845238095238,10.115336696531317,16.11432571473665,4.005450280380661,1695.9658730158728,206.73611111111111,15.99824494949495,,,,6.494469696969698,11906.181818181818,,,,,49.30252525252524,,,,,,,,,,184.0909090909091,16.527272727272727,,
0,1966.0,10.116093883440824,6.255494080749183,0.584002746120093,2.0398868977081266,0.7672888098865752,68.8545011165123,25.813221601489758,18.715713457460907,76.8177672129458,72.43297500141077,11.38205128205128,1.5545787545787544,,51.5286531986532,10.703196294446293,0.008682983682983684,7.628275890775892,0.4516858141858142,10.184769166019166,1.0277967402967403,-1.4446079152329152,24.273992743367742,152.70942110177407,1306.4871185256825,244.6876895095645,10.484426587301588,24.24414484126984,10.445868483368482,16.568083159895657,4.318159995097495,1964.287908496732,200.51515151515153,15.93982683982684,,,,3.742857142857143,10353.957575757575,,,,,42.52949494949495,,,,,,,,,,218.45454545454544,13.894696969696968,,
0,1967.0,9.392574864997545,5.779866410794247,0.5990174201514408,1.8054127585377584,0.7540804385316581,61.091737313612306,24.684106306972158,17.60877793025989,74.65506348462534,65.95913094358217,10.048258559622196,1.5315656565656566,,102.90215600890798,22.066277201545656,0.04134634940004067,8.122900142363228,0.7415870110500983,11.101986306013153,2.735004406480916,-1.1058924818656364,24.049371229069212,149.26164115646256,1260.9262562299796,240.49909057013082,11.651539682539681,25.259396825396824,10.985125855874179,17.401234492576773,4.590230526743949,1613.1513605442178,211.12597402597405,16.219870129870127,,,,2.9294612794612793,11932.909090909092,,,,,48.84090909090908,,,,,,,,,,229.0909090909091,11.20909090909091,,
0,1968.0,11.270438950517077,7.307832416426166,0.7229741612554114,1.6759864267676767,0.8395607307644344,53.5410716540404,24.321425008462047,21.182801470809284,95.49514448803512,81.47718075819928,11.264003673094583,1.4210884353741497,,62.31151079020483,12.983134273772205,0.24677557891843607,7.93558004731474,0.8965900501614786,9.036487322201609,1.305926122252653,-2.7188701396864663,24.315435109108577,140.48265306122448,1355.1251104510145,256.3810180872767,11.40502976190476,24.349642857142857,10.116679960440164,16.16234708111239,4.128685283348548,1926.0206632653062,204.61438878581734,15.725994640280353,,,,4.124098124098125,10128.545454545454,,,,,41.25454545454545,,,,,,,,,,239.3181818181818,11.013636363636362,,
0,1969.0,9.05395135566188,5.428203083466242,0.4395108984582669,2.741566866267465,0.6112839706589706,108.12525187719798,18.51758658008658,17.147390882509306,64.87974242424241,50.739055735930734,10.04469696969697,1.450609756097561,,67.25289215686274,12.916781065690463,0.09570876550742322,8.294920683343502,1.1566215849772898,9.97352552369331,1.4469256321605315,-1.938501457528303,23.788690597247644,141.1460119047619,1480.1339535125146,252.8002760829774,11.044011904761904,23.982702380952386,10.240801962578809,16.326949664429527,4.122689699003457,1934.751984126984,184.5121212121212,15.575189393939397,,,,4.884920634920635,11185.09090909091,,,,,45.8,,,,,,,,,,218.8636363636364,11.899999999999999,,
