,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDF1,WSF1
0,1960.0,10.508927108927109,6.96068796068796,0.6027709527709527,4.190381615381616,1.456229606229606,67.97158944658945,46.39564174564175,26.28825211575212,82.26902538902539,125.40323635323637,7.5419552669552665,3.1448578042328044,,186.32130355276908,33.918830830627705,0.6059659090909091,11.03499053030303,2.479245580808081,15.034177714646464,1.2618371212121213,-4.857736742424242,26.92632417929293,,1383.8549169030202,254.71344730790042,,,10.951470880681818,17.756096275252524,4.107971827651515,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,12.492496392496392,8.784425095106913,0.6698543880362063,2.053062478062478,0.931034606034606,46.15904053404054,32.16645964145964,27.304506591892956,103.95871940121941,72.13591253591254,6.9494283494283495,3.001556776556777,,185.11930415263748,37.179558110377776,0.09348321928967089,8.827146464646466,0.8261053154495778,14.652040900811391,1.3447921841364465,-3.556285027696318,27.81546448087432,,1264.7927529761905,213.2537389113619,,,12.31138665341944,18.80641554893194,5.737631801889867,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,11.316044372294373,7.745468073593074,0.6776176948051947,2.722244447021233,1.1773564728921873,54.936778499278496,43.67889835858586,27.703516865079365,92.75523867501546,100.24343241084311,6.5255563572230235,2.836892736892737,,189.37674783549787,34.61859651199495,0.3159068362193362,9.975868055555555,1.3066101866883117,15.069401605339106,1.298383951118326,-4.639804912968975,27.463709246482683,,1156.832404692082,226.99363044507572,,,11.85045371685606,18.56298158482143,5.152537794237014,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,9.22393736867421,6.272496898812688,0.6594238120553909,3.1239081714745427,1.0407124340752658,45.73277592613875,35.01943869797852,26.02523936102883,79.66851548062074,78.306273863796,9.143441558441557,3.0386584741423452,,148.6983620689655,23.972118824055443,0.7500823120541431,11.522277605024085,2.6886267097534704,15.035432798813082,0.8871674491392801,-5.711455145011484,26.104920634920635,,1447.273576238576,257.2205779119159,,,10.458577515598643,17.627742983151435,3.2392847184114792,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,10.459977141835552,7.20652670829662,0.6318079658787623,1.9561653194396558,0.9482268960145067,41.43661584236805,27.439009564673288,26.435238414486204,85.42570489981993,69.18852430755085,15.96969696969697,3.8603968253968253,,194.3684487734488,36.529706465919695,0.1232768865121806,9.705998535777947,0.8516908212560387,15.694561557605034,2.5086350042871786,-4.548059587471352,27.426828167806427,,1305.678124426079,215.75493607291403,,,12.342725575078518,19.63346637179246,5.019597031236737,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,10.029592120417806,6.514829818499543,0.3971722467135311,1.339690482809749,0.6417894541747753,22.128894449077936,18.939639514410157,21.993616902974704,71.5545037531276,39.95834425513325,15.666666666666664,4.082407407407407,,197.1490148024019,38.41778778040141,0.2178451178451178,8.78305785123967,0.9268994053084961,15.423927040972496,1.713950653723381,-4.119722550177095,27.152318367659277,139.70238095238096,1354.0310899733945,211.36844412742138,14.554880952380952,26.73654761904762,12.5196996097337,19.44589600004373,5.669552778870961,1787.7261904761904,,,,,,4.7444444444444445,,,,,,,,,,,,,,,,250.45454545454544,13.122727272727273
0,1966.0,10.571679410931745,6.991430661757765,0.5129967903332389,2.2651455026455025,0.9448325851103628,59.895542728876066,30.936141507669284,24.871982677239686,80.60531247049938,67.7002034231201,17.39393939393939,3.021513605442177,,194.18145454545459,34.8893882548428,0.15267611176702084,9.917831999650183,1.4407254361799817,14.269945668809306,2.2035238751147843,-4.2986763741309195,27.670216942148762,134.92857142857142,1400.9993473193474,229.8527303336394,13.336428571428572,24.937142857142856,11.786664873846691,18.654998125191305,4.922969981197254,1819.4285714285716,,,,,,4.754545454545455,,,,,,,,,,,,,,,,244.54545454545456,12.168181818181818
0,1967.0,11.478372528372526,7.804613704613705,0.8145548145548144,2.0092413842413843,1.019150319150319,53.14550687050687,48.4263104013104,28.9067862992863,99.93441870441872,95.59493649493649,17.333333333333332,3.4349616858237546,,148.98003508588187,25.611054018445323,0.28069096764748935,9.405673714369367,1.220055628751281,14.35679988288684,0.6212999560825647,-4.357497542714935,26.693252818035425,114.47857142857143,1301.7575589584546,230.66720245937637,12.70440476190476,24.94345238095238,11.461398184746011,18.194073195725366,4.730120542903152,1730.5714285714287,,,,,,4.269360269360269,,,,,,,,,,,,,,,,240.0,13.118181818181817
0,1968.0,11.055330339442488,7.300283205890683,0.6219012555461153,2.041003492872652,0.8929360359266899,39.29281129047484,32.76886353521868,26.32106566330865,84.95150166552034,68.65620153470621,17.484848484848488,3.432328869047619,,175.22319727891156,36.771548194156885,0.32264257481648784,9.318098165924253,1.7973309701570572,15.491838153794676,1.808831587092457,-4.009878651943869,26.796928968776797,116.17142857142855,1394.780980710466,229.85069556852164,13.027142857142856,25.483571428571423,11.893851098981532,18.681787727168164,5.2043989219315305,1487.4285714285716,,,,,,5.008658008658009,,,,,,,,,,,,,,,,255.9090909090909,12.931818181818182
0,1969.0,10.744978082713933,6.997112635791882,0.6316657137411854,2.350634376106074,1.0863595523972882,43.623420185684346,29.326277600805906,25.98163426720031,83.03343815513627,78.0930055269678,18.484848484848488,4.193371546149324,,218.6980358270202,38.394188205585266,0.06189839572192513,10.28887403446227,1.4077306680247859,15.368124522536291,1.4971039173245053,-3.556543374925728,25.952100628130044,139.2625,1360.6350768882858,234.79584595959597,15.264464285714284,28.230357142857144,11.746519496434939,18.30633895679484,5.158708704693999,1309.8392857142858,,,,,,6.454545454545454,,,,,,,,,,,,,,,,247.2727272727273,12.295454545454547
