,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,HN02,HX02,LN02,LX02,MN02,MX02,HN03,HN04,HX03,HX04,LN03,LN04,LX03,LX04,MN03,MN04,MX03,MX04,WDF1,WSF1
0,1960.0,12.644820945877283,7.469861339755707,0.7627596386399202,7.1661649422287725,1.21832383188017,120.94800001023405,40.976872091132655,21.04636109586814,94.66535274779993,106.95915315123061,6.9518935990634105,1.6125,,1.9101596320346321,0.30800043502249386,3.1201341142517616,14.205337248535777,6.933436253289194,1.3547711887785416,0.0036393345216874625,-9.512255909939734,13.7530421865716,,2675.1853703504944,487.86167085773707,,,2.0297266148883795,6.223471063046431,-1.9794067592946267,,163.00103071531643,21.664667078952792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,12.81237145092779,7.712335883990814,0.8104518525293173,8.23565579262008,1.6906606592776805,109.10177618016904,49.10099858770072,22.441953158344,98.02277000386155,142.090060687933,7.207702191987907,1.230392156862745,,0.5766717427115657,0.09680380446803805,5.0397873416121595,15.611373379256591,8.72999494422852,0.9310637659177804,0.0,-12.144617077974743,12.099970218346131,,2735.330989096029,540.661761462382,,,0.06605012586764432,4.298014975089793,-4.157111914241477,,187.60519480519477,20.32272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,11.550094882286663,6.605752979896816,0.6099478147423353,8.152089303497755,1.3316014828083793,130.13168455175497,40.758578643578645,19.771885686611714,80.62740034889009,104.9019925859581,7.6855837132385805,1.8288288288288286,,1.1726397749424065,0.27895815295815296,3.654047103689961,16.099212791177077,8.063900226757369,1.4262834982477839,0.0008928571428571428,-11.795230132962276,12.602180452484022,,2963.835156406682,514.2725669449599,,,0.9950757859204288,5.09077370387549,-3.135734371779015,,180.07142857142858,20.213149350649353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,11.331573152677048,6.705891943554282,0.6969928880643166,7.107750979179551,1.2635747549708587,106.97219879687412,43.10743754802196,20.17285693202901,84.06718164951931,110.02091368227732,7.555628327611086,1.7586805555555556,,0.6020607146049625,0.1738978127136022,4.343510528214475,15.47662313928761,8.563507727652464,1.4366078548644339,0.0005980861244019139,-12.172936531670086,12.917186930394166,68.41666666666667,2302.521183437159,521.5251101949951,,,0.6860481554264449,4.956105571694387,-3.569188223874079,1683.1666666666667,159.14133168418883,21.901480107194395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,11.671300468239245,6.817585230340333,0.6746063649124873,9.07163460561348,1.9582515467789443,159.84734797674938,58.792280930637105,19.21926016727037,81.41676598344965,184.6806674870031,8.493423364075538,1.9826388888888886,,0.26554834054834053,0.1150211940836941,5.648949314574314,16.674586890732726,9.429728585457752,1.6045411956870288,0.001157407407407407,-14.630978485249317,11.996573923761424,73.3,2391.434422138047,566.9458666275855,12.304444444444444,18.185,-0.6768711319544654,3.7382030673801503,-5.186165857483565,1335.2777777777776,165.97784992784995,22.398062770562774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,11.716233766233767,6.720086780503447,0.5777349386724386,9.364952841039798,1.663150639043496,180.70434259782087,49.60856988249845,20.184803766835014,79.06266043370209,145.54049886621314,10.466239316239315,1.8009259259259258,,0.3592655122655123,0.09809065141207997,4.406851680065966,16.24853638425067,8.36664875707429,1.5154329516031642,0.0,-12.678108328179755,12.234357199144432,93.13749999999999,2741.5047326547324,533.5535135796742,9.582222222222223,18.25777777777778,0.3155254406307978,4.6580284225231035,-4.043521310039168,1114.9166666666667,191.49711399711398,21.410375180375183,,,,2.953535353535354,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.77272727272728,16.73409090909091
0,1966.0,11.338777127012422,6.390100114119721,0.6147483235718529,9.866427941931297,1.7323694761614226,192.76933428242154,51.138627889634606,18.10215459921342,77.45987860984614,142.66102830800816,10.40002352719744,1.8068181818181819,,0.49524789208612746,0.15434981317431648,5.308946131131562,16.7047093451067,9.45568982158386,1.5444946150244163,0.00325105358217941,-13.455882381047944,12.09539180833883,87.24166666666666,2572.3393851867622,552.857098850377,10.705555555555556,20.694444444444446,-0.32488507592481086,4.1507547136454415,-4.811518699291878,1205.4444444444446,187.54545454545453,21.03974025974026,,,,3.227777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.1818181818182,16.972727272727273
0,1967.0,11.308544383095281,6.51696325962793,0.6801710431949952,8.444286643826521,1.5445489751212644,164.46276502978958,46.45406930753316,20.202556229532277,80.34488630963182,135.4660688207375,10.480909863945579,1.6224489795918366,,1.9602736549165118,0.49282467532467533,3.893560496742315,15.605193493375312,7.507369801915257,1.6395570422843149,0.0019146005509641873,-11.414595981459616,14.085155909746817,89.6388888888889,2410.2568802308797,495.9532257641349,9.74611111111111,20.19055555555556,1.5745300122436485,6.133029878875334,-2.9551927128427127,2005.3333333333333,177.7212361712362,22.946856661856668,,,,3.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.93506493506493,16.869480519480522
0,1968.0,9.35087712674922,5.21692464512232,0.4303850380885264,9.184933503793152,1.3507688226805874,136.17035032868367,48.50749724132076,15.93357914695124,59.55747011225209,113.88024849333672,8.981978515311848,2.111111111111111,,2.0295206790454725,0.49563884274640096,4.960146103896104,16.803901976576395,8.527746736467666,2.1707485989462736,0.003224101479915433,-13.69206718346253,13.112441399040234,90.75,2689.0406873479324,535.6313864559214,10.783333333333331,19.251666666666665,0.23220547459646304,4.979727006359274,-4.492924770965469,1851.3055555555554,163.00380892255893,21.983630050505052,,,,3.3388888888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.13564213564214,13.933896103896103
0,1969.0,9.119919616852131,5.109366672863605,0.5822431147584521,8.016760103250787,1.0867121390269538,133.0663186882131,32.91214837974098,16.188472056232794,66.4216070653954,87.37576314289277,7.75547138047138,1.9943502824858756,,2.8086276296802613,0.7169942412733824,3.452772278534474,15.684837926301343,6.897149412240874,2.2522751469397813,0.053679653679653674,-11.576910921057264,14.648253440326613,93.01866666666668,2535.4545945779987,482.5996185784223,8.563611111111113,16.593541666666667,1.9626223209306033,6.917304708672087,-2.865456210625418,1846.6071428571431,144.67521367521368,24.87090132090132,,,,2.5357609710550886,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.84848484848484,14.214141414141414
