,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,HN03,HX03,LN03,LX03,MN03,MX03
0,1960.0,8.650976312419974,6.366462156779058,0.9219003414425951,0.8005747126436782,0.36072796934865897,18.275461511668407,14.801079763148731,33.17506224213971,94.9038451415564,30.242337164750957,5.8571809363476035,2.9688852813852815,,379.52111111111105,71.96478188478189,0.0663040663040663,8.462703962703964,0.6203648203648202,17.63928293928294,4.285721685721685,-0.5047720797720797,29.103687423687425,,998.7084472544999,183.2096607096607,,,14.600965737965739,21.17920523920524,7.988978502978503,,263.4646464646464,16.26868686868687,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,10.311212743195503,7.693289794496691,1.2952764094143405,0.1116161616161616,0.07244668911335578,2.6516835016835016,2.459652076318743,36.69211485545107,121.5301922301836,3.7713243546576876,5.656235285182653,3.4611111111111112,,313.34299140049137,59.84309848484848,0.0022727272727272726,4.811087662337663,0.19788329725829726,17.67448051948052,2.660820707070707,0.23649107142857137,28.94217180735931,,1039.7266407496013,145.5431698232323,,,15.386373538961038,21.762422348484847,9.038091396103898,,246.53636363636363,16.84318181818182,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,10.563418465592378,8.65731394209655,2.021411438802743,0.2759230965113318,0.14069582378405907,7.696492233256939,7.9063216195569135,42.699604743083,154.06049434744796,10.999817502758681,5.912360053739365,3.685260770975056,,383.89617586117583,77.24682035993358,0.1785210596531351,6.127272727272727,0.45738517247951205,18.03139889460644,5.115180102915953,-0.6540270630836669,29.75933771679055,,793.2806424362674,157.69617305126738,,,15.620133886030112,22.306372307985512,8.937656470364017,,222.97979797979798,14.951010101010104,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,7.166407496012759,5.37722810814916,0.9670131768815979,0.60579640947288,0.27546473134708427,20.210169977081737,19.98957219251337,34.85168688767372,90.69333485228222,27.78334606569901,7.752733860342556,3.2085565476190476,,349.7461060606061,66.4006570421193,0.1072803506765771,6.993081761006289,1.0315990089574996,19.33809796073947,3.0668000762340384,-0.8012864493996569,29.090089574995236,90.25,910.0193298368299,160.13897560510765,9.576666666666666,22.753333333333334,15.114847913093195,22.20719153802173,8.017466171145417,1001.888888888889,242.3409090909091,15.726818181818183,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,8.880233845302339,6.941856925418569,1.467960426179604,0.09544689317416588,0.08718243036424854,5.041689623507804,6.371212121212121,41.98055348000553,122.28983326414834,8.116184573002755,14.181818181818183,4.384876829519686,,351.80548855906,64.67397989327235,0.0034305317324185244,7.045811892510006,0.16684772250809984,17.785158185629886,4.270240137221269,-0.9336906803887935,28.473839813226608,113.48281385281386,1097.7674203463205,165.65748380026685,13.779666666666666,26.85763636363636,14.9241359348199,21.591885220125782,8.185021393177054,1004.6878306878307,216.86363636363637,16.450000000000003,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,8.279384118967451,6.025397326438993,1.0886223344556678,0.37742671921776394,0.21628545583769465,10.554446382804592,9.092369860653443,34.20443898308481,95.21897997835498,14.625632120781374,13.363636363636363,3.9985582010582013,,388.23418455067394,72.50877109285273,0.06959095326442266,6.204462997320139,0.31662396560355743,18.72578407986571,3.0535677474452982,-0.2278587625526401,29.03811062520246,116.78994708994708,984.7444134352644,147.03858762552642,15.057129629629628,28.995277777777773,15.77509173366316,22.41463163707041,9.03814524251259,926.775,243.9090909090909,17.90909090909091,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,1966.0,8.82640374331551,6.602588383838384,1.1953319964349378,0.42802228635561973,0.1698011864678531,15.182527657527658,11.346007696007696,36.3137693107546,104.08744689542485,13.970250120250121,14.045454545454547,3.681618480725624,,342.8013774104683,63.810460729746445,0.018738404452690163,6.480747710339547,0.311943045616515,18.01165150042701,3.3768979886326824,-0.43021144388491317,28.897747739788553,124.51547619047618,872.0470535714286,154.7697075713402,14.376157407407407,27.90013888888889,15.245310318932766,21.833697993050034,8.54343335689254,1119.8205868205869,262.68181818181813,17.809090909090912,,,,2.125,,,,,,,,,,,,,,,,,,,,,
0,1967.0,9.145904675755423,7.012360276539381,1.3749930003661346,0.17346041055718475,0.13588186007540845,6.750293255131965,7.828424801005446,39.82108031272211,117.3002119273761,9.741914537075827,14.454545454545455,3.789598845598846,,300.26928325811303,51.16158737520983,0.027829313543599257,6.525801749271136,0.34976146302676914,18.245109992048768,1.2936456400742113,-0.4683995936036751,28.727946594222107,115.7377777777778,992.501574074074,154.7652283770651,14.056079365079365,28.057407407407407,14.794638947786908,21.402198118208318,8.048226168389434,1261.935064935065,241.54545454545456,16.20909090909091,,,,2.625,,,,,,,,,,,,,,,,,,,,,
0,1968.0,8.330939996984773,6.346276194783657,0.9427521483491633,0.34353209514499844,0.2313294232649071,16.89524275008146,16.38489736070381,33.07065468113976,93.48119402985074,21.616568914956012,14.0,4.395535714285714,,353.67814313346224,67.76117192331478,0.022263450834879406,7.28416821273964,0.4460935889507318,18.474335188620902,4.21098742527314,-0.3552659245516388,28.799340342197485,127.92677248677246,1047.0604019789735,167.07636466707893,15.010277777777778,28.262,14.986160173160172,21.66641981034838,8.144656050298906,1102.3785473785472,234.5151515151515,18.264646464646468,,,,2.0,,,,,,,,,,,,,,,,,,,,,
0,1969.0,8.44127428127428,6.34951936951937,1.1476079476079475,0.35924482924482926,0.23027417027417027,13.32027898027898,14.820901875901876,38.777427905427906,104.45040848040848,19.21089947089947,17.06818181818182,4.218111055611056,,358.8318819143819,68.03133701298702,0.0,7.810856421356422,0.15680519480519478,17.460115440115437,4.189126984126984,0.3299975468975468,28.303156565656565,132.33095238095237,1161.1921398636825,172.54125476190475,14.453063492063492,27.71612373737374,14.789704047619045,21.365101356421356,8.05946215007215,1079.4781144781145,226.61111111111111,17.717777777777783,,,,1.5714285714285714,,,,,,,,,,,,,,,,,,,,,
