,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDF1,WDFM,WSF1,WSFM
0,1960.0,7.287569114054262,5.386722422242225,0.7798413769948424,2.1651933911984163,0.8063017105730674,38.09630221816151,24.464277194051068,28.33373381981055,75.83568987255867,64.61460205065733,3.3577219564061673,4.024722168378885,,307.2415818903319,66.25481390382906,0.3533593510866238,9.240768799102131,2.240791755943271,17.126504948474647,4.087389041934496,-3.0304060810121425,28.909281961024387,146.88214285714287,1238.3291336618465,216.91736757911,,,13.252915569839812,19.64710468319559,6.830042266095297,2739.232142857143,248.72727272727275,16.504545454545454,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,8.459217923280422,6.526754148629149,1.236199044011544,1.170125337141044,0.389105716854408,18.217113543815113,17.233417949124757,37.87261153198653,109.68986697330449,28.673134486223493,3.633196370484506,4.184306767913325,,277.5304265443551,56.269166779401154,0.16144781144781142,7.554336519961519,1.1351881914381912,15.568185951779702,2.6799129689754686,-1.5515095899470899,28.633519758597885,117.53526785714286,1114.2323386426374,198.1241679443242,,,13.54030602152477,19.606760939003127,7.349237869769119,3100.333333333333,195.45454545454544,19.627272727272725,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,7.530749014945906,5.335049607847536,0.7557576131410328,0.6727586748312135,0.2701261317841629,10.32467682001361,9.302640767407608,28.902388111312984,75.01505542097512,16.15586808125668,3.4980105285660845,4.081981327130581,,390.954746919747,73.29987091263035,0.3720939176127855,7.689031147050015,1.1299450025865119,16.74792092079828,4.216474379917776,-2.863132776552588,29.88994786136296,158.428125,1103.3006577564831,191.9794606441776,,,14.31180437460862,20.703586304418852,7.934873192844891,2806.831349206349,258.1590909090909,19.225568181818183,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,5.815323182564563,4.218398623817344,0.7525028611235507,0.9902872430100154,0.23030231594588027,11.463004871915762,11.097168288257398,28.10808020386838,65.32319383134654,14.73705656279914,3.4963039485766756,3.58502886002886,,411.2830964749536,74.8247403179258,0.7768654284783316,8.19056870548806,2.0715623981753017,18.113834776334777,4.80794930875576,-1.9846617965367965,29.888803152492667,164.625,1046.9151967038808,191.3841599753293,10.956666666666669,24.85222222222222,14.349749787622772,21.243048096169066,7.4167757238281435,2634.5,257.45454545454544,19.90681818181818,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,7.3103634383046145,5.388608600005659,0.8692115482556658,0.7307832014728566,0.4211964827728375,18.26891842421399,22.539453827508012,32.83886706702883,83.38507895835103,34.23493840587437,7.588589981447124,4.2433953033268095,,348.4108163265306,66.88410737190499,0.1435525893859227,8.90695561052704,0.9112774571107906,17.008061339013718,4.226731315421792,-3.1531397020087497,28.419144162715593,176.721875,1156.9310058674107,201.02212771135387,13.382000000000001,26.493000000000002,13.818178800476419,20.42371883517717,7.206966733663163,3293.513888888889,188.1818181818182,21.796022727272724,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,7.657710186441529,5.550556560631188,1.0677069199457259,1.0236881636881636,0.44994579588488215,21.293761978761978,20.87670688026018,34.56711957887331,92.5275335443992,33.52061038228551,6.772294372294373,4.719277662755924,,339.6501809871676,64.44986047979798,0.23014309764309762,7.700061026936027,1.261228956228956,17.13601851851852,2.6379882154882153,-1.6024402356902356,28.66787373737374,167.77428571428572,1247.0559924085578,183.64782996632997,15.292857142857141,28.220595238095235,14.258337163299663,20.710900925925923,7.788454987373737,2996.5119047619046,253.1818181818182,19.627272727272732,,,,1.4691964285714285,15035.454545454546,,,,,65.77272727272728,,,,,,,,,,292.72727272727275,284.31818181818187,13.572727272727274,15.34090909090909
0,1966.0,6.803023980601301,5.013677273471088,0.8037285595275286,0.6603612792094466,0.2846862416234144,13.625167909461101,15.310013372317036,29.882042497880125,75.19477557236578,22.308539584324926,8.25974025974026,3.6730266416833577,,304.1324742883379,59.284141849529775,0.10216263621436034,7.923654338956063,1.19508850823506,16.50886481813206,3.343573978703289,-2.0054725207742448,29.10565575707817,156.17738095238093,1026.261436408419,189.26868195501817,13.299404761904762,26.479345238095238,13.896190202517788,20.57723781223566,7.138114951858485,2430.488095238095,247.1439393939394,18.87742424242424,,,,2.0198412698412698,15664.90909090909,,,,,68.24545454545455,,,,,,,,,,279.09090909090907,259.77272727272725,13.054545454545456,14.904545454545456
0,1967.0,7.9378621819098,6.0304879864403675,1.0361170281805203,0.5743977205207152,0.36561894730343925,12.251416572138497,15.063549552052226,32.7881766264306,93.78755103949547,21.724599895054446,9.377344877344878,4.551171856817017,,272.7815316718588,48.81212904911181,0.11340871771906254,7.81247823058168,1.0866749390456287,16.211571067821065,1.9313933671692296,-3.5548715604319057,28.54870891799771,149.55238095238096,1159.4230441755215,196.98364731054386,14.177142857142858,26.82857142857143,13.280322212270487,19.738942214634026,6.816978479375031,2913.3809523809527,268.1142857142857,19.808051948051947,,,,2.2015873015873018,13536.0,,,,,59.04090909090909,,,,,,,,,,228.0,278.18181818181813,13.8,14.75
0,1968.0,7.481838098244348,5.624820940055315,1.0798173325517075,0.3616476798055745,0.26119921014657854,9.694497227918282,12.298780663780663,36.053179319234005,90.50654786330568,16.258048530416954,7.2279720279720285,4.027240860990861,,299.1031922870158,59.70658036408037,0.10672105672105672,8.530134063467397,1.1590619257285926,16.296348404681737,3.5785390535390538,-2.285179203512537,27.945658785658786,161.14285714285714,1243.787533647557,205.90436951936957,14.763174603174603,28.340000000000003,13.433495754245753,19.805129435379435,7.064031428448094,2669.2063492063494,241.02954545454546,19.87227272727273,,,,1.8663194444444444,14304.0,,,,,61.97272727272727,,,,,,,,,,260.0,243.40909090909088,13.32727272727273,14.759090909090908
0,1969.0,7.293920506485952,5.502376230517592,1.0607006867478073,0.903078149920255,0.4321561479456216,17.31790271132376,18.52538467380573,33.87426847004072,91.17125187930162,31.16540442014126,10.37150553150553,4.6348168498168505,,322.73779199764635,60.40987659849729,0.024921630094043884,9.385732634224015,1.0027930163706027,15.636376387022938,3.4387368139523313,-1.0819086182017217,27.72509845996915,151.32539682539684,1193.6230339761248,216.55435599840771,14.504222222222223,27.982888888888883,13.05213482111758,19.271947949320793,6.876906627854904,2356.547619047619,260.3808080808081,19.293777777777777,,,,2.062962962962963,12615.0,,,,,57.833164983164984,,,,,,,,,,259.09090909090907,230.68181818181816,11.354545454545455,15.076599326599327
