,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,WDFM,WSFM
0,1960.0,9.772498925424458,6.23826985662092,1.0376669429860919,2.8694771018455234,0.8908245279213021,51.899384825700615,53.60505399618303,35.381931050627855,97.97897243713733,105.7002459308911,5.484337190587191,1.7561699948796723,,106.63640784747167,19.548422202797205,0.40751748251748254,9.682692307692308,2.2695367132867132,11.446372377622376,0.2261363636363636,-2.8305332167832167,23.692775349650347,,1423.7896638655463,264.9874970862471,,,10.096400641025639,15.746081730769228,4.494506118881119,,218.3090909090909,20.027272727272727,,,,,,,,,,,,,,,
0,1961.0,10.109846052823583,6.739316114597013,0.7604747312612481,2.5734763363976847,1.045433873242862,60.68666723413916,59.418766314833725,29.47909856996936,91.39641531689284,114.96911328372002,6.7577264996907855,2.35641186299081,,148.69886837121211,27.36893048128342,0.5604278074866309,10.166386554621848,1.85772854596384,11.18558696205755,0.4882352941176471,-4.123093964858671,24.313088871912402,,1628.1816454545456,268.854670231729,,,10.193695951107715,15.500554876496055,4.8652666157372035,,195.25673400673398,18.3520202020202,,,,,,,,,,,,,,,
0,1962.0,9.751239377906044,6.124060846560847,0.8782675966009299,2.863105258938592,1.2935717528414157,47.96178571428572,46.66441542228059,33.87916670675004,91.26658726150393,115.73845112440618,5.091490535608182,2.246787603930461,,87.16116780045353,16.686398579633874,0.9563859887389299,11.241871091871092,2.744239311886371,11.063540163540164,0.2532863650510709,-5.626826811532695,25.351298984240163,,1686.2146345598846,294.48367003367,,,8.992877542936368,14.875133024927145,3.1149253458959345,,240.88686868686867,18.300723905723906,,,,,,,,,,,,,,,
0,1963.0,9.615903394850763,6.245036454773296,0.6641979949874687,3.312390029325513,1.201438244295387,54.31341409486571,41.46606409463553,26.807753018910912,80.29077944862155,105.58934795363366,4.929691066509248,2.2109713838587077,,128.2960393939394,22.97626159554731,0.99166280148423,10.323610466914037,2.9473852040816326,12.451209802102658,0.9241419294990723,-4.473406192022263,24.594575216450217,,1707.8291567637154,276.8489390074211,,,9.768925537260358,15.927824134199133,3.6145523152442793,,264.70113636363635,18.42314393939394,,,,,,,,,,,,,,,
0,1964.0,9.298870160572287,5.48521422430997,0.5124362930213994,5.454687223108276,1.0723725348725348,92.01207247917773,40.96195586820587,24.75185985999816,68.75363068373707,99.24220478595478,10.469421487603306,2.4275017253278124,,112.68684391080618,18.95427605351334,0.4474576271186441,10.273596742240809,1.9311651625210948,11.402468388485339,0.6839710665981853,-4.359942769095311,25.55390087313816,,1652.0100082644628,269.74032809939587,,,9.991565191870276,16.06312999241813,3.9671820383006824,,271.1872727272727,17.39272727272727,,,,,,,,,,,,,,,
0,1965.0,9.253284363390748,5.233080808080809,0.4067325995517485,3.8042314243133917,0.8325851684547337,40.39442729401746,20.995552575443877,23.482847548432655,61.813049645390066,48.57296881862099,9.580808080808081,2.3573619995261788,,123.00381214744851,22.906153885796744,0.39740259740259737,12.5416280148423,2.2883297258297257,10.43138528138528,0.7013708513708513,-5.746442486085344,23.57210497835498,,1742.205577071738,304.9906596578025,,,8.732147031539888,14.624105339105338,2.832586038961039,,263.8666666666667,16.453939393939393,,,,4.584848484848485,13352.181818181818,,,,,57.90909090909092,,,,192.27272727272728,15.118181818181816
0,1966.0,9.455582516898307,5.466980329611909,0.7282133363712311,5.266829836829837,0.8581088664421997,92.11892773892774,47.017511223344556,29.744003379661272,76.80201993620415,84.62192480359148,10.098484848484848,3.178456221198157,,127.58712166305918,24.311285249590338,0.35353535353535354,10.386403991488738,1.740810037420207,10.68698119206594,0.9113850368087656,-3.943245774940691,24.861068310220848,,1518.835937204558,268.07909359943255,,,10.115758456233033,16.03875111893756,4.192218822608653,,270.8080808080808,17.24063131313131,,,,4.757575757575757,12951.272727272728,,,,,55.8,,,,180.0,15.436363636363636
0,1967.0,10.940522243713733,7.281576402321083,0.881963249516441,6.053113977072311,1.5987465929132596,109.97232643899311,80.32039161455828,33.03721953578336,101.28878419452887,181.03557960557958,11.577272727272726,2.494083694083694,,125.45415539321789,23.113018112156045,0.6355973528387321,11.7259491466388,2.6239811912225703,10.298450017415535,0.31448972483455234,-5.75724312086381,23.70361372344131,,1675.2348575036074,301.67253047718566,,,8.903113026819922,14.5116675374434,3.29522082897945,,227.6486363636364,17.751676767676766,,,,7.909090909090908,12119.454545454546,,,,,52.93636363636363,,,,270.0,18.172727272727272
0,1968.0,9.419077487625875,6.1269911092491744,1.0059031171934398,4.991026334776334,0.8153023743932835,59.172918258212384,28.074586366915913,31.816694401775045,95.0797107790656,63.07112070379116,10.941919191919192,2.59781746031746,,115.91942231379731,22.844961810220433,0.5262476986614918,9.503732522267004,2.505704831566901,11.695361869930837,0.6598242274966414,-3.792867343384585,24.443449084440466,,1663.2130294503474,272.83547345374933,,,9.977994843757775,15.839477278947106,4.139612983281086,,236.8,18.245454545454546,,,,5.666666666666667,11530.363636363636,,,,,49.95454545454547,,,,163.63636363636363,16.61818181818182
0,1969.0,10.288443963443964,6.8740572390572385,1.147900432900433,5.040786773989899,1.4090589806107048,123.09979087752527,61.49161732265181,37.934748196248194,107.74815053993626,161.9103419249971,11.538737373737375,2.2044034818228364,,139.16980190099756,25.985667252035178,0.2491015274034142,10.588270848648207,2.278585041792589,11.534169865773638,0.6688114296604861,-4.806730989136649,24.428182430776772,,1507.504066717596,271.98627739660753,,,10.082150303574831,15.669007643823681,4.520296870320455,,238.74545454545455,17.398545454545456,,,,5.087121212121212,12000.545454545454,,,,,51.85454545454545,,,,253.63636363636363,15.890909090909092
