,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01
0,1960.0,6.6098724747474735,4.8467449494949495,0.9777020202020202,0.664128724430232,0.3290289833003401,14.89693924166286,14.32436678341201,34.74080025252525,83.86296401515152,23.40945129688848,2.80257384339017,4.1717060212514765,,444.1089402636054,96.51148572966196,0.024047855605232652,6.949527180469803,0.9596891041563173,19.55419564497433,6.970243417784401,0.5651721548033024,31.539280303030306,186.64360500610502,749.7602975868376,157.74268531332058,,,16.233887431102595,22.938855067064086,9.560463037872873,3998.2167207792213,268.8113636363636,21.95022727272727,,,,,,,,,,,,,
0,1961.0,6.99529712711531,5.066109143381871,1.0498556998556998,0.33833942439470077,0.1912190082644628,10.360164458656923,9.278179522497705,38.276854912764,91.57489702216975,13.60343204775023,3.272097488199183,3.7557770689349637,,410.05872869622874,82.38700668866653,0.023488988243086602,4.9671418517729995,0.33752927400468385,19.449018877297565,5.4321940127268,1.6439110957348662,30.770951996546263,167.7503907203907,826.3838574251836,137.0888825609727,,,16.403356634258277,22.986249668819344,9.848050469566864,4087.2142332415056,261.6054383116883,20.780495129870133,,,,,,,,,,,,,
0,1962.0,6.2454268093715335,4.434813678783528,0.8798277099784637,0.12458885335769757,0.07541322314049585,3.2474074920054816,3.4419306703397616,31.41820645434967,74.30533740129218,3.7995982552800736,2.8351645708788564,3.906914381914382,,538.4740043612143,108.10901509237576,0.021888971684053647,4.824021538570719,0.33089738130721735,19.705013542923382,7.3415616942256285,1.365616616989568,32.19046687602015,186.98143939393938,801.5287846104513,123.12432527854658,,,17.726941357367586,24.480509651550634,10.879304742388758,3585.375796930342,227.7590909090909,20.586818181818185,,,,,,,,,,,,,
0,1963.0,4.905060606060606,3.3385699855699857,0.5381338383838383,0.20422562512114747,0.11796176046176048,4.723376623376623,5.872318181818182,25.20384790764791,50.648309956709966,7.612823232323231,2.317770562770563,3.1356821106821107,,605.1331364263755,121.01674555633858,0.04370840184793673,6.211826459500878,0.6034721523093616,21.11727742541696,9.459757598129691,1.8211034486615882,33.08891786077832,212.45270846217272,803.0485497835498,129.48600025727933,14.202857142857145,27.83142857142857,17.918099044151372,25.383680224168597,10.539486649440137,3782.8968795093792,238.62648809523813,21.276041666666664,,,,,,,,,,,,,
0,1964.0,5.968671254119015,4.299750346392137,0.979941382553323,0.15777327732773277,0.10248307524426925,5.697449744974498,6.638917605335515,34.124893820938595,78.7733841255483,8.525877287444452,7.2214876033057855,4.092452968841858,,521.1672504810005,104.4339247082751,0.010651436237373737,6.527316130050505,0.23358219471500719,20.12161711985931,7.632379881403319,0.38429757959054844,31.281469663149352,204.30290692640693,770.1427634078883,136.99328433377647,16.796261904761906,29.949964285714287,17.16618644544432,24.10248726945797,10.079765864560787,3273.9649100899105,196.13636363636363,20.968636363636364,,,,,,,,,,,,,
0,1965.0,5.818189356249059,3.922753835440403,0.7851227269137717,0.10265240809795265,0.0757223981104578,2.631476719100481,3.1282347282347285,31.52378154322184,68.0749530127142,3.699650377262318,7.763636363636365,4.128328924162258,,507.3465532969446,101.26747700932226,0.003607503607503607,5.335730319063653,0.2791151309008452,20.23311258846973,7.320293925651068,2.194037226001512,31.54507372477611,191.037904491342,778.2380383528318,125.48067686502212,15.6438835978836,27.983533950617286,17.41057209281019,24.336354191003004,10.464597322430658,3390.4856240981244,236.12727272727275,21.472363636363635,,,,2.438095238095238,,,,,,,,,
0,1966.0,5.518292057632159,3.7948802748295134,0.6232566784597241,0.28734553658411527,0.13514481550195834,6.43455878582782,7.259325396825396,26.76079244218838,59.104152181715634,8.780527210884355,6.9199265381083555,3.4743197278911566,,459.89152223534046,92.18495624068795,0.02050587172538392,5.777891282159575,0.3154137190722556,20.11495940825209,6.3882879315806145,1.2396238224287002,32.09217693778669,193.4793133718134,769.9651907043575,132.80369214796042,15.010833333333332,27.57904541446208,16.85913549842208,23.961724418986616,9.6974473568437,3520.0213786213785,235.1090909090909,21.887090909090908,,,,2.142857142857143,,,,,,,,,
0,1967.0,6.591687386687386,4.568919413919414,0.9332456432456431,0.11723387723387722,0.11791627616369885,3.439295519295519,5.0146529730292615,33.224785011285014,79.69098618048619,6.014892481516192,7.663636363636363,3.741825396825397,,483.098536075036,84.88607662582238,0.007704160246533127,5.098254335118742,0.1226911976911977,20.09658439133229,5.354941370487588,0.65876443001443,31.526580207840713,181.60307239057238,785.1971978879706,126.39647213662045,15.061808035714286,28.03720386904762,16.82417255484628,23.788433725005156,9.944557181989385,3972.0775853775854,244.02222222222227,21.393131313131313,,,,1.7142857142857142,,,,,,,,,
0,1968.0,6.98979908979909,5.158808968808969,1.1180795130795131,0.42815396230344677,0.35097105071331874,12.945778662917837,16.076461782776214,35.90485431235431,90.11504893254893,23.928485889826096,7.468939393939394,3.4460309443642774,,392.1501388888889,83.58268129234231,0.030715447452735585,6.496932704771687,0.3539275931225084,18.850268728446693,5.672806760094896,1.0238847616601854,30.080387592633357,188.79025396825395,871.3144845779221,149.33083314990094,14.376314814814814,27.959039682539682,16.06372730941375,22.77587378017463,9.334984402132708,4026.792332852333,251.73272727272723,22.230545454545457,,,,1.0,,,,,,,,,
0,1969.0,6.145839221227822,4.361477468990422,0.9443162191866855,0.30108901515151515,0.24499158249158248,10.031013257575756,10.688888888888888,34.31378840215628,77.29852135343067,16.191824494949493,8.980647382920111,3.375708616780045,,513.0941535547786,100.2402379163536,0.004205275899490775,5.979947646476571,0.17579305451206279,18.727941158932893,7.273621396968505,2.253119268243235,31.646812874912044,189.60578787878788,824.3187520661156,146.17133394154055,16.81378306878307,30.5158664021164,16.701854331389455,23.425045472433904,9.985214908828546,3550.5916305916307,236.44848484848484,20.60547474747475,,,,1.5357142857142858,,,,,,,,,
