,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDFM,WSFM,WDF1,WSF1
0,1960.0,10.526073191880366,6.7373905616058085,0.6896225224700562,4.59242116876646,1.3289946981123453,71.59045402778587,48.657799716623245,27.612043141213547,85.41345527666155,114.81439263351028,4.8213799485538615,2.9410915573959047,,167.4687155647383,30.548594539141416,0.6412957702020202,10.36640625,3.272074915824916,13.706050084175084,0.5665351430976431,-3.4567742529461287,25.77013047138047,,1375.1725823451911,264.69780276725584,,,10.421016703493265,16.485506944444445,4.434093486952862,,288.6818181818182,18.29090909090909,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,11.39975514681397,7.6362581862581855,0.5863332745685687,3.3623229711465004,1.1035422405876951,75.94309122250299,45.78366046831955,25.59134218722454,88.72601787101787,90.44468663911846,5.014949890292355,2.9904126984126984,,203.51317532467533,37.35099670171099,0.3209544423830138,9.897139764996908,1.7896438878581735,12.93176664605236,1.15417439703154,-4.040812976705834,25.963899711399712,,1472.8610623904174,251.6300873531231,,,11.041329133168418,16.768907106782105,5.28759003298289,,261.17532467532465,19.457792207792206,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,10.418796206241138,6.642347165805316,0.6699274049494314,4.1883182040671025,1.3455868737948384,56.78946831435818,42.18956090615383,28.162098518221867,80.4395796860995,96.9124955305265,5.080029214865281,2.341906762705082,,176.74960738968633,29.161630459245142,0.4883557064749725,10.821686723062868,2.5838890212743424,12.676601533023552,1.0531954538835273,-4.711244059202775,26.58740114116261,,1434.48670495621,267.398153322213,,,10.241916947985755,16.16583097687226,4.167469730066061,,219.97727272727272,18.847727272727273,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,9.4289005733696,5.880880869376445,0.5003607503607505,5.010345713774917,1.3626687226244747,75.6258860731206,36.95028157683026,22.51317386890396,68.65408489126409,94.39203986770359,4.830666503308013,2.5408655286013775,,148.98848484848486,25.976825616412572,0.8965556182947486,10.641192044670305,3.1855295187903883,13.805457682414204,1.172622811970638,-4.814343120647468,25.43890771064684,,1552.8100318606625,269.15266390614215,,,10.161004344689127,16.715975672877846,3.5579320220841963,,310.6,19.790000000000003,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,9.648727699068608,5.993769513314968,0.6062667256985439,2.740548668503214,0.904931129476584,49.37987603305785,30.528547979797985,26.28047181227863,74.54465223665224,67.67860078053259,11.64107744107744,3.0548724131002616,,180.4282046657047,33.33225166202845,0.2611446321623313,9.974480902578248,1.6452804992278678,13.445361826282877,1.7808343459659248,-3.8907918630042526,26.56466434394066,,1481.437653351699,249.48811076324472,,,11.143444635993307,17.70765782511835,4.618021277886322,,225.0,20.14242424242424,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,10.087341906459553,6.050080311845017,0.4765203750497868,1.7954621829621829,0.6956560456560457,25.56439848939849,20.149363486863486,23.831274542451013,68.92330111065407,46.33490389740389,10.584733044733046,3.1568264014466547,,159.85252424242424,30.855923995595045,0.26137398833051007,10.019805508501161,1.507194170771757,12.220054610140817,1.216570259242673,-4.449592979484284,25.079484064785788,,1585.7901232563734,256.90859158628894,,,10.66600376748855,16.681126996566654,4.566646260744087,,250.63636363636363,18.831818181818182,,,,3.383838383838383,12636.218181818182,,,,,54.390181818181816,,,,,,,,,,274.0909090909091,16.882272727272728,,
0,1966.0,9.762988015071347,6.090966543744321,0.5581385949441504,3.234265747172724,1.09422164769387,68.49160508741905,36.56313381834215,26.595865633851744,74.7418621399177,84.63955928330928,10.860209235209235,2.663073788073788,,185.8924971139971,34.59454314704315,0.2205943362193362,10.91787260358689,2.239270253555968,11.873318001443002,2.1709557307771594,-4.393584699031128,26.04390273912595,,1519.0170695270463,267.63464542464544,,,10.503722917722918,16.837877757163472,4.252090876881055,,273.31818181818187,17.195454545454545,,,,2.309740259740259,12968.836363636363,,,,,55.960000000000015,,,,,,,,,,257.72727272727275,16.754545454545454,,
0,1967.0,11.048071255817735,7.393754784599855,0.7593502089980965,3.6643401671703555,1.4641934096159448,58.44115293773312,46.42289833275749,28.59064135655685,92.43864401899613,111.32757504623702,11.934463684463685,2.8466986331569664,,137.78829328268105,25.54464496964497,0.4688543599257885,10.553885796742938,2.4569885187276492,11.664870443566095,0.5627247631595458,-4.831324340342198,24.81958843089278,,1558.361994365423,276.2224011024011,,,9.920896435396436,15.837916218081437,3.8979743931663573,,275.1636363636364,19.92727272727273,,,,2.948196248196248,12292.145454545454,,,,,53.285454545454556,,,,,,,,,,257.72727272727275,17.536363636363635,,
0,1968.0,10.169999618437117,6.501968691031191,0.6003217268842269,2.2731361823726353,0.7420617323056345,30.90118443406621,24.41661492978566,27.12205050158175,80.75847187534688,49.358912469644174,12.161449661449662,2.9264090177133655,,165.2426897186147,34.99056391985595,0.33037358413464607,9.063400120037286,2.190872388481084,13.334792333270594,1.6178317334839076,-3.485165147045678,25.682203463203464,,1466.8697510148213,246.85426365424155,,,11.246007205429773,17.284049491812535,5.2064613294768165,,233.1818181818182,15.972727272727274,,,,3.627128427128427,13087.418181818182,,,,,56.25090909090909,,,,,,,,,,265.90909090909093,16.90909090909091,,
0,1969.0,10.334164583460357,6.569993191472065,0.7029742427629752,3.5876490468595725,1.1948855128100413,55.799728833102044,34.46093584088867,27.94981191864995,84.42749850957598,93.50411578725257,12.125940725940724,3.064285714285714,,178.74644428728587,33.49002256925811,0.16228443687460078,10.653800298062595,2.1530786018389323,14.036859146363279,1.0079108678282231,-3.8814126924987584,25.281959560182703,,1478.4818345157928,250.91788961038964,,,11.025675423061786,17.076849194423573,4.866237489059211,,278.1818181818182,14.963636363636368,,,,2.6165656565656565,12061.89090909091,,,,,53.69515151515152,,,,,,,,,,259.0909090909091,17.522727272727273,,
