,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HN03,HN04,HN05,HN06,HX02,HX03,HX04,HX05,HX06,LN01,LN02,LN03,LN04,LN05,LN06,LX02,LX03,LX04,LX05,LX06,MN01,MN02,MN03,MN04,MN05,MN06,MX02,MX03,MX04,MX05,MX06
0,1960.0,10.655422066541941,6.64704958553539,0.6296391130775988,4.569887866762867,1.5959162558120892,78.73336878206669,47.66729797979798,27.291745394458324,82.37966990772985,136.38767223324515,4.0458831060334814,2.356773026670986,,101.38155578339789,19.181492121212123,1.0724098124098125,11.063893795093794,4.068452525252526,11.495777200577201,0.16758787878787876,-4.6925584992784986,23.473929235209233,109.95555555555556,1623.1187242853564,298.32306989898984,,,8.963362227994228,14.6179443001443,3.3796783030303033,3211.035714285714,219.13173400673404,18.493518518518517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,11.054541564100388,7.159037150213622,0.5865132416603004,3.9211477015048444,1.3523329417381462,76.59073766667751,62.32228994673233,25.977960510803648,84.13860868253026,126.0509910576825,4.631058846302748,2.9055856180856177,,142.5558092391808,28.062778314431206,0.7532183663331204,11.121481796891633,2.6978668026188686,11.524372115487818,0.4235939680154556,-5.855416400539352,23.927875120747025,113.54875000000001,1725.1863862224734,288.9277793281099,,,9.484828002575936,14.931489427927445,4.026029087715563,2754.775,211.41045875420878,19.600661375661375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,10.268698227954284,6.443607353814966,0.5606820803187585,4.506892077456594,1.7001543209876542,70.50506519689988,50.558543771043766,25.989021268043757,75.74673587081892,135.2453401646854,3.9049693362193363,2.66296731411863,,118.59606528245419,19.45494567700818,1.1460690235690236,12.05445707070707,3.3418593674843677,11.310521885521887,0.3813678451178451,-6.649023569023569,24.747093344155846,119.020625,1589.0254129155014,308.5778238035113,,,8.578934746272246,14.411707401394901,2.7847257154882157,2977.0,231.81878787878787,18.5820303030303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,10.266780862815345,6.344444071254416,0.43814673831915213,4.504084299538844,1.5733225741120478,82.37572213140393,35.76078706868181,21.961898181320592,69.99966248693835,108.796453254348,4.450104011965326,2.4314405964405963,,111.36323336323336,20.061059327811297,1.4702576950608446,11.112371748985922,4.0125765529308834,11.677386349433593,0.7651620252013952,-6.088521235981866,23.29649893195169,119.30267857142857,1770.23310123022,299.8253716864937,6.703571428571429,17.810000000000002,8.81718983706582,14.933860866823464,2.664907281476179,3355.809523809524,235.28163452708907,20.012497704315887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,9.722122493046404,5.882743323504193,0.39747004203525943,4.279161579161579,1.307517405126967,62.291296820463494,41.54123462858522,21.787205282640063,64.30887683773554,100.43994986863514,11.085669191919191,2.895760810071155,,136.51135179225886,24.7543367003367,0.5643208948994074,10.911497501580145,2.75799315468737,11.380265464562985,0.8722097003088739,-5.353104957485123,24.599165205776774,138.73250000000002,1658.6324268104777,285.8102533670034,11.430833333333332,24.347291666666667,9.59981414141414,15.514244594707405,3.5947814270210965,3430.1875,243.7909090909091,19.90609090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,10.776665833164028,6.450050921801823,0.3400457645042483,3.28161349174565,1.2942375180375179,51.52633493525564,35.644795238095234,21.45327992404707,67.87445323529259,84.0593582972583,9.797746371275784,2.8296662163683437,,124.66792017396185,23.03521609826488,0.5501382876382876,11.323999919833254,2.3990145216335694,10.73058647701505,0.6343359902883712,-5.953696689113356,23.528111729540303,138.16895833333334,1686.6125042087542,294.435281150647,12.4609375,24.477520833333333,9.060978491714378,14.672234699603747,3.517914902998236,3141.7752976190477,251.90011223344558,18.2682379349046,,,,2.4074074074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1966.0,10.537651409822944,6.340057509400576,0.530391506303915,4.254566601980395,1.4147254589942337,90.71777130915062,53.19477553627751,25.904957539419215,74.23253748380573,119.43990013061159,9.109904601571268,2.8077903645421896,,142.1540958815959,24.938985126859144,0.6427244087549431,11.827278510293779,2.846416170634921,10.075698953823952,0.9280190295815295,-6.1785420453168545,24.256552804834055,134.10250000000002,1674.18867201426,296.6957461567304,11.571312500000001,23.71485416666667,9.10109196293645,14.79552004419192,3.018807127986517,2851.145833333333,276.8989898989899,18.574747474747475,,,,1.9702380952380951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1967.0,11.708791753513976,7.521498049275828,0.6538150018705574,5.300785688285688,2.0496770773086563,81.80034157534158,58.32688189003978,26.347104711132484,87.80556405323073,156.29472165261637,10.04016354016354,3.1147725993470674,,127.33543460579826,22.48312923075118,1.320739393939394,12.236566810966812,3.749587923368411,10.403987024718734,0.2385677330799282,-7.160078701298702,22.81255487511585,122.43208333333334,1708.275348829914,318.48661762808104,12.097291666666667,24.142083333333332,8.240681982425885,13.8110129488849,2.528528963924964,2708.916666666667,250.93939393939394,18.566666666666666,,,,2.279220779220779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1968.0,11.113837099348464,7.069572210197211,0.6457984881280335,3.6306918856337465,1.3317955300513438,55.42351393223486,40.60401146011611,27.603172785758016,87.70680868479164,104.87182357909101,12.141919191919191,2.6417488662131516,,117.32914805599385,24.510866762866765,0.9628689492325856,10.157167304687967,3.575449134199134,11.796449615199615,0.6232599807599808,-4.804536152552681,23.8433636964887,115.1547619047619,1627.4396983743886,287.22130152717654,12.586666666666668,24.701904761904764,9.492598725348724,15.115305116642617,3.7803755679582127,2516.0952380952376,227.56969696969696,19.688282828282826,,,,3.3273809523809526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1969.0,11.12991107991108,6.991522227236513,0.6842010842010842,4.421766862622894,1.6789782591540403,83.31582936086828,47.22999737892316,27.544427827642114,85.7228943739658,144.19750828598484,10.265516273849608,3.2637348969438524,,134.99589776267345,26.161747774353707,0.5502482451634993,11.37186911487759,3.828513953090224,11.295878274268103,0.4651664954631056,-5.76549499229584,23.3763255435713,126.12421768707483,1672.3202298359533,301.49899931518576,14.393632653061223,26.896428571428572,9.07676393168978,14.635299756034925,3.7498350667693887,2836.809523809524,221.12121212121212,17.883030303030303,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
