,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HN03,HX02,HX03,LN01,LN02,LN03,LX02,LX03,MN01,MN02,MN03,MX02,MX03,WDFM,WSFM
0,1960.0,9.65239194075401,5.874678434592227,0.34972218075666345,3.0278285730871946,0.8515093463369324,34.30640601416464,26.38229710902125,21.305267121129187,64.14410826242722,60.82019911761291,4.76762941919192,2.629148629148629,,207.53003787878788,40.073838999753626,0.5121027346637101,9.8310051736881,3.3797733431879773,15.160766198571077,1.2264535599901452,-3.2793292682926833,26.818045700911558,113.33904761904759,1422.2793163112608,249.53319475240207,,,11.307287817196354,17.315371766444937,5.307552106430156,2104.279285714286,258.0,17.754545454545458,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,10.94337121212121,7.489638949013949,0.6778679653679653,1.4765207345564488,0.5584847196454339,19.99011372225658,18.245232726929153,28.029285113035115,92.80111516955267,35.234835600907026,4.2180668290043295,3.575084175084175,,206.1713818181818,40.3303771043771,0.16751515151515148,8.712848484848486,1.3280808080808082,13.302828282828283,1.1115555555555554,-3.1759636363636363,27.192436363636364,119.43733333333333,1474.6534626262628,226.63205387205386,,,11.969456969696969,17.827564848484847,6.092669090909091,2144.5261904761905,263.7678571428571,18.649107142857147,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,10.043817152415878,6.3504117609213155,0.5028324647751399,2.6085243460243457,0.9696759259259259,33.219559375809375,28.12120402745403,24.788294891591068,71.47672392716979,63.60030594405595,3.775369769119769,2.704444444444444,,248.95608126721763,43.54188246097337,0.40974025974025974,9.548773448773447,2.19359176177358,14.589997376361012,1.6349140758231668,-3.7331621408894136,27.503776072412435,121.72133333333333,1452.8453617253617,239.58908434999344,,,11.67078676374131,17.643572346845072,5.6764956709956715,1829.4619047619046,284.95,16.874166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,8.294748376623378,5.081110660173161,0.43208198051948044,3.117796717171717,0.8517895957769376,30.63620580808081,18.489498511333956,21.270968479437233,59.52286255411256,47.59946709408734,4.482139249639249,2.478042328042328,,180.72114624505932,31.034848437997784,1.1555977211821367,10.236664417833248,3.5235448173759867,15.176673975375273,1.133077528532074,-5.309927943629242,26.112373222016082,127.09828571428571,1498.7218585858586,257.11916507374303,10.165,24.1825,10.646142964899457,17.301932951968666,3.9870046475890635,1595.1,219.5840909090909,17.341818181818184,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,9.73528321186549,6.522816775348421,0.7401674977624345,1.485261707988981,0.6811843929490988,20.823750491932312,20.379758367993663,27.046129650939776,84.23722669735328,40.81735822275038,8.909090909090908,3.466322055137844,,230.17437046521556,42.56014410774411,0.1136969696969697,9.36040404040404,1.5394074074074076,14.97341414141414,2.7996902356902362,-3.975350841750842,27.456364983164985,137.93533333333335,1393.9320331695333,228.0925292929293,13.597142857142858,26.384285714285717,12.109136296296295,18.705568484848488,5.522577912457913,1975.3485714285714,248.33333333333334,18.590909090909093,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,9.76348011091987,6.38629561536188,0.5925294250595455,1.141006253006253,0.570973063973064,18.143484607984607,14.61290404040404,25.95586019402284,78.39794252768651,32.13256734006734,12.359848484848484,4.2427987861811385,,212.1713262764633,40.71272015142145,0.2791486291486291,8.860620584321882,1.5147654654148162,14.728020932891061,1.3500201457993666,-2.991023828264088,26.613131734787576,133.46933333333334,1466.0195662337665,221.6871251475797,13.921904761904761,26.33452380952381,12.187043308783569,18.326379715522574,6.075940377804014,1902.3009523809524,236.78787878787878,20.47818181818182,,,,,12631.636363636364,,,,,54.73636363636364,,,,,,,,,,,,,,,,229.0909090909091,11.127272727272729
0,1966.0,10.026527176527175,6.465017903906793,0.519780699410329,1.3390625835070278,0.5404882154882155,32.43518919352253,21.00865600448934,25.258570493292716,76.2969414159229,34.8139541357134,14.454545454545453,3.191926655719759,,204.17732082732084,36.85319371825865,0.13417289780926145,9.91934558947546,2.075223477820881,12.779428796311912,1.8638406326718016,-4.000346507749105,26.73269372762879,132.31733333333335,1486.5643798018798,247.84370551526396,13.08904761904762,25.398333333333333,11.216817244804258,17.307456157118494,5.141185716159741,1688.7857142857144,247.87878787878788,18.80606060606061,,,,,11484.545454545454,,,,,49.31818181818182,,,,,,,,,,,,,,,,270.0,10.236363636363636
0,1967.0,10.826338383838385,7.232146464646465,0.47874999999999995,2.182617216945575,0.962946127946128,36.54213779586914,33.44578002244669,24.306904040404042,80.32188573232324,65.41725028058362,14.272727272727273,3.1260496671787,,183.98242424242426,31.635789225589228,0.28854545454545455,8.925410774410775,1.9147340067340064,13.769198653198652,0.8655892255892256,-4.0285117845117835,26.543016161616162,130.85238095238097,1418.6314445828143,244.55494680134677,12.67654761904762,25.472738095238093,11.181253838383839,17.173637777777778,5.151868181818183,1574.6780952380952,265.42424242424244,18.100000000000005,,,,,12090.0,,,,,51.690909090909095,,,,,,,,,,,,,,,,237.27272727272728,10.818181818181818
0,1968.0,10.782086295049258,6.909701957850106,0.6739197530864197,1.3856552063073801,0.6433953505644683,18.037384455319238,18.434198603683896,25.96427827659309,84.24632014590348,35.65033608140226,12.606060606060607,3.439503328213006,,212.81001948051946,41.90897659022659,0.2273102648102648,8.867622167622168,2.2111930111930107,14.365407452907453,1.7401139776139778,-3.110290062790063,26.543964305214306,125.95976190476192,1505.1274891774892,232.84537605787605,14.626000000000001,27.288,11.945796853671853,17.932362749112748,5.856237646737647,1665.28,250.6060606060606,18.202693602693603,,,,,12660.545454545454,,,,,55.01818181818181,,,,,,,,,,,,,,,,249.54545454545453,10.118181818181816
0,1969.0,9.65197261838366,6.139949229366407,0.6264879292486655,1.7577232175772322,0.671600193107546,20.310663201356633,15.926760249554366,27.762430771341815,76.80920444586089,34.57174316696375,14.944444444444445,3.127040816326531,,220.21795703514013,37.93960659223817,0.05023923444976077,11.042065390749602,2.044377990430622,13.694098883572568,1.1516879319510898,-3.31666533758639,24.804558745348217,117.28444444444445,1490.0346340113463,257.91920919723555,14.006428571428572,26.490357142857142,10.910126129718234,16.90771384901648,4.920994284954811,2083.6507936507937,265.4006734006734,18.084074074074078,,,,,12153.818181818182,,,,,52.036363636363646,,,,,,,,,,,,,,,,241.3636363636364,9.445454545454544
