,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,LN01,MN01,WDFM,WSFM,WDF1,WSF1
0,1960.0,6.894081223190813,5.445743392832434,1.1286218347862185,0.43456482634564825,0.26066486785664866,10.390599488030995,12.154690743046906,37.54382368202574,95.84167133665422,19.696130828836313,2.9513257575757574,3.740184310638856,,481.2381955922865,92.58656234475905,0.0,6.694436164927968,0.5273720814704421,19.180699264305822,6.346713031958933,1.3848468289451898,30.51809405530717,133.32857142857145,867.5562241462242,155.63977148534525,,,16.153583043550256,22.51850963972275,9.740238118893856,1397.7424242424242,245.93506493506496,17.035714285714285,,,,,,,,,,,,,,,,,
0,1961.0,8.573370394593416,6.72396991497711,1.5936097874946797,0.06336022091417776,0.04243877625172588,2.91835622411162,2.3985902187341037,46.28936964713943,127.50690193299906,3.3850737591744786,3.656728509585652,4.1654390847248,,421.03327838827835,78.31108219194286,0.002980625931445603,3.85495410782296,0.09076005961251862,19.54463073356516,4.194477562510349,2.1716117261609065,29.98096249379036,110.90416666666665,782.7686748844377,124.45379130887329,,,16.716348833770965,22.8784950736877,10.471550049677099,1298.8181818181818,248.7875,18.13125,,,,,,,,,,,,,,,,,
0,1962.0,7.591674093879976,5.786727569815804,1.2001633986928104,0.02250445632798574,0.017379679144385023,0.6348039215686275,0.9496434937611411,36.29311125965538,97.87089126559715,0.9964349376114081,3.75017316017316,3.778423848878395,,555.320826446281,97.97557181795278,0.037602588383838384,4.352075441919192,0.19623903433427242,18.924409629171535,6.443279736136879,1.7000856218434341,30.70561705490277,118.58666666666666,729.261769119769,128.99421030028174,,,17.236373525504476,23.585875856066334,10.74966516729798,1181.6030303030304,238.83333333333331,16.42,,,,,,,,,,,,,,,,,
0,1963.0,5.71102335410846,4.391313847696827,0.8208807937531343,0.2534493874919407,0.12543520309477754,9.906447453255964,12.672985170857512,31.41202002292428,71.37946324951645,15.849387491940682,3.75478650137741,2.9823067632850244,,542.623780494679,105.77840628507295,0.04577020202020202,5.749445847362514,0.5074950897867565,21.273393658810328,7.700690937149271,1.2199659792368123,31.615177819865323,134.77592592592595,849.0818089990818,126.67614513187429,13.75,25.685555555555556,17.50215888047138,24.577823232323233,10.395941007295173,1033.0242424242424,241.2285714285714,18.048571428571428,,,,,,,,,,,,,,,,,
0,1964.0,6.824990794645967,5.23077573767229,1.3210140817037368,0.01214240305149396,0.017369499187681006,1.0570247933884296,1.5486049304231122,41.4272926307409,101.93665392844703,1.8555343646252738,9.772727272727273,3.7499909812409813,,535.6474285714286,95.64838154269972,0.009366391184573001,5.063348700361688,0.14484923445962403,20.457502670489685,6.9943015498210315,1.2733362380764977,30.73942542306179,134.1547619047619,706.3337147667147,124.21860220947883,15.780555555555553,27.802407407407404,17.340798195311184,24.2105895223103,10.517142130957065,1373.835016835017,177.27272727272728,18.268181818181816,,,,,,,,,,,,,,,,,
0,1965.0,6.607665698076657,4.926719247267193,1.056399612563996,0.13381070983810706,0.13437110834371108,5.333499377334994,7.31376089663761,37.77211706102117,89.78901342189013,9.371668742216688,10.036363636363637,4.189819624819625,,476.737101840321,95.91792677717021,0.0014619883040935672,4.469342390066075,0.21006165551620096,20.269674012855834,6.047205824478552,1.9600822131085287,30.243272240025487,115.18333333333334,781.3237912014886,115.83285068732438,15.823999999999998,28.266333333333332,17.56530531347308,24.023286670039916,10.973185411445279,1064.7333333333333,260.90909090909093,19.10909090909091,,,,2.500892857142857,,,,,,,,,,,,,
0,1966.0,6.772182166492511,5.18826192964124,1.1397109021246954,0.23964472309299897,0.14160919540229883,9.525956112852667,9.574169278996866,40.39216597004528,97.2161776384535,11.923448275862068,10.609090909090908,3.8123337623337616,,435.8927346801347,79.6719733981747,0.01062573789846517,5.019179738010907,0.12690916587020482,19.773340079833584,4.905496523678342,1.0853214894773335,30.483132437548026,121.55502645502645,753.9687323232323,129.69228003598133,14.695740740740739,27.223333333333333,16.568258250407602,23.199623788909506,9.891893906598453,1158.2727272727273,239.0,18.519545454545458,,,,2.627232142857143,,,,,,,,,,,,,
0,1967.0,7.628684101286843,5.894228241317282,1.322635602601356,0.1790507817905078,0.12103915871039157,7.161616161616162,7.207070707070708,39.356298429500484,107.85147502421474,8.571122180711221,10.999999999999998,3.74510101010101,,447.582295558323,77.64148296148296,0.0,4.657999407999408,0.12400747400747401,20.462609612609615,3.6483941983941985,1.2218626743626744,30.322855477855473,108.58796296296298,729.7899282296651,119.44356726606726,14.492222222222225,26.82048148148148,16.832879259629262,23.39513048063048,10.306107263107265,1073.2851851851854,278.27272727272725,20.06818181818182,,,,2.382142857142857,,,,,,,,,,,,280.0,12.066666666666668
0,1968.0,7.900372217921887,6.276972898330514,1.7036703362862302,0.13056920556920554,0.14275932866536892,5.131340431340432,8.110193982006061,45.74574075666791,127.30640933937292,11.041137162613673,9.924675324675324,4.462578442229605,,424.98065789473685,80.99602952602953,0.0,5.8612017612017615,0.1583139083139083,18.88739963739964,4.9891867391867395,1.4024481999482,29.06081585081585,104.76296296296296,904.6202281385282,141.01003755503754,15.138194444444446,27.563666666666666,16.23181805231805,22.60645584045584,9.848649507899507,1061.7575757575758,210.54545454545456,19.159090909090914,,,,1.910037878787879,,,,,,,,,,,,228.57142857142856,10.428571428571429
0,1969.0,6.7178198490698495,5.205221130221131,1.1815683378183377,0.13994874856943823,0.11534770404633418,5.846509926854755,6.924624918460535,40.652147366522364,94.67408966596466,9.18821631184645,11.613636363636365,3.329073631047316,,455.80375102375103,88.37324268324268,0.0,5.604260554260555,0.08790468790468789,18.14723517223517,6.311318311318311,2.3941951566951567,30.056660839160834,117.86450216450218,898.5719916305916,147.38156371406373,15.242597402597402,28.58904761904762,16.25683087283087,22.837410774410777,9.746621665371666,1116.7757575757576,214.77272727272725,16.512727272727275,,,,2.452651515151515,,,,,,,,,,,,,
