,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,WDFM,WSFM,WDF1,WSF1
0,1960.0,8.04925614844093,5.891845081247254,0.8927536231884057,2.071781509361127,0.5731197323554011,39.79108280254778,37.07512706684681,31.386575675230564,87.25171593653931,72.54140127388536,3.8809269162210334,3.386247947454844,,323.44553717446576,58.024364306328586,0.10390641104926819,8.380565862708721,0.9689754689754689,16.329238816738815,2.279736136878994,-0.4173598227169656,28.61403550814265,110.15333333333332,1009.8750672624867,195.13826401772832,,,13.743558183879612,19.846248093176666,7.617155586477016,1141.611111111111,258.88,20.35181818181818,,,,,,,,,,,,,,
0,1961.0,9.685536276110048,7.161194891932597,0.9661779780632239,1.1912267839687194,0.3895857189405576,28.206210492016943,20.98386980403109,32.380984592214105,103.34702221275992,41.936861006377136,4.8079206104629835,3.0239461358313817,,259.96755924322594,52.527397370203495,0.01669758812615955,6.71755234561357,0.37103100980652,15.13569403952057,2.219558927467091,-0.9964190741231561,28.25316179285567,115.5911111111111,1184.6944100344099,186.18638991960424,,,13.79270498718968,19.706477975822366,7.844828849721708,1186.6214285714286,261.1051136363636,18.07660984848485,,,,,,,,,,,,,,
0,1962.0,9.386039162575475,7.062383612662941,0.8348174482252694,1.0507336850052083,0.5911164626396415,28.134152547232016,29.527622248979867,30.852155634557874,96.45074487895718,54.79625894708676,5.3691690144071105,2.627091836734694,,269.98998817781955,51.25347866967548,0.053014184397163114,7.264227380184828,0.7598619170427681,15.724263915753278,1.4771625832796045,-0.7552909413281754,28.16063104448743,107.69619047619047,958.4753574298176,185.66856571029442,,,13.77668074360628,19.669520175155814,7.914070868257038,1118.55,264.1774410774411,18.33882154882155,,,,,,,,,,,,,,
0,1963.0,6.916207529843894,4.840110899201808,0.7050257822985095,0.7236896941442396,0.3333969061241788,14.320551670551671,16.58685632549269,28.351535459490005,70.66637387864661,27.09998234089143,4.091185451453309,2.5506556245686682,,251.80054532668458,46.4702360865145,0.10447658402203856,7.62412272071363,1.0859196674537586,16.290645907123178,2.2683552243211333,-1.0817336924439198,27.973534041715858,125.0534722222222,1122.3982135378171,191.32290363046047,9.58375,22.60875,13.39475587449167,19.94850584579562,6.839307748753771,1398.3464285714288,256.9671717171717,18.17676767676768,,,,,,,,,,,,,,
0,1964.0,8.23273459154754,5.87086486654832,0.6960859883521754,0.5726610919056963,0.3484840698869476,13.41053832258868,16.697157598596448,31.437450195687607,80.41781460545849,29.926867337298987,12.972727272727274,2.8105431061313415,,275.7103276515151,51.153399988254634,0.010676532769556024,6.7822938689217755,0.22502223228967416,15.40053818920098,2.3720967985502863,-0.47833660525520993,28.073879576495855,124.90328042328042,1112.4186316695354,177.40669254840768,15.9483125,29.330222222222222,14.068412455115944,20.2556289934226,7.90726253397765,1302.395238095238,246.94040404040405,18.733838383838386,,,,,,,,,,,,,,
0,1965.0,7.578211445764636,5.142832581130454,0.6207336792443175,0.3468269319333149,0.18120106843511097,7.790899368558943,9.324497763859467,25.822913583658266,66.80814031909777,12.243373450820258,13.342020202020203,3.322354497354498,,284.89404948960504,59.17244523153614,0.05584456578774761,6.345913682277319,0.3305834317197953,16.396333874458875,2.5627894201757835,-0.5875460776597141,28.25677116128821,123.24851190476193,957.2794602167858,166.86816706021253,15.999722222222221,29.469166666666666,14.649652621999213,20.799073990718874,8.387507616751934,1105.9023809523808,265.10101010101005,18.755176767676765,,,,2.995959595959596,,,,,,,338.0,13.4,,
0,1966.0,7.952216184131078,5.6426749767175295,0.7749654600718431,1.1372652564141925,0.361239548473591,32.30693971119503,16.877148383531363,33.5132070962922,82.32262293655911,34.112100744015635,12.814478114478113,2.607337526205451,,277.014939703154,53.75371125043539,0.023534192499709738,7.186406760544692,0.46662520110795974,15.572390572390574,2.9096448889552335,-0.7669876100910583,28.355589557313692,105.75873015873015,1080.427320295983,182.84593003101622,18.315714285714286,31.182500000000005,13.930351047420013,20.161069554328176,7.656614092484782,907.9833333333332,248.2323232323232,18.07979797979798,,,,2.5354166666666664,,,,,,,247.5,14.3,,
0,1967.0,8.485792064515469,6.181885726566577,0.8122647447115533,0.7581383746277364,0.397438160736033,23.090755580117285,23.263286359031042,29.53259005966453,85.07320834996366,38.47844606142479,14.007070707070708,2.9624386724386724,,199.9936679878563,40.83622032008395,0.05609504132231405,7.131244260789714,0.4707263380558835,15.273195428309066,1.1278974813065723,-1.1487152777777778,27.844402220254494,108.21904761904761,1013.4990510929399,188.5174422799423,11.21875,25.3825,13.30684217171717,19.600771485143643,7.006346648301195,1131.9407407407407,284.2170454545454,19.125795454545454,,,,2.392361111111111,,,,,,,,,,
0,1968.0,7.835999487629923,5.619305111152937,0.6687158855637115,0.3484867052881758,0.23085078728461078,14.190001114081994,15.089559194890077,28.798300473680907,74.98886099608926,19.480048648247177,13.386363636363637,3.573219274815019,,243.65266361927547,51.92503582334977,0.04560723514211886,7.492471643343737,0.6719550152689687,16.185929896976408,2.5890021477230785,-0.7041495939461057,27.81272878284506,101.22857142857141,1036.0557470380497,187.04408327460655,11.050357142857143,25.054642857142856,13.740910043122254,20.047882059800667,7.452586949226483,1141.529761904762,266.73500631313135,18.213809974747473,,,,1.8576839826839826,,,,,,,315.0,26.4,,
0,1969.0,8.392191142191143,6.053789140152777,0.9215355351718989,0.7502934614636741,0.3964037538505623,28.454467419892953,30.05460276524106,31.74975865044047,89.88629547220457,42.456905171266875,14.682954545454544,3.65915873015873,,273.07725642670084,55.46358411563468,0.0010214504596527067,7.969849781928433,0.34747474747474744,15.677920073753405,2.4848396665063337,0.10524397263161314,26.88594272085939,104.48571428571431,949.4852122414621,192.23705234528268,19.115714285714283,28.665714285714284,13.69687987012987,19.7037487333654,7.800071902816285,889.1904761904761,256.38522727272726,19.3575,,,,1.8,,,,,,,,,,
