,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,WDF1,WSF1,WDFM,WSFM
0,1960.0,3.784744595414857,2.612031608179528,0.5053361037182301,0.44240764452032055,0.17496911075036073,14.607236347377192,9.917071890782829,16.655471221126074,46.00957455359228,20.986267924783547,4.8598784731500775,1.6379563492063491,,272.3412541228613,53.061683256190186,0.02580476040683653,4.191418760017377,0.12776504541210423,16.811249918862377,5.851415539477823,2.3333061584705184,29.99257985190511,176.06020750988142,750.7006452989382,144.74704870005044,,,15.25378513009482,22.867829378810345,7.6586410708668495,2734.139646464647,230.09006734006735,16.69347643097643,,,,,,,,,,,,,,,,,,,,,,,
0,1961.0,3.8654393928276827,2.437882512112096,0.3522347067416405,0.43966600994464766,0.20196650764656945,14.86197987169349,10.127719734327155,14.151593432675869,36.63473391186796,21.588282973252063,4.674346897546899,2.076819589624468,,241.09613877799674,51.010165869747745,0.027553213798888546,4.188763312811755,0.16685760039418576,16.317193588447942,5.348166458009664,1.8866414391068373,29.842150109859173,191.6417657945919,760.8389021382658,148.20641650451756,,,15.031001338672944,22.485701093815205,7.555785322328575,2683.2416400850607,240.54041125541124,15.841454834054835,,,,,,,,,,,,,,,,,,,,,,,
0,1962.0,3.8358549172108494,2.6152645206189122,0.6592660592275383,0.5088507619805919,0.23049754600680525,24.941863936338436,10.845319598097376,19.049876577796457,55.715218751459126,29.157732973473713,5.345579942812415,1.421701388888889,,210.93101273996217,41.86475139005856,0.05724480297859138,3.89892587503509,0.18654117971524115,16.50078749464415,5.018567439386552,1.8452700210294064,29.35879143704229,186.9560927598971,765.6281200798015,144.32238318090708,,,14.861293384847993,22.300877681003108,7.408250836005101,2520.789659090909,248.4376738816739,15.096225108225108,,,,,,,,,,,,,,,,,,,,,,,
0,1963.0,4.968408239448612,3.3228940357434147,0.5988872755953502,0.47426391217215474,0.21820190350516944,14.550963197852779,10.525787311012817,20.467324285445404,55.15832207388885,25.500289722373708,5.165042213176541,1.7601139601139604,,187.57351344181112,41.03379832475792,0.025021256334387645,3.5917269131915597,0.13471365895608323,15.990220628604465,4.176577948800171,2.847610690843014,28.801077003804277,159.49234086900753,726.6323535229138,141.55328209949423,10.955833333333333,22.197202380952383,14.959982820023225,21.932025237949482,7.9532706793767405,2411.8336805555555,232.19480519480518,14.61222582972583,,,,,,,,,,,,,,,,,,,,,,,
0,1964.0,4.201998693560208,2.7712183802877806,0.42434302465848206,0.6317183913155476,0.31814158283352595,25.754265288862445,15.2799219912964,15.396082313673007,46.52875602009278,37.47986106836817,8.541624852420307,1.4375197472353871,,199.95630180700667,41.608324285575094,0.04913199519308844,5.0501876829851104,0.24579367391867393,15.551438607688606,4.578858872608873,1.3002069964690544,29.221957637270133,185.8966545640739,834.0901112397704,160.56924801529303,10.376968109668109,23.874895887445888,14.325830868399196,21.683923069985575,6.9590935723797465,2744.058647701505,231.89772727272725,15.882620851370854,,,,,,,,,,,,,,,,,,,,,,,
0,1965.0,4.343213788526289,2.9811581936581932,0.5541977120102121,0.5917631746031746,0.23871595959595962,26.178451948051947,11.993043059163059,18.28856461247086,52.60510042619417,29.466824992784996,8.546306084096782,2.161405587876176,,174.84407001787596,36.56558459417371,0.04643815201192251,4.289151231282379,0.1946410238213517,15.878456343292406,3.9193054668464504,1.812117320748468,28.891110791758333,165.5411717827627,779.9522651338561,151.93243827954223,10.25443181818182,23.644160123966945,14.41851911146237,21.6647926844558,7.186277331866675,2471.5775577200575,229.68452797202798,15.352587412587411,,,,3.3328369905956112,17505.81818181818,,,,,75.30000000000001,,,,,,,,,,237.5757575757576,12.613636363636365,233.1818181818182,15.154545454545454
0,1966.0,3.358132890310704,2.1874187576063595,0.43517104157397796,0.4458935173395958,0.16457496298182572,15.751954241292477,7.309508719312642,14.87858489933123,41.48226716006487,15.205141046317516,8.706470015772341,1.3752204585537917,,237.63569332464314,44.71070205055642,0.059555915138439414,4.374265657032647,0.14351010101010103,17.472789065772936,4.89481555183168,1.5782296263606943,30.191264406740213,181.12391414141416,777.9754330411511,137.79325556769734,10.773848665223666,24.214961093073594,15.141579283355984,22.68632819671368,7.541925149553791,2426.8982529375385,239.61915306915307,15.242983682983683,,,,4.401783137497424,18236.727272727272,,,,,77.73636363636365,,,,,,,,,,238.4848484848485,11.913636363636364,261.8181818181818,14.590909090909088
0,1967.0,4.627425306933504,3.087506623613181,0.4582993281763773,0.8656262460127591,0.3689746396642949,33.05040655616313,17.156191992645198,15.955759456390604,46.62299856882643,47.43981676961973,9.16097016678412,2.069220594220594,,247.7706582336421,53.18128967112354,0.0684375399565273,4.7927370449522355,0.26738188850530625,15.793644514767934,5.602046915812739,2.437773382559775,28.876925813286572,166.88783503235115,762.9273912823999,155.95730639350103,11.196049747474746,24.66671313131313,14.808531805395729,22.088320199052003,7.53090278462747,2252.732565450423,231.65754963427378,14.85669801462905,,,,4.226498753771481,17211.81818181818,,,,,74.48181818181818,,,,,,,,,,200.30303030303028,11.421212121212122,151.36363636363637,15.472727272727274
0,1968.0,4.246379081554961,2.786391432873845,0.40293706386671213,0.6767612218699175,0.23719836926358664,24.494740404523014,10.42856406878146,15.354563655216921,43.6458365072138,26.05266158961811,9.26798046914326,1.6708812260536399,,211.9878738060881,43.23661956032535,0.05194387605963168,4.167146661841196,0.1920153533497585,16.565674777169953,4.665752843084032,1.8191918147947084,29.556656772131046,177.10371113734752,763.3412078175236,146.1088781243765,10.932665568730785,24.12371387790953,14.883968817713193,22.17216978814326,7.590213066586862,2746.8129966329966,235.71410658307212,15.267777777777779,,,,4.283465608465609,17695.636363636364,,,,,75.2,,,,,,,,,,218.18181818181816,11.527272727272726,216.8181818181818,13.745454545454548
0,1969.0,4.314469576719577,2.921084235209235,0.5571347402597402,0.7893672595258572,0.2849760746499877,37.177898288874914,11.434858438662786,16.620746717171716,52.628755146705146,34.00115066093326,8.886093893480256,1.8972850678733035,,223.87104263273304,45.302460026532614,0.06450798305637015,4.515547293208583,0.17742552250616767,16.172363845831587,4.915712423776939,2.2711503165293485,28.898609132802683,173.9268686868687,796.6497761849838,150.57859315505283,10.850477483164982,24.498643458393456,14.761311115765954,22.083482171949914,7.434207197551553,2605.7849217986313,238.704898989899,15.066968975468976,,,,2.952749901613537,17746.363636363636,,,,,75.83636363636364,,,,,,,,,,202.5757575757576,11.409090909090912,241.3636363636364,14.19090909090909
