,YEAR,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,DYFG,DYTS,AWND,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,EVAP,HDSD,HTDD,MNPN,MXPN,TAVG,TMAX,TMIN,WDMV,WDFG,WSFG,HX01,LX01,MX01,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5,PSUN,HN01,HN02,HX02,LN01,LN02,LX02,MN01,MN02,MX02,HN03,HX03,LN03,LX03,MN03,MX03,WDFM,WSFM
0,1983.0,8.727797339593113,6.151671646037842,1.0727094892587852,1.6270337301587299,0.504941981801486,19.14212391774892,15.370700809750396,34.36608247972685,97.01623559539053,32.824716169964105,1.9499194847020935,2.7229761904761904,,340.27307353192947,72.00076834745849,0.7697752169583155,7.403065869967279,2.267591407028027,14.21017214397496,5.087494664959454,-2.0950679328496227,27.85129748186086,168.40158730158728,935.271298432082,212.4948806475215,14.80638888888889,28.040555555555557,13.079767321098307,18.55893512590696,7.2532301536491675,2066.8796296296296,221.11111111111111,20.044444444444444,22.76666666666667,11.766666666666666,17.3,,13440.545454545454,,,,,57.68181818181818,18.316666666666663,19.68,23.880000000000003,8.333333333333334,11.999999999999998,15.0,13.55,16.04,19.26,,,,,,,225.0,15.009090909090911
0,1984.0,9.703913095760923,6.830609668109668,0.9852374678461636,1.2753363997113996,0.42589321789321793,25.70186507936508,19.96760404040404,33.368634899721854,96.16090326139239,31.95734285714286,2.9477863046044863,3.1127272727272732,,270.78952950558215,56.77275442921277,0.28518318101651435,7.604180695847363,1.355638577556386,13.77768091877681,2.7767088695170887,-2.2675870811287475,27.343403902034037,149.41527777777776,1105.6093679441474,206.58315841951259,14.932079365079366,28.287269841269843,12.994981441398108,18.545421405839217,7.1557054473304476,2088.588888888889,232.22222222222223,21.51111111111111,25.28333333333333,15.283333333333331,20.166666666666668,,13459.363636363636,,,,,,20.0,20.26666666666667,23.9,10.55,12.033333333333337,15.183333333333332,15.08333333333333,15.983333333333334,19.46666666666667,,,,,,,249.54545454545453,15.581818181818182
0,1985.0,9.917361045280753,7.028302050747306,1.1146293487534362,2.27343724126511,0.4794386959021106,20.508414058618975,14.747084667816374,34.76394639828946,103.83352626894599,30.3799889135255,2.8757635175282235,3.071407327240661,,244.82834635703284,50.46004002846469,0.9045938840459389,7.17919607029196,2.487913380379134,15.89852290023523,1.7812162723121627,-2.1068603846686034,27.108856026013562,153.8011904761905,1098.3507282382652,210.83914146355926,14.109511904761908,27.108976190476188,12.67312373737374,18.45730842673309,6.768078801715788,2158.3835978835978,190.0,21.200000000000003,19.45,10.0,14.25,,12383.0,,,,,,17.25,17.5,18.9,5.55,6.9,9.75,10.95,11.7,13.9,,,,,,,253.63636363636363,14.063636363636364
0,1986.0,8.521821152703508,5.805933017146252,0.9003878066378066,0.8954581529581529,0.32704733283245674,10.584921837421836,10.514894517787079,31.878530287114845,86.30193452380954,22.485401237880577,3.7402377635136257,3.1421169966113784,3.233333333333333,297.42886177041345,56.37729313684793,0.33015082330150824,7.718136847931369,1.552600367668861,15.640911067623396,2.4735347605210616,-2.57277397260274,27.22867382237245,154.68833333333333,1200.3767124163714,202.2448936033525,15.914095238095237,28.882,13.070586130384076,18.90476837355947,7.167368686868688,2045.1277777777777,126.66666666666669,20.566666666666663,17.4,8.366666666666667,12.2,2.0,13327.454545454546,,,,,,14.8,17.033333333333335,20.53333333333333,4.466666666666667,6.666666666666667,10.2,9.0,12.433333333333332,14.166666666666666,,,,,,,200.45454545454547,16.90909090909091
0,1987.0,7.99552572052572,5.511138411138412,0.7776239713739714,0.5898601398601399,0.22065469509913954,12.048910256410256,16.019210624766178,27.888865366990366,78.49510313072813,23.465978301533855,2.3792962465376264,3.409191074882565,3.02,326.0464381313131,66.89805046805047,0.007896270396270397,7.678024753024753,0.5801911520265951,15.210425685425685,4.016082616399071,-0.4713167388167389,28.08560825250699,170.0075,1089.1798604597561,189.53760521885522,14.668083333333334,27.038333333333338,13.980928483553484,19.7762399218222,7.772396867021866,2117.9305555555557,200.0,17.880000000000003,24.490909090909096,15.70909090909091,19.91818181818181,1.5,15905.125,,,,,,18.32727272727273,20.80909090909091,22.945454545454545,9.645454545454545,13.32727272727273,16.372727272727275,14.099999999999996,17.34545454545454,19.44545454545454,,,,,,,230.625,16.6125
0,1988.0,6.466424866424867,4.728149740649741,0.6259420946920947,1.0810644910644909,0.4734288438833893,18.454009324009323,22.87843520116247,26.900545244920245,65.75229695604696,35.541372264099536,1.830495150843988,2.561039366376445,3.363636363636363,340.0920849116162,66.72139517889518,0.3765540015540015,9.196047008547009,1.9896584896584897,15.369760332260334,5.0831834831834835,-2.0034977984977984,28.49652699152699,178.89270833333333,1104.8440630110629,220.9251639564139,15.91375,29.203125,13.015889601139602,19.603105704480704,6.292518389018389,2060.208333333333,221.25,19.65,23.94,14.32,18.85,1.0,,,,,,,17.56,18.82,21.73,6.840000000000002,11.24,14.330000000000004,11.69,15.27,17.75,,,,,,,,
0,1989.0,7.459386161513821,5.039847563783734,0.7013404050638093,2.1732994002525254,0.5920288152846291,21.33285392992424,17.685719599091694,28.05112554112554,71.99181025042728,37.11193328635189,2.7162892316017317,3.0023542001070087,2.9818181818181824,205.9391323953824,48.343193121693126,1.2033326687931951,9.425897129186604,3.417029790385053,14.833176217057796,1.9884156413761673,-4.0712004917597024,27.899633743449527,151.34714285714287,1224.537631273048,248.5890007215007,15.912857142857145,27.76958333333333,11.420949874686716,17.223332336523125,5.1913320374800636,2128.974074074074,200.0,16.46666666666667,24.2,14.71,19.69,1.0,,,,,,,18.83,21.12,23.43,7.99,12.78,15.060000000000002,13.97,16.759999999999998,18.62,,,,,,,,
0,1990.0,8.893705753605083,6.631503917409957,1.3021243111847138,0.8532004068462402,0.3887307517444503,18.6311956369248,21.815074176204316,37.5353004154682,110.64718067540215,32.06423357844591,3.0757245069745074,3.170484607984608,3.309090909090909,248.05691360610714,50.67897019300145,0.31264339826839826,8.359533730158729,1.262245670995671,14.08952335858586,2.2247961760461763,-2.227320661976912,27.964013573232325,145.71857142857147,1075.234161732875,210.11895418470422,12.492857142857144,25.61428571428572,12.817306105699856,18.515759465187593,6.803061661255413,1882.7142857142856,164.0,17.4,24.0,14.7,19.73636363636364,1.5,,,,,,,19.545454545454547,20.35454545454545,23.53636363636364,9.345454545454546,11.30909090909091,14.909090909090908,14.927272727272731,16.045454545454543,19.618181818181817,,,,,,,,
0,1991.0,8.191986454405809,5.8320583717357914,0.7530363543266769,0.4836842450478814,0.23041381557510587,12.369788797061526,13.62606386445096,29.945799981380627,80.83440657729368,17.717979797979797,3.3445019266447837,2.9704869765475825,2.9909090909090907,384.58950817700816,68.52033764407182,0.10792920160008768,8.200750726067183,1.439279777887373,14.96008183096791,3.923887153633989,-1.5775609622445066,28.316989058761212,194.9,1011.9386054561055,208.24744378687416,16.14,29.865,13.493841808683582,19.27316360713829,7.645331561546752,1628.8333333333335,220.0,15.227272727272728,23.990909090909096,14.745454545454544,19.654545454545453,2.5,,,,,,,20.290909090909093,21.47272727272728,23.627272727272725,9.645454545454545,12.681818181818183,15.963636363636365,14.545454545454543,17.336363636363636,19.57272727272727,,,,,,,,
0,1992.0,8.561674177025054,5.842012649468789,0.787685754791018,0.3058259061200238,0.20124047492468541,6.772272727272727,11.828464469253944,28.24907972793938,81.62038380884871,15.041005080040167,2.913267431308668,2.864998530276308,3.036363636363637,198.61866731497165,36.30886548410938,0.031208425720620842,7.93859632914511,1.0215754794068046,14.089013195639701,0.9389766859646377,-1.9221464646464645,26.263306211860428,151.325,1232.09889704091,217.56565564178368,15.0375,27.8975,12.135741531165312,17.76162798379666,6.48454970436068,1550.2,218.1818181818182,15.190909090909091,22.036363636363635,14.01818181818182,18.445454545454545,3.0,,,,,,,18.590909090909093,20.09090909090909,22.581818181818186,9.545454545454543,12.481818181818175,15.20909090909091,14.263636363636364,16.71818181818182,19.045454545454543,,,,,,,,
0,1993.0,10.133046880368308,7.171455412973271,1.0781829777365493,1.4499637089457447,0.5381840215672551,24.44724641625839,22.416716782884446,33.88173340548341,107.66639865921115,41.26231800468327,3.1913659289827514,4.010995327423899,2.827272727272728,253.31778986778988,51.61011205258156,0.3711395312005068,8.582967743638475,2.5589360503994647,12.964192447119276,1.9774539823320312,-2.5330242758596415,25.716224967444482,159.7,1305.8193056726823,239.81349259141945,,,11.819104173265758,16.823592404885087,6.563723339668461,1808.0,221.8181818181818,16.218181818181822,23.227272727272727,13.28181818181818,18.409090909090907,2.0,,,,,,,19.4,19.49090909090909,21.51818181818182,10.854545454545455,11.018181818181816,13.236363636363636,15.063636363636364,15.654545454545456,17.872727272727275,,,,,,,,
