,Unnamed: 0,STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP10,DP1X,DSND,DSNW,EMSD,EMSN,EMXP,PRCP,SNOW,CDSD,CLDD,DT00,DT32,DX32,DX70,DX90,DYFG,DYTS,EMNT,EMXT,HDSD,HN01,HN02,HN03,HTDD,HX01,HX02,HX03,LN01,LN02,LN03,LX01,LX02,LX03,MN01,MN02,MN03,MX01,MX02,MX03,TAVG,TMAX,TMIN,WDFG,WSFG,EVAP,MNPN,MXPN,WDMV,AWND,DYHF,TSUN,WDF2,WDF5,WSF2,WSF5
37,1997,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1998,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1999,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2000,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2001,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2002,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2003,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2004,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2005,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2006,US1DEKN0001,,,,"FELTON 3.6 NE, DE US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
