"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"        Michigan (Items)",,,,,,,,,,,,,,,,,,,"8128150",,,,,,,,,"8191748","7945471","7913124","9286067","9182847","7798432","8192368","8126337","8294108","8332895","8518097","5061498.600037382","5061259.745"
"        Minnesota (Items)",,,,,,,,,,,,,,,,,,,"4177841",,,,,,,,,"4755753","4783491","4796095","4847971","4909634","5099007","5219490","5223189","5281269","5358317","5682653","8386830.525462717","8440064.861"
"        Mississippi (Items)",,,,,,,,,,,,,,,,,,,"2255744",,,,,,,,,"2007875","2034907","2025690","2015915","2036524","2052140","2073535","2067806","2068853","2067222","2057476","5404277.268659564","5425884.596"
"        Missouri (Items)",,,,,,,,,,,,,,,,,,,"4377520",,,,,,,,,"4916993","4865776","4904201","5153425","5169994","5684682","5820656","5332901","5624005","5684525","5568736","2067498.3135255438","2066680.604"
"        Montana (Items)",,,,,,,,,,,,,,,,,,,"988277",,,,,,,,,"948528","926975","924950","925854","1219158","1488608","1539931","1585830","1645227","1794732","1863918","5498674.973747602","5534288.656"
"        Nebraska (Items)",,,,,,,,,,,,,,,,,,,"1525998",,,,,,,,,"1739072","1756628","1793023","1802498","1886956","1888478","1891253","1947627","1981296","1951766","1965105","1845338.1500541985","1900805.765"
"        Nevada (Items)",,,,,,,,,,,,,,,,,,,"1220277",,,,,,,,,"1424322","1417214","1397341","1361671","2152407","2130331","2203096","2240498","2316056","2398659","2455442","1961308.5793586331","1968478.877"
"        New Hampshire (Items)",,,,,,,,,,,,,,,,,,,"1038465",,,,,,,,,"1184842","1213955","1212493","1202974","1278484","1302441","1408936","1310191","1296137","1322682","1319117","2514338.275695903","2546583.257"
"        New Jersey (Items)",,,,,,,,,,,,,,,,,,,"5780336",,,,,,,,,"6247130","6246882","6113807","6628080","7939956","7911474","7061343","6874100","5938585","5940997","6057711","1346318.2577561229","1363379.257"
"        New Mexico (Items)",,,,,,,,,,,,,,,,,,,"1594792",,,,,,,,,"1599333","1569771","1620704","1612491","1772040","1805790","1882466","1930706","1823445","1823961","1740002","6055389.443868336","6033014.586"
"        New York (Items)",,,,,,,,,,,,,,,,,,,"10422033",,,,,,,,,"11494513","11088903","11245208","10255099","10430559","10448743","10674135","10903620","10638765","11122392","10857455","1824217.4751887952","1825421.381"
"        North Carolina (Items)",,,,,,,,,,,,,,,,,,,"5861830",,,,,,,,,"6317148","6248829","6047239","5742829","6249592","7792555","7813854","7876030","7928973","8270643","8070717","11482229.097801311","11389158.45"
"        North Dakota (Items)",,,,,,,,,,,,,,,,,,,"672158",,,,,,,,,"710537","717221","722071","735644","785866","810355","845109","870731","890803","894954","1056758","8210212.654281173","8527387.905"
"        Ohio (Items)",,,,,,,,,,,,,,,,,,,"10039488",,,,,,,,,"10848476","10933169","11022129","9800933","10217277","10116248","10360365","10453358","10557323","10686057","10809247","899952.5097421574","903667.712"
"        Oklahoma (Items)",,,,,,,,,,,,,,,,,,,"2919186",,,,,,,,,"3224653","3291970","3396395","3357464","3428689","3439937","3460012","3517806","2988512","3737405","3744178","10913773.306240465","10901278.74"
"        Oregon (Items)",,,,,,,,,,,,,,,,,,,"2980064",,,,,,,,,"3088313","3105673","3046373","3050254","3128120","3527237","3603825","3417959","3607482","3811706","4103451","3699021.8518320126","3706623.797"
"        Pennsylvania (Items)",,,,,,,,,,,,,,,,,,,"8978814",,,,,,,,,"9937941","10366408","9857311","9990941","10302980","10471413","10461108","10504757","10598694","10748822","10689206","3942874.801347201","3919156.992"
"        Puerto Rico (Items)",,,,,,,,,,,,,,,,,,,"1993665",,,,,,,,,"2531199","2531199","2531199","2531199",,,,,,,,"10727714.83322509","10800315.35"
"        Rhode Island (Items)",,,,,,,,,,,,,,,,,,,"715017",,,,,,,,,"796683","794380","788623","782438","918823","854359","853152","864762","875097","876228","872814","872344.17618931","868941.7594"
"        South Carolina (Items)",,,,,,,,,,,,,,,,,,,"2893061",,,,,,,,,"3521026","3603960","3614400","3660878","3827208","3896832","3986574","4017611","4162651","4324423","4404100","4457518.84607103","4516142.58"
"        South Dakota (Items)",,,,,,,,,,,,,,,,,,,"768507",,,,,,,,,"864838","907384","926168","925548","995423","1003571","1015173","1032705","1082289","1246359","1258356","1269414.7420332835","1280968.587"
"        Tennessee (Items)",,,,,,,,,,,,,,,,,,,"4469065",,,,,,,,,"5339946","5098147","5139662","5113913","5302335","5392661","5451933","5495647","5612123","5709923","5800489","5770873.793964725","5817886.911"
"        Texas (Items)",,,,,,,,,,,,,,,,,,,"13324167",,,,,,,,,"18072148","18207948","18208170","17193559","19617055","20238122","20171135","20877026","21864841","21766166","22130765","22186240.566656627","23007145.81"
"        Utah (Items)",,,,,,,,,,,,,,,,,,,"1532253",,,,,,,,,"2320171","2438685","2453879","2654715","1883410","1981341","2060512","2150573","2229193","2317282","2355773","2372800.1034570993","2430275.234"
"        Vermont (Items)",,,,,,,,,,,,,,,,,,,"496153",,,,,,,,,"564967","581466","557370","566650","605054","606941","611789","612437","655347","615950","621608","619693.7104187121","620428.2162"
"        Virginia (Items)",,,,,,,,,,,,,,,,,,,"5818294",,,,,,,,,"6613781","6525948","6301835","6148794","6998385","7116791","7051016","7160097","7238905","7301081","7514484","7604646.235921551","7647692.483"
"        Washington (Items)",,,,,,,,,,,,,,,,,,,"4823987",,,,,,,,,"5757943","5979710","5580668","4682790","5880793","5849945","6392840","6405483","6725467","7047689","7256196","7152412.938315372","7377027.784"
"        West Virginia (Items)",,,,,,,,,,,,,,,,,,,"1377835",,,,,,,,,"1413467","1402030","1412478","1435523","1458222","1458802","1453395","1553192","1613345","1704825","1691237","1693719.4713403112","1668113.223"
"        Wisconsin (Items)",,,,,,,,,,,,,,,,,,,"4203319",,,,,,,,,"5017895","4998903","4874316","4967777","5244195","5215294","5338759","5340155","5466581","5564429","5596635","5683061.122115731","5666399.811"
"        Wyoming (Items)",,,,,,,,,,,,,,,,,,,"558991",,,,,,,,,"652102","664041","652324","663253","798296","799405","830539","820107","814989","855230","819257","837024.0712189082","843670.8928"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"Department of Transportation"," Federal Highway Administration, Highway Statistics, Table 7.3.1 MV-1","","https://www.fhwa.dot.gov/policyinformation/statistics.cfm","","2019","Yearly"
"Exported on: 10/07/2021"
