"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,83273,85302,87641,88089,87346,88354,92036,93754,95500,97974,100386,104472,99785,100043,98765,99616,99456,99501,100014,100412,101072,102062,102656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,29197,30478,30589,31370,31573,32514,33860,35323,37078,38474,40402,40113,39388,40595,41511,42042,42430,43285,45042,44581,45481,46628,47916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,316587,327709,345599,357824,360773,365829,374588,387840,406294,431796,436767,446613,427494,433917,438423,439540,445110,455296,469536,477524,489027,501955,511540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,22466,23732,23756,24653,25078,26404,27997,28256,29166,30371,31790,34304,35297,37975,42208,51625,52386,56555,55067,51137,51291,53473,53930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,70791,72421,73893,76663,78425,79685,84099,86116,89082,91535,93581,94070,94343,97830,102685,102605,103975,107394,110753,111612,113754,115088,117395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,48424,51617,53052,56719,57429,59058,61610,63498,64350,65927,65675,64960,64420,66460,66859,67636,68124,69506,71419,73023,74254,76165,77240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,425869,433367,448529,472786,476264,486924,499354,507223,513116,523842,526661,532725,510832,516400,510773,519569,526890,524420,535284,540380,540657,549001,556731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,67428,67071,70696,71960,72027,74242,77088,82784,83794,85852,86474,85938,87637,87054,87225,87645,86625,89372,91680,91714,91772,93871,98766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,89877,94700,101215,105455,106670,110165,115128,127761,138796,144602,144315,138589,127109,128879,129748,127789,128341,129405,134892,138639,143591,149663,153729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,977600,996015,1046472,1084844,1107932,1098777,1101604,1129018,1167640,1196695,1203503,1177915,1221256,1267972,1270517,1323401,1325490,1347560,1372232,1397724,1424906,1467077,1490678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
