"Crude oil production (including lease condensate), thousand barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,77341,76818,78796,74796,70168,63708,61661,59142,56391,50724,43747,39084,34874,30669,27553,26067,26272,25608,23362,21793,22702,24090,27710,29200,28868,30265,27245,23980,22476,20378,19954,19068,19303,17406,17148,16190,15575,16115,13732,12065,12206,10092,11100,11697,10984,10207,10324,9609,9430,9099,9067,9158,9733,9539,9546,9520,8639,8314,8420,8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,12054,11500,12077,11902,11283,11481,10617,10081,8692,7841,7487,6658,6130,5312,4919,4632,4630,5314,4689,4715,4978,4721,5563,5321,5526,5168,4759,3738,3665,3311,3000,3014,3016,2761,2492,2778,2523,2430,2208,1964,2098,2022,1962,1865,1755,1727,1773,1727,1859,1803,1835,1987,2350,2399,2507,2219,1817,1779,1684,1579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,113453,112241,112076,109107,106252,104733,103738,99200,94505,88716,84853,78532,73744,66227,61691,59106,58714,57496,56586,56995,60151,65810,70525,71594,75729,75407,67034,59884,58824,55485,55428,56928,53613,49625,46732,43767,41789,39835,35541,29046,34463,33942,33380,33973,33879,33620,35668,36590,39663,39466,40470,41500,43751,46846,49518,45481,37944,35825,34715,33193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,21147,18344,17789,18344,19772,19386,18066,15535,14036,12924,11575,10692,9702,8687,7837,7556,7483,6581,5724,5514,5946,6548,7349,7886,7777,7790,6475,5743,5458,5414,5409,5485,5479,4595,4013,3492,3602,2988,2921,2777,3465,2969,2721,2538,2548,2535,2340,2666,2645,2609,2519,2326,3198,2305,2626,2862,2595,2477,2265,2505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,360224,369322,400393,418720,438438,458890,500055,567632,566683,555147,579984,561149,520279,467135,400564,342021,307328,280129,258816,229801,213806,199579,188749,179617,187011,184409,181791,175027,165006,153295,147582,147070,143075,138673,126484,122885,132151,134134,134220,120008,105425,104610,93321,90018,83272,75199,73619,76978,72346,68967,67590,69279,70994,72286,69456,64827,57075,52310,48102,45923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,15899,18901,17114,15972,15601,14728,14273,13664,12974,12213,11693,11893,12990,14614,18021,24420,30421,32965,34667,34862,33808,32665,31462,31736,30554,27300,25688,25972,23250,21568,19676,17520,15579,13799,12207,11383,10837,10053,8994,7836,7907,7375,7218,6468,5951,5734,5849,5726,6370,6258,6980,7038,7450,7781,7419,6560,5639,5521,5433,5092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,75,72,55,53,65,73,97,75,65,67,66,66,60,60,56,57,61,60,54,91,130,226,202,269,285,243,110,110,156,133,146,149,143,135,123,120,115,114,93,92,94,91,95,87,88,86,87,80,99,106,146,118,175,199,196,149,123,116,96,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,51673,54688,55713,58619,56777,56183,55227,57147,58708,64283,65119,64066,61100,56102,50779,46614,46072,43022,42024,37327,35945,34204,33047,31455,32776,30641,29997,28103,27553,27403,27034,27055,25182,22613,20124,19910,19509,21037,22031,17951,19844,19528,19371,19301,19242,17695,17356,20672,22104,23328,23981,24043,24137,24057,24395,24923,20386,17783,16953,16878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,30240,30906,31648,30870,30647,32778,35380,34959,48460,43954,37879,34599,33904,34620,34554,32844,32814,32680,30467,29957,29584,30813,30921,29225,29761,29768,27072,25059,23338,20956,19810,19579,18482,17448,16528,16530,15919,15526,16483,14937,15428,15920,16990,19420,24718,32787,36294,34907,31596,27835,25332,24155,26494,29288,29896,28556,23178,20717,21551,22967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,21992,23652,25181,25030,25731,26350,27126,25315,25040,22703,21998,21653,20624,20235,19697,20452,21725,23273,24812,30914,40337,45424,47271,50690,52652,50857,45628,41351,39343,36744,36717,35891,32894,30915,27575,29335,32317,35832,35562,32882,32719,31691,30803,29411,31152,35675,39591,44788,62322,79792,112555,152433,242364,312360,394628,429636,377809,390663,460438,518874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,23825,24369,24894,21846,19113,17216,13850,13373,13183,12106,11451,10062,8705,7240,6611,6120,6182,5968,5862,6068,6240,6671,6872,6380,6452,6943,7098,6091,5978,6230,5889,5832,5474,4868,4216,3793,3541,3337,3174,2663,2957,2922,2782,2753,2506,2408,2313,2335,2394,2239,2331,2544,3025,2808,3050,2910,2288,2125,2056,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
