"Natural gas marketed production, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,11666,9970,10650,9459,7867,7396,7230,5144,4380,3800,4850,498,1194,1638,1436,1440,1556,1003,1159,1585,1574,1295,1162,1030,1530,1324,1887,1371,1338,1477,677,466,347,340,333,335,298,231,209,195,189,185,180,174,170,166,170,1394,1193,1443,1702,2121,2125,2887,1929,2080,2183,2131,2464,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,342,382,284,286,200,239,215,198,234,171,153,537,355,276,176,346,192,183,163,350,463,330,233,135,394,367,365,217,412,416,399,232,174,192,107,249,360,526,615,855,899,1064,1309,1464,3401,3135,2921,3606,4701,4927,6802,9075,8814,7938,6616,7250,6205,5914,5054,5044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,634410,649083,694352,732946,768246,793379,847495,871971,835555,883156,899955,885144,889268,893118,886782,843625,829170,781289,854484,797762,735035,640114,440951,447207,480211,528032,478963,472752,592845,601196,573603,628459,658007,686347,712730,721436,712796,687215,603586,553419,525729,480145,454901,418893,397121,377229,371044,365877,374310,354440,324720,309124,296300,292468,286480,284184,244795,219639,201390,183097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,75329,70937,70241,74634,77360,78976,76536,89168,89024,81304,77892,72723,63648,62396,71876,60511,66137,60902,70044,59520,57180,61312,51924,46720,61518,73126,80195,70125,73629,72417,75333,78904,79690,86966,73081,74754,81435,79547,81869,76770,81545,81723,88259,87608,94259,92795,95320,95437,114116,113300,135330,124243,106122,94664,93090,95907,91640,88715,84047,77882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,2701290,2930457,3065142,3356838,3518012,3709330,4109389,4513693,4897689,5367402,5473309,5427337,5061807,5019773,4410390,3703619,3475977,3376485,3375176,3003610,2739651,2577631,2291709,2018759,2074414,1727611,1823494,1738067,1761318,1704445,1692465,1632560,1649371,1674425,1691006,1683062,1628129,1505014,1551979,1566916,1455014,1502086,1361751,1350399,1353249,1296048,1361119,1365333,1377969,1548607,2210099,3029206,2955437,2360201,1960813,1805197,1784396,2139829,2832404,3223642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,4065,3578,2472,1633,1381,408,696,621,864,978,813,214,244,298,133,93,75,82,88,28,68,56,36,31,60,39,20,44,29,34,22,29,33,28,26,22,135,118,63,18,34,32,22,48,34,46,48,35,28,43,43,34,44,32,20,38,34,32,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,20790,27697,28987,32850,31558,34558,34120,33589,40480,36163,38851,25662,34221,44579,69133,102113,119262,129954,148047,159731,158302,152593,153051,138910,144537,131855,127287,146996,146145,155988,172151,195749,194815,204635,222657,238203,245740,305950,278076,277364,296556,275036,274476,236987,259681,261112,263009,264907,153130,153736,131118,138162,129333,123622,115065,107664,102003,96451,89572,83733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,75,90,92,100,108,84,0,121,14,126,87,22,9,33,33,30,29,20,0,0,0,0,0,0,4,4,4,4,4,4,7,15,27,14,8,16,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,172478,172543,170271,176807,181414,166825,156652,139497,135051,131234,126031,118805,103989,99706,78787,74345,70762,82995,106579,144077,175061,181238,167231,151204,157911,144172,140833,139727,124053,102645,94616,108031,91697,80695,63448,95533,103263,107300,108068,111021,88558,107541,112980,133901,63353,52923,60531,73460,96641,88157,73721,81487,63843,59272,54446,58181,48504,38438,35564,33307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,33418,33901,29955,30026,25188,28105,30685,25866,19313,41229,42705,32720,33474,56175,54873,40734,42563,46819,46522,53888,51867,56565,56517,51967,51474,52494,46592,46456,51654,51307,50429,51999,53867,54528,50416,50264,50996,52437,57645,61163,69936,81397,86075,86027,96762,107918,112845,116848,112529,98245,87539,74624,66954,63242,59160,51356,47921,46311,43530,43263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,19483,20100,25155,32798,34700,35652,46585,40462,41023,33587,34889,33864,32472,27703,31206,24786,31470,29173,30499,18468,42346,42573,53818,69319,70496,72633,55098,62258,57747,51174,52169,53479,54883,59851,57805,49468,49674,52401,53185,52862,52426,54732,57048,55693,55009,52557,55273,60255,52444,59369,81837,97102,172242,235711,326491,471360,531997,593998,706552,851750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,15258,15743,14880,13051,11155,10720,10196,8453,8129,6989,5991,3496,3478,3836,2538,2565,2511,2789,2882,3208,2550,2519,2280,2091,2300,1944,1403,1261,910,878,793,784,1177,2114,2898,2240,1876,1670,1695,1395,1218,1208,1188,1454,1476,1172,1200,1555,3082,2908,2231,1959,1328,1032,417,477,526,455,433,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,798928,789662,804612,808377,878720,937205,998076,1067510,1164182,1138133,1138980,1167577,1216061,1218749,1244779,1217430,1230976,1202973,1174198,1181363,1148086,1132066,991178,895279,957366,905272,702614,823773,791819,854615,965104,1038284,1268863,1409429,1557689,1625837,1554087,1558633,1501098,1511671,1695295,1689125,1632080,1604015,1632539,1645166,1609223,1517922,1446204,1383004,1292185,1237303,1215773,1171640,1229520,1245145,1229647,1299732,1493081,1787334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,30,21,16,13,11,9,9,8,7,7,6,6,5,5,5,5,4,4,4,3,4,3,3,4,3,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,4990,5742,4262,3962,3125,3340,2699,3837,4632,4861,3358,2202,3679,4539,4990,7628,9235,10682,13900,15500,15643,16074,15877,17836,25200,31561,29964,25676,23455,20433,25023,22777,23508,21183,20465,18400,18131,16188,16699,16122,17757,27787,36816,36137,46050,55180,55980,54942,50320,44849,35813,31124,26424,23458,20201,17325,13523,11395,10653,10962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,36074,36423,36747,36817,37309,35684,43133,41315,42673,49793,52113,79903,89995,93610,92055,84960,88891,99327,114098,123431,138856,141134,138391,151300,186480,182245,182072,166593,166690,159730,154619,147651,144815,137285,132151,126336,119251,116246,115083,109509,105125,100107,103158,93641,90476,83523,86315,88095,84858,88824,78122,78858,84482,166017,512371,1007270,1437285,1791359,2403382,2654186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,824266,892697,1060717,1233883,1323390,1320995,1351225,1412952,1390884,1523715,1594943,1684260,1806887,1770980,1638942,1605410,1726513,1769519,1773582,1835366,1891824,2019199,1985384,1779541,2046339,1993405,1971988,2073461,2167050,2237037,2258471,2153852,2017356,2049942,1934864,1811734,1734887,1703888,1669367,1594002,1612890,1615384,1581606,1558155,1655769,1639310,1688985,1783682,1886710,1901556,1827328,1888870,2023460,1993754,2331085,2499599,2468312,2513896,2875787,3175008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,3,3,2790,4080,4600,3800,4000,2500,2815,2741,2580,4003,3221,1923,1439,1173,1067,1291,1214,1110,837,731,467,454,621,409,778,821,1407,1344,770,770,1142,848,801,659,499,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,113928,100427,90053,92657,82166,84461,90914,89966,87987,79134,76841,76451,73958,78514,82637,84676,89386,91717,97763,96313,97439,122454,121111,118372,166342,150234,159889,163318,167089,191774,177609,152500,138675,132130,120506,111000,135000,80000,130317,174701,150000,130853,157800,159827,197217,168501,175950,182277,198295,273869,572902,1310592,2256696,3259042,4257693,4812983,5210208,5453638,6264832,6896792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
