"Fuel ethanol production (including denaturant), thousand barrels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,1483,1627,1638,1549,1302,1528,1365,1490,1660,1591,651,1148,1350,1247,1491,1628,2210,2593,2357,2266,2286,6337,13847,16723,22487,23786,20465,21749,23883,25175,27001,27471,28312,25137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,207,391,468,504,535,586,590,558,469,551,492,711,770,727,294,511,592,540,636,686,1475,2328,2646,3143,4164,5530,10573,9781,10818,10860,9648,9513,11678,11596,11854,12160,12526,12826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,570,709,848,830,842,814,702,630,654,658,652,708,713,700,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,36,30,28,29,36,33,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1030,1155,1111,1867,4420,5416,5114,6590,6577,6395,6611,6704,6713,6824,8158,8595,8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,62,62,262,262,405,833,905,976,1214,1643,2667,2952,4524,5238,6000,7143,8548,9524,10000,13095,14119,17133,22651,26246,27452,25193,24480,26791,27718,27920,28509,29187,30107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,581,778,1288,1386,2277,2801,3845,5320,6209,6143,6036,5290,5328,6300,6506,6646,6828,6837,6597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1285,1076,993,870,0,0,703,1181,1199,1191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,31,37,40,42,46,47,44,37,43,39,0,41,34,12,19,19,14,13,11,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,167,314,376,405,430,471,475,449,377,443,395,453,487,473,196,350,417,389,471,519,712,844,774,744,751,3255,3666,6197,7451,7721,7329,7344,7375,8626,9884,12205,12242,12407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,250,276,280,287,304,311,549,1229,1880,4551,4718,6376,6822,7268,7647,8377,8395,9107,12263,12929,14381,19905,28081,28038,44111,46402,42693,42754,46343,46646,48878,49765,49723,50117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,115,217,260,280,297,325,328,310,260,306,273,298,281,266,107,186,216,196,232,249,334,387,347,472,672,719,528,654,598,552,484,608,545,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2064,1189,2482,3063,3095,3762,3490,3465,3801,3687,3308,3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,849,1017,1095,1161,1274,1282,1213,1019,1196,1068,1166,1374,649,0,0,0,0,0,0,0,0,0,39,67,42,7941,6256,9669,11205,10799,11291,13313,13507,13978,14573,15131,14934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,1782,1380,855,832,802,882,1040,947,904,970,994,892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2339,2055,2076,2523,2341,2283,2474,2320,2212,2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,179,179,179,179,195,308,308,308,282,350,366,390,590,1438,3593,7338,9987,13143,14163,18995,22218,24545,24250,23403,24398,24945,26658,27026,28199,28987,28809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,566,804,866,918,1007,1014,959,806,946,845,922,884,870,365,659,792,747,911,1015,1403,1675,1548,1488,1501,1605,1962,4072,4119,4385,4001,4157,4184,4145,4429,4455,4376,4278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,9,9,10,11,11,10,9,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4495,3985,4984,5722,6737,4987,7308,8241,8500,8663,8266,7165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,72,87,93,99,108,109,103,87,102,91,97,93,79,28,43,43,33,31,25,22,13,0,0,0,0,0,0,0,0,0,0,897,1012,562,1265,1086,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,46,86,103,111,118,130,130,123,104,122,109,119,114,98,36,55,56,44,44,39,40,32,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,496,1832,2545,4090,5009,6759,10652,11000,11629,12354,11956,11751,13035,13460,13827,14333,15113,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,56,24,45,54,52,65,73,102,124,116,111,112,120,150,155,175,269,314,317,303,209,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1978,5369,9890,12150,14693,16954,19497,19780,20062,17802,20627,23453,27484,30689,32325,23178,30674,33453,34881,38627,42028,50956,66772,81058,92961,116294,155263,221637,260424,316617,331646,314714,316493,340781,352553,366981,379435,383127,375678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
