,Years,1998,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
39,New Jersey,5780336.0,6247130.0,6246882.0,6113807.0,6628080.0,7939956.0,7911474.0,7061343.0,6874100.0,5938585.0,5940997.0,6057711.0,1346318.2577561229,1363379.257
40,New Mexico,1594792.0,1599333.0,1569771.0,1620704.0,1612491.0,1772040.0,1805790.0,1882466.0,1930706.0,1823445.0,1823961.0,1740002.0,6055389.443868336,6033014.586
41,New York,10422033.0,11494513.0,11088903.0,11245208.0,10255099.0,10430559.0,10448743.0,10674135.0,10903620.0,10638765.0,11122392.0,10857455.0,1824217.4751887952,1825421.381
42,North Carolina,5861830.0,6317148.0,6248829.0,6047239.0,5742829.0,6249592.0,7792555.0,7813854.0,7876030.0,7928973.0,8270643.0,8070717.0,11482229.097801313,11389158.45
43,North Dakota,672158.0,710537.0,717221.0,722071.0,735644.0,785866.0,810355.0,845109.0,870731.0,890803.0,894954.0,1056758.0,8210212.654281173,8527387.905
44,Ohio,10039488.0,10848476.0,10933169.0,11022129.0,9800933.0,10217277.0,10116248.0,10360365.0,10453358.0,10557323.0,10686057.0,10809247.0,899952.5097421573,903667.712
45,Oklahoma,2919186.0,3224653.0,3291970.0,3396395.0,3357464.0,3428689.0,3439937.0,3460012.0,3517806.0,2988512.0,3737405.0,3744178.0,10913773.306240464,10901278.74
46,Oregon,2980064.0,3088313.0,3105673.0,3046373.0,3050254.0,3128120.0,3527237.0,3603825.0,3417959.0,3607482.0,3811706.0,4103451.0,3699021.8518320126,3706623.797
47,Pennsylvania,8978814.0,9937941.0,10366408.0,9857311.0,9990941.0,10302980.0,10471413.0,10461108.0,10504757.0,10598694.0,10748822.0,10689206.0,3942874.801347201,3919156.992
49,Rhode Island,715017.0,796683.0,794380.0,788623.0,782438.0,918823.0,854359.0,853152.0,864762.0,875097.0,876228.0,872814.0,872344.17618931,868941.7594
50,South Carolina,2893061.0,3521026.0,3603960.0,3614400.0,3660878.0,3827208.0,3896832.0,3986574.0,4017611.0,4162651.0,4324423.0,4404100.0,4457518.84607103,4516142.58
51,South Dakota,768507.0,864838.0,907384.0,926168.0,925548.0,995423.0,1003571.0,1015173.0,1032705.0,1082289.0,1246359.0,1258356.0,1269414.7420332837,1280968.587
52,Tennessee,4469065.0,5339946.0,5098147.0,5139662.0,5113913.0,5302335.0,5392661.0,5451933.0,5495647.0,5612123.0,5709923.0,5800489.0,5770873.793964725,5817886.911
53,Texas,13324167.0,18072148.0,18207948.0,18208170.0,17193559.0,19617055.0,20238122.0,20171135.0,20877026.0,21864841.0,21766166.0,22130765.0,22186240.566656627,23007145.81
54,Utah,1532253.0,2320171.0,2438685.0,2453879.0,2654715.0,1883410.0,1981341.0,2060512.0,2150573.0,2229193.0,2317282.0,2355773.0,2372800.1034570998,2430275.234
55,Vermont,496153.0,564967.0,581466.0,557370.0,566650.0,605054.0,606941.0,611789.0,612437.0,655347.0,615950.0,621608.0,619693.7104187121,620428.2162
56,Virginia,5818294.0,6613781.0,6525948.0,6301835.0,6148794.0,6998385.0,7116791.0,7051016.0,7160097.0,7238905.0,7301081.0,7514484.0,7604646.2359215515,7647692.482999999
57,Washington,4823987.0,5757943.0,5979710.0,5580668.0,4682790.0,5880793.0,5849945.0,6392840.0,6405483.0,6725467.0,7047689.0,7256196.0,7152412.938315373,7377027.784
58,West Virginia,1377835.0,1413467.0,1402030.0,1412478.0,1435523.0,1458222.0,1458802.0,1453395.0,1553192.0,1613345.0,1704825.0,1691237.0,1693719.4713403112,1668113.2230000002
59,Wisconsin,4203319.0,5017895.0,4998903.0,4874316.0,4967777.0,5244195.0,5215294.0,5338759.0,5340155.0,5466581.0,5564429.0,5596635.0,5683061.122115731,5666399.811000001
60,Wyoming,558991.0,652102.0,664041.0,652324.0,663253.0,798296.0,799405.0,830539.0,820107.0,814989.0,855230.0,819257.0,837024.0712189082,843670.8928
