,State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
26,MT,29197.0,30478.0,30589.0,31370.0,31573.0,32514.0,33860.0,35323.0,37078.0,38474.0,40402.0,40113.0,39388.0,40595.0,41511.0,42042.0,42430.0,43285.0,45042.0,44581.0,45481.0,46628.0,47916.0
27,NC,316587.0,327709.0,345599.0,357824.0,360773.0,365829.0,374588.0,387840.0,406294.0,431796.0,436767.0,446613.0,427494.0,433917.0,438423.0,439540.0,445110.0,455296.0,469536.0,477524.0,489027.0,501955.0,511540.0
28,ND,22466.0,23732.0,23756.0,24653.0,25078.0,26404.0,27997.0,28256.0,29166.0,30371.0,31790.0,34304.0,35297.0,37975.0,42208.0,51625.0,52386.0,56555.0,55067.0,51137.0,51291.0,53473.0,53930.0
29,NE,70791.0,72421.0,73893.0,76663.0,78425.0,79685.0,84099.0,86116.0,89082.0,91535.0,93581.0,94070.0,94343.0,97830.0,102685.0,102605.0,103975.0,107394.0,110753.0,111612.0,113754.0,115088.0,117395.0
30,NH,48424.0,51617.0,53052.0,56719.0,57429.0,59058.0,61610.0,63498.0,64350.0,65927.0,65675.0,64960.0,64420.0,66460.0,66859.0,67636.0,68124.0,69506.0,71419.0,73023.0,74254.0,76165.0,77240.0
31,NJ,425869.0,433367.0,448529.0,472786.0,476264.0,486924.0,499354.0,507223.0,513116.0,523842.0,526661.0,532725.0,510832.0,516400.0,510773.0,519569.0,526890.0,524420.0,535284.0,540380.0,540657.0,549001.0,556731.0
32,NM,67428.0,67071.0,70696.0,71960.0,72027.0,74242.0,77088.0,82784.0,83794.0,85852.0,86474.0,85938.0,87637.0,87054.0,87225.0,87645.0,86625.0,89372.0,91680.0,91714.0,91772.0,93871.0,98766.0
33,NV,89877.0,94700.0,101215.0,105455.0,106670.0,110165.0,115128.0,127761.0,138796.0,144602.0,144315.0,138589.0,127109.0,128879.0,129748.0,127789.0,128341.0,129405.0,134892.0,138639.0,143591.0,149663.0,153729.0
34,NY,977600.0,996015.0,1046472.0,1084844.0,1107932.0,1098777.0,1101604.0,1129018.0,1167640.0,1196695.0,1203503.0,1177915.0,1221256.0,1267972.0,1270517.0,1323401.0,1325490.0,1347560.0,1372232.0,1397724.0,1424906.0,1467077.0,1490678.0
35,OH,471715.0,488115.0,499142.0,509602.0,502294.0,514107.0,522440.0,534606.0,544256.0,541619.0,541676.0,533104.0,506691.0,520301.0,536583.0,540882.0,550692.0,571425.0,579943.0,585045.0,592726.0,606142.0,615474.0
