,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11,HI,94839.0,113754.0,108286.0,114265.0,123433.0,130560.0,145474.0,163865.0,182799.0,190862.0,196947.0,211673.0,218057.0,224312.0,212103.0,214378.0,220042.0,233334.0,236970.0,256604.0,262347.0,236718.0,218095.0,221150.0,232426.0,248554.0,245329.0,249461.0,289691.0,309767.0,321420.0,295150.0,306030.0,282651.0,299033.0,296774.0,283060.0,273483.0,273387.0,269352.0,273307.0,270121.0,284662.0,300914.0,314719.0,324736.0,327285.0,337822.0,276640.0,275905.0,294541.0,299651.0,294151.0,299747.0,291683.0,296393.0,299928.0,308132.0,305778.0,307504.0
12,IA,601996.0,600070.0,626526.0,644262.0,669473.0,696730.0,698683.0,747574.0,781902.0,821912.0,850609.0,862483.0,904471.0,962796.0,949663.0,942050.0,979112.0,979937.0,962094.0,1038993.0,983303.0,968673.0,969163.0,953081.0,936823.0,897903.0,901984.0,906929.0,978710.0,940800.0,949263.0,985355.0,976971.0,1039917.0,1071231.0,1109452.0,1152715.0,1139792.0,1148872.0,1199639.0,1196131.0,1167631.0,1197176.0,1192800.0,1247169.0,1278342.0,1303065.0,1378607.0,1441784.0,1448521.0,1497877.0,1506850.0,1438785.0,1520770.0,1538035.0,1503705.0,1529418.0,1565571.0,1625135.0,1634313.0
13,ID,190661.0,202853.0,211160.0,213298.0,230412.0,234742.0,245066.0,266750.0,287248.0,286782.0,296399.0,311605.0,334033.0,337008.0,347813.0,358858.0,362198.0,366421.0,369908.0,384011.0,347655.0,361884.0,350310.0,345649.0,346809.0,354814.0,342134.0,345498.0,365706.0,399732.0,409001.0,417097.0,422133.0,437169.0,452508.0,466129.0,501272.0,504020.0,507513.0,533204.0,544380.0,503420.0,498672.0,471950.0,503534.0,514313.0,526508.0,541391.0,537298.0,502530.0,519712.0,518757.0,511427.0,528033.0,521585.0,536733.0,537930.0,554504.0,553974.0,563361.0
14,IL,2523973.0,2558990.0,2656186.0,2719427.0,2849301.0,3026466.0,3185513.0,3315076.0,3450826.0,3634712.0,3696737.0,3722756.0,3929667.0,4019481.0,3956458.0,3860591.0,4019369.0,4099481.0,4199421.0,4049381.0,3768260.0,3547208.0,3394044.0,3472747.0,3502000.0,3434273.0,3416921.0,3472023.0,3702319.0,3619229.0,3612494.0,3678496.0,3650581.0,3753510.0,3773746.0,3886599.0,3970151.0,3944363.0,3856606.0,4024011.0,4029159.0,3905501.0,3920039.0,3945574.0,3993440.0,4140656.0,3991822.0,4081334.0,4083961.0,3859234.0,3996494.0,3978739.0,3854423.0,4018706.0,4098836.0,3933371.0,3936742.0,3900625.0,4026485.0,3958520.0
15,IN,1530437.0,1551091.0,1580987.0,1635028.0,1714801.0,1798393.0,1919366.0,1952042.0,2043409.0,2157093.0,2219775.0,2236217.0,2435885.0,2474472.0,2432022.0,2377767.0,2410240.0,2485596.0,2535537.0,2585762.0,2400197.0,2359274.0,2177454.0,2197757.0,2271002.0,2301292.0,2262531.0,2380691.0,2484357.0,2517053.0,2488999.0,2471077.0,2459877.0,2569179.0,2555521.0,2621213.0,2702821.0,2683207.0,2672890.0,2783212.0,2867279.0,2770456.0,2856081.0,2937199.0,2930253.0,2924177.0,2859709.0,2958525.0,2917143.0,2712923.0,2853078.0,2824247.0,2741595.0,2871204.0,2910850.0,2826459.0,2776746.0,2673583.0,2804834.0,2777494.0
16,KS,631316.0,618147.0,639460.0,641033.0,657075.0,723629.0,763521.0,722888.0,793842.0,839336.0,874267.0,908254.0,961171.0,966322.0,959652.0,924911.0,972467.0,981082.0,1037084.0,1132093.0,1022129.0,947309.0,944960.0,917190.0,1016638.0,1011726.0,974201.0,1015692.0,1069693.0,1042967.0,1074411.0,1070458.0,1057384.0,1085841.0,1111842.0,1078398.0,1109687.0,1101174.0,1088848.0,1108311.0,1116109.0,1063914.0,1099484.0,1140145.0,1121296.0,1067023.0,1095718.0,1157469.0,1119535.0,1088231.0,1106999.0,1095177.0,1065088.0,1093301.0,1130157.0,1098318.0,1089488.0,1072725.0,1133167.0,1123158.0
17,KY,823236.0,818917.0,836442.0,888319.0,890219.0,899590.0,905831.0,953994.0,1014155.0,1073330.0,1104720.0,1117666.0,1203074.0,1236974.0,1228332.0,1278425.0,1400423.0,1414018.0,1400112.0,1432637.0,1367982.0,1297313.0,1262083.0,1276623.0,1375310.0,1329732.0,1304571.0,1341279.0,1419083.0,1509038.0,1489868.0,1515784.0,1582211.0,1618620.0,1671777.0,1741938.0,1761014.0,1767765.0,1725018.0,1815367.0,1802618.0,1832560.0,1989605.0,1923756.0,1998031.0,2018197.0,2009346.0,2044160.0,2008086.0,1930522.0,2006852.0,1937809.0,1903707.0,1844625.0,1783589.0,1734381.0,1707881.0,1666542.0,1749373.0,1723046.0
18,LA,1502163.0,1564830.0,1580187.0,1747248.0,1866221.0,1832996.0,1973892.0,2236542.0,2422111.0,2701453.0,2836864.0,2897554.0,3083286.0,3317510.0,3408243.0,3107626.0,3535790.0,3936486.0,4095231.0,4044689.0,3908929.0,3961906.0,3637354.0,3431465.0,3575817.0,3340207.0,3500802.0,3564236.0,3601826.0,3759315.0,3704139.0,3708377.0,3817827.0,3883991.0,4020890.0,4064879.0,4240432.0,4328538.0,4047864.0,4026488.0,4330579.0,3823437.0,3958145.0,3809616.0,4011693.0,3854682.0,4026180.0,4286897.0,4228087.0,4035500.0,4119147.0,4132145.0,4001492.0,3914901.0,3935179.0,3906579.0,4026806.0,4204237.0,4242464.0,4294532.0
19,MA,1054127.0,1079950.0,1111915.0,1083270.0,1119625.0,1245258.0,1247984.0,1326492.0,1373613.0,1402415.0,1464384.0,1493798.0,1546466.0,1581551.0,1475055.0,1420313.0,1499176.0,1486580.0,1471615.0,1308451.0,1246693.0,1215717.0,1234902.0,1231961.0,1292240.0,1313664.0,1383264.0,1404906.0,1427362.0,1459706.0,1418231.0,1376472.0,1443841.0,1445182.0,1451557.0,1436968.0,1463140.0,1456922.0,1428047.0,1450436.0,1535714.0,1516968.0,1533530.0,1499087.0,1498063.0,1503542.0,1432786.0,1458176.0,1435835.0,1375637.0,1434452.0,1412179.0,1377238.0,1445156.0,1456044.0,1471553.0,1430044.0,1435225.0,1473403.0,1467898.0
20,MD,697260.0,699934.0,748394.0,775284.0,823757.0,859906.0,900300.0,915531.0,968996.0,1023972.0,1067972.0,1104522.0,1122760.0,1214593.0,1123057.0,1069386.0,1148110.0,1129827.0,1154687.0,1219177.0,1156510.0,1140938.0,1102129.0,1120386.0,1192374.0,1160048.0,1182435.0,1249115.0,1288359.0,1320439.0,1277680.0,1274478.0,1264902.0,1315345.0,1323800.0,1341801.0,1380811.0,1386411.0,1384577.0,1425265.0,1459886.0,1451217.0,1539539.0,1590449.0,1570234.0,1596813.0,1482301.0,1505960.0,1466520.0,1455444.0,1483129.0,1429512.0,1388230.0,1411332.0,1423010.0,1421189.0,1383579.0,1344018.0,1389336.0,1352642.0
