,State,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,2.27,2.3600000000000003,3.2964334236025414,3.3432921775936486,3.531891943840474,3.407550383644134,3.459750484613766,3.386712831439394,3.298123042472121,3.295270030284693,3.2750000000000004,4.27,4.409090909090908,4.563636363636364,3.137348484848485,3.2846195286195288,3.2707272727272727,3.3194805194805186,3.3624242424242423,3.053320707070707,3.0270202020202017,3.8296969696969696,4.427940115440116,6.792424242424243,7.240954785954787,7.217165775401069,4.475989304812835,4.967748917748918,4.036289081289082,3.8361776859504135,4.685982880755609,3.660642292490118,12.44842309651133,8.507165350988878,2.2127946127946125,2.1181896344396347,2.616833166833167,2.710780952380952
1,SC,3.054545454545455,3.227272727272727,2.793939393939394,3.009090909090909,3.0318181818181817,3.0363636363636366,2.8,2.8227272727272723,3.086363636363637,3.177272727272727,3.1636363636363636,3.3318181818181816,3.0,2.913636363636364,2.431414141414142,2.7166391184573,2.707740037740038,2.6681818181818184,2.786363636363636,2.723116883116884,2.6951048951048957,2.764335664335664,2.639610389610389,2.7175324675324686,2.8992784992785,2.557142857142857,2.3344155844155847,2.551948051948052,2.2993506493506493,2.4915584415584413,2.6952380952380954,2.6674675324675325,2.693506493506493,2.658831168831169,2.6803896103896103,2.6089610389610387,2.6402597402597405,2.6979591836734693
2,IA,3.7527789802789804,3.6489666506333163,3.2964334236025414,3.3432921775936486,3.531891943840474,3.407550383644134,3.459750484613766,3.386712831439394,3.298123042472121,3.295270030284693,3.9008335509654963,3.8,3.5213966308102673,3.340371188372756,4.1364898989898995,4.617190082644629,4.628925619834711,4.553719008264463,4.696694214876033,4.540495867768595,4.595041322314049,4.419834710743801,4.4702479338842975,4.4846280991735545,4.405041322314049,4.226446280991735,4.1710743801652885,4.2113131313131325,4.107727272727272,4.259090909090909,4.496363636363637,4.323674242424242,4.3873737373737365,4.284848484848484,4.062727272727273,4.244318181818183,4.25469696969697,4.000892857142857
3,NE,4.573737373737374,4.573737373737373,4.317171717171719,4.256565656565656,4.641414141414142,4.362626262626263,4.485858585858586,4.497979797979798,4.306060606060607,3.778787878787879,3.760727272727273,4.58,4.547727272727274,4.340909090909092,4.363092463092462,4.542337662337663,4.5925252525252525,4.4409090909090905,4.711616161616161,4.455555555555557,4.446464646464647,4.535858585858588,4.531313131313131,4.477777777777779,4.584949494949496,4.2242424242424255,4.312626262626264,4.128335301062574,4.239090909090908,4.268398268398268,4.715584415584416,4.308838383838384,4.547626262626261,4.423636363636363,4.369949494949497,4.3783838383838365,4.546212121212121,4.353650793650794
4,KY,3.372727272727273,3.3363636363636364,3.036363636363636,3.2363636363636363,3.2909090909090906,3.027272727272727,3.2909090909090915,3.145454545454545,2.9909090909090907,2.972727272727273,3.0454545454545454,2.863636363636364,2.4363636363636365,2.2,2.2464646464646463,2.5181818181818185,2.431060606060606,2.4242424242424243,2.475757575757576,2.333333333333333,2.372727272727273,2.190909090909091,2.0454545454545454,2.0484848484848484,2.188181818181818,2.075757575757576,1.9424242424242424,2.1303030303030304,1.8606060606060608,1.984848484848485,2.2606060606060603,2.136363636363636,2.109090909090909,2.2484848484848485,2.254545454545455,2.2212121212121207,2.187878787878788,2.1809523809523808
5,MO,4.5636363636363635,4.469696969696969,4.387878787878788,4.364393939393938,4.414646464646465,4.412121212121213,4.463636363636363,4.206060606060606,4.072727272727273,4.235690235690235,4.078787878787879,4.031060606060606,4.468181818181818,4.168181818181819,3.4424963924963925,3.722459893048129,3.711704545454545,3.601136363636364,3.6297682709447407,3.588770053475936,3.7086096256684487,3.4823529411764707,3.608021390374331,3.433475935828877,3.5533689839572187,3.469625668449198,3.3155080213903743,3.3907024793388434,3.1341794569067303,3.2414841597796142,3.2614306328592044,3.296796536796537,3.1527646595828416,3.307078905942542,3.215194805194806,3.1865254820936646,3.200013670539987,3.296867167919799
6,WI,3.7527789802789804,3.6489666506333163,3.2964334236025414,3.3432921775936486,3.531891943840474,3.407550383644134,3.459750484613766,3.386712831439394,3.298123042472121,3.295270030284693,3.9008335509654963,3.7840529506501728,3.5213966308102673,3.340371188372756,3.6262731481481487,3.655866355866357,3.4797607655502403,3.4521531100478464,3.559808612440192,3.4507177033492824,3.4688995215311005,3.2602870813397127,3.2555555555555564,3.3464646464646464,3.2277777777777787,3.141786283891547,3.0518660287081336,3.2157894736842105,3.114832535885167,3.199043062200957,3.4331578947368415,3.4632535885167464,3.3669856459330143,3.4593301435406696,3.29933014354067,3.3461244019138747,3.3555023923444973,3.1490225563909777
7,GA,2.6727272727272724,2.4111111111111114,2.209090909090909,2.6272727272727274,2.6727272727272724,2.7818181818181817,2.872727272727273,2.6818181818181817,2.5363636363636366,2.590909090909092,2.975,3.7840529506501728,3.5213966308102673,3.340371188372756,2.175,2.3484848484848486,2.186038961038961,2.2854545454545456,2.468954545454546,2.267272727272727,2.452272727272727,2.435454545454546,2.349545454545455,2.2568181818181814,2.3427272727272728,2.2568181818181814,2.1022727272727275,2.245909090909091,2.1340909090909093,2.2136363636363643,2.082272727272727,2.3113636363636365,2.3536363636363635,2.3347727272727274,2.342136363636364,2.3518181818181816,2.445,2.3769047619047616
8,SD,3.7527789802789804,3.6489666506333163,3.2964334236025414,3.3432921775936486,3.531891943840474,3.407550383644134,3.459750484613766,3.386712831439394,3.298123042472121,3.295270030284693,3.9008335509654963,3.7840529506501728,3.5213966308102673,3.340371188372756,4.308118386243387,4.5465202020202025,4.757575757575757,4.563030303030303,4.8466666666666685,4.650303030303031,4.713333333333334,4.742848484848484,4.639285714285714,4.65020202020202,4.691666666666666,4.357993265993267,4.374060606060606,4.454060606060606,4.458787878787878,4.485454545454545,4.822207792207792,4.469480519480519,4.8343506493506485,4.633376623376624,4.4246753246753245,4.517532467532468,4.50787878787879,4.503809523809523
9,WV,3.4454545454545453,3.6363636363636367,3.336363636363637,3.4090909090909087,3.4863636363636363,2.9,3.190909090909092,3.145454545454545,3.0681818181818183,3.231818181818182,3.2909090909090915,3.377272727272727,2.672727272727273,2.5409090909090906,2.6233405483405483,3.076623376623377,3.064772727272727,3.0136363636363637,3.1499999999999995,2.935227272727273,2.8374999999999995,2.7965909090909093,2.9545454545454546,2.7397727272727272,2.91125,2.8579545454545454,2.7136363636363634,2.8192929292929296,2.5864646464646466,2.8151515151515154,3.1047619047619053,2.934949494949495,2.986868686868687,3.0939393939393947,2.9724242424242417,2.89959595959596,2.9280583613916944,2.7219047619047627
10,AL,3.0181818181818185,2.9399999999999995,2.927272727272728,2.7818181818181817,2.7,2.6636363636363645,2.881818181818182,2.872727272727273,2.7909090909090906,2.809090909090909,2.9975757575757576,3.5333333333333337,3.5213966308102673,3.340371188372756,2.266666666666666,2.3829545454545453,2.4397306397306395,2.3537662337662337,2.5054545454545454,2.4445454545454544,2.5836363636363635,2.459090909090909,2.3486471861471863,2.2071139971139973,2.3852602952602955,2.3010156510156508,2.033555555555556,2.177597402597403,2.035384615384616,2.14,2.054918831168831,2.23126159554731,2.1961769480519484,2.2968073593073592,2.3155988455988457,2.2817460317460307,2.4268831168831166,2.353571428571429
11,NY,4.318181818181818,4.0,4.127272727272728,4.172727272727273,4.245454545454545,4.0181818181818185,3.136363636363636,3.5454545454545454,4.363636363636363,3.745454545454545,11.736363636363635,8.272727272727273,3.96,3.9375,3.2137272727272728,3.543083778966132,3.3466735537190084,3.46155303030303,3.6041666666666665,3.395454545454545,3.369696969696971,3.3477272727272727,3.41905303030303,3.3312727272727267,3.225710227272728,3.1289393939393944,3.2569128787878787,3.0045454545454544,2.9190585858585854,3.1410909090909094,3.3003393939393937,3.19789494949495,3.262109090909091,3.3010909090909086,3.0918881118881125,3.0749650349650346,3.13062937062937,3.0084249084249084
12,RI,5.1,3.53,4.609999999999999,4.725,4.525,4.975,4.922222222222222,5.15,3.298123042472121,3.295270030284693,3.9008335509654963,3.7840529506501728,3.5213966308102673,3.340371188372756,3.588888888888889,3.53,3.5454545454545463,3.338636363636364,3.609090909090909,3.4363636363636365,3.427272727272728,3.4090909090909087,3.4227272727272733,3.1772727272727272,3.0759090909090907,3.2409090909090907,3.2909090909090915,3.1000000000000005,2.913636363636364,3.145454545454545,3.3545454545454545,3.1818181818181817,3.2818181818181817,3.3181818181818183,3.2954545454545463,3.3045454545454547,3.2863636363636366,3.1142857142857143
13,MT,3.5090909090909097,3.804545454545455,3.368181818181818,3.0590909090909086,3.536363636363636,3.163636363636364,3.6967532467532473,3.427272727272728,3.1727272727272733,3.25,4.022895622895623,2.93030303030303,3.3090909090909086,3.2181818181818183,3.602304292929293,3.759204545454545,3.5954545454545452,3.6338842975206607,3.8090909090909095,3.639669421487604,3.918181818181818,3.781313131313132,3.796818181818182,3.6545454545454548,3.6856060606060614,3.496212121212121,3.3578787878787875,3.775984848484848,3.661363636363636,3.5825757575757584,4.278409090909091,3.5652892561983482,3.761157024793389,3.706611570247934,3.4876033057851243,3.5074380165289263,3.7981818181818174,3.735064935064935
14,IL,3.7527789802789804,3.6489666506333163,3.233333333333333,3.02,3.3636363636363638,2.9818181818181824,3.3090909090909086,2.9909090909090907,3.036363636363637,2.827272727272728,3.0700000000000003,3.1333333333333333,3.5213966308102673,3.340371188372756,3.3597222222222234,3.798664772727273,3.8216042780748674,3.7732620320855617,3.881283422459892,3.8358288770053455,3.8203208556149737,3.657754010695186,3.7288770053475946,3.604812834224598,3.704064171122994,3.5475935828877003,3.429946524064172,3.682878787878789,3.54040404040404,3.5414141414141422,3.787878787878789,3.7151515151515153,3.5747474747474737,3.796969696969696,3.595959595959596,3.6570707070707065,3.613939393939394,3.582539682539683
15,MA,3.7527789802789804,3.6489666506333163,2.466666666666667,2.6818181818181817,3.190909090909092,3.2363636363636363,3.3181818181818183,3.0,2.5363636363636366,2.7272727272727275,3.6545454545454543,3.5000000000000004,3.82,3.340371188372756,3.3132748538011696,3.4590909090909085,3.4549407114624517,3.289328063241107,3.513715415019763,3.3107992973210365,3.359920948616601,3.3193675889328063,3.3893280632411065,3.3047430830039524,3.16798418972332,3.197183794466403,3.378902064119455,3.1715810276679837,3.0110671936758893,3.2133596837944665,3.3662055335968377,3.303596837944664,3.433596837944664,3.428102766798419,3.363873517786561,3.3590513833992093,3.424584980237154,3.3443064182194617
16,FL,3.3647727272727272,3.4056818181818183,3.069128787878788,3.4119318181818183,3.314204545454545,3.1636363636363636,3.25125,3.2221590909090905,3.214204545454545,3.354545454545455,3.0801136363636363,3.3103693181818183,3.5804545454545456,3.337770562770563,3.111878453524795,3.0383143939393937,3.150381593714928,3.2444444444444445,3.1804940711462453,3.1125889328063243,3.3388267288267284,3.259417249417248,3.137522727272727,3.0938131313131314,3.1557954545454545,2.9747564935064936,2.9998977166624217,2.882947118241236,2.9879095904095907,3.061451048951049,2.9323207792207797,3.093144991582492,3.1779087224831897,3.1749630230880226,3.0667676767676766,3.145111688311688,3.30207175925926,3.298164682539683
17,TN,3.7527789802789804,3.6489666506333163,2.266666666666666,2.1818181818181817,2.2454545454545456,2.6272727272727274,2.6181818181818177,2.5090909090909097,2.136363636363636,2.290909090909091,2.1545454545454543,2.7375,3.5213966308102673,3.340371188372756,1.3,1.4636363636363638,1.4909090909090912,1.877272727272727,2.1863636363636365,2.0772727272727267,2.118181818181818,2.05,2.0454545454545454,1.804545454545455,1.8803030303030304,1.8863636363636365,1.7863636363636362,1.9375757575757573,1.8272727272727272,1.83939393939394,2.2139393939393943,1.9818181818181817,2.0363636363636366,2.03030303030303,2.018181818181818,2.0,2.051515151515152,2.176190476190476
