,State,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983
30,TX,59.56363636363637,58.23636363636364,58.3,55.5,65.17532467532467,59.77727272727273,56.35,58.78636363636363,57.44545454545455,58.95909090909092,53.46363636363638,57.05454545454546,59.5590909090909,60.89090909090909,61.13636363636363,61.71363636363636,58.93181818181818,55.90454545454546,55.49545454545456
31,WA,49.30252525252524,42.52949494949495,48.84090909090908,41.25454545454546,45.8,47.23181818181818,43.027272727272724,45.95454545454545,44.38181818181818,42.42727272727272,38.09090909090909,45.98636363636365,43.45454545454545,44.60909090909091,43.32727272727272,37.70454545454546,42.08181818181818,41.809090909090905,40.84227272727272
32,NJ,60.19999999999999,59.3,51.38181818181818,60.11818181818182,57.70909090909092,52.27272727272727,54.709090909090904,49.83636363636364,53.3090909090909,55.25454545454545,50.03636363636363,56.9,53.463636363636354,52.709090909090904,51.86363636363637,58.43636363636362,53.37499999999999,60.87344877344877,60.93269444444444
33,HI,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
34,IN,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
35,PA,54.39018181818182,55.96000000000002,53.285454545454556,56.25090909090909,53.69515151515152,47.31818181818182,46.56060606060606,46.54242424242424,47.45454545454546,53.26363636363636,48.57272727272729,52.24166666666667,53.47575757575757,56.24545454545455,55.73636363636363,73.69090909090909,63.37272727272727,63.15454545454545,58.46363636363637
36,VT,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
37,NM,73.94,69.75999999999999,71.92727272727274,73.11818181818181,71.57272727272728,72.90909090909092,76.20909090909092,75.2,74.97,70.4,75.39090909090909,84.06363636363636,87.78181818181818,80.14999999999998,70.23636363636363,61.1909090909091,71.14545454545456,71.30000000000003,60.93269444444444
38,MD,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
39,VA,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
40,NC,60.3909090909091,57.44545454545455,62.87272727272728,62.37272727272728,66.4909090909091,63.74545454545455,67.77272727272727,65.36363636363636,55.53636363636362,61.472727272727276,58.145454545454534,62.44545454545455,54.61818181818182,59.99090909090909,53.60909090909092,62.58181818181818,58.6,49.48181818181818,57.1
41,MN,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
42,AR,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,80.13000000000002,72.69999999999997,74.65454545454547,69.53333333333333,72.05454545454545,74.91111111111111
43,NV,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
44,WY,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
45,ID,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
46,UT,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,68.99,66.55454545454546,76.10000000000002,71.80909090909091,78.60909090909091,74.5909090909091,72.05454545454545,75.69090909090909,75.10909090909091,70.72727272727273,66.76363636363637,64.5909090909091
47,OR,61.81599119987757,61.24106978879707,60.87606060606061,62.13424242424243,61.58642880047641,61.63320175438596,61.363592503987235,59.63702976190477,60.76184090909091,64.00334928229665,61.32437200956937,66.31628123338648,63.738237639553425,64.74697588126159,62.99126984126985,64.58329889807163,62.83709595959596,60.87344877344877,60.93269444444444
48,MI,48.00454545454545,47.51666666666666,46.08181818181819,52.38181818181818,49.27272727272727,51.04545454545453,50.55454545454545,44.37272727272728,45.35454545454546,48.06363636363636,46.81818181818182,55.36363636363637,47.83636363636364,52.07272727272727,43.44090909090909,42.154545454545456,44.15,44.09545454545455,45.79545454545455
49,ND,58.59090909090909,57.8909090909091,68.16363636363636,64.98181818181818,65.18181818181819,62.22727272727274,59.37272727272727,52.21818181818182,58.96363636363637,56.01818181818181,51.35,58.60909090909092,58.27272727272728,61.31818181818183,64.6909090909091,66.15454545454546,64.8,63.48181818181819,63.92727272727273
