,State,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,2000,2001,2002,2003,2004,2005
0,CO,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,13354.648881673884,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
1,SC,13295.454545454546,13542.0,13107.272727272728,13646.181818181818,14223.272727272728,13262.181818181818,12288.545454545454,13412.727272727272,12970.363636363636,14057.454545454546,14064.545454545454,14718.545454545454,14519.454545454546,14610.0,13750.909090909092,14841.272727272728,14044.909090909092,12627.818181818182,14684.181818181818,14830.636363636364,15298.272727272728,14890.0,15648.090909090908,14370.272727272728,12907.0,14058.454545454546,13268.090909090908,14356.090909090908,13946.818181818182,13394.818181818182,11279.818181818182,10764.181818181818,14127.909090909092,1193.5333333333333,0.0,0.0,0.0,6008.0836776859505
2,IA,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,13354.648881673884,13170.972525252524,0.0,0.0,0.0,0.0,0.0
3,NE,14065.050505050503,15546.181818181818,14646.727272727272,15197.090909090908,13794.181818181818,14576.363636363638,13849.818181818182,10235.432900432901,13322.590909090908,15801.0,15194.590909090908,16022.863636363636,14233.090909090908,14501.030303030306,14578.060606060608,15454.787878787882,13937.884848484851,12468.727272727272,12697.333333333336,12881.646464646465,12920.350649350647,13038.272727272728,14157.909090909092,16425.20779220779,14882.155844155845,14374.675324675325,14115.090909090908,14224.722943722943,11165.683116883118,13273.75,13078.0,12714.0,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
4,KY,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,10980.25,11909.7,5052.7,3631.818181818182,0.0,0.0,6008.0836776859505
5,MO,15035.454545454546,15664.909090909092,13536.0,14304.0,12615.0,13912.363636363636,14775.545454545456,11905.318181818182,13801.090909090908,14512.090909090908,14279.727272727272,16446.272727272728,14216.454545454544,14151.818181818182,13701.818181818182,14681.454545454546,12596.454545454546,11705.454545454544,12124.363636363636,12304.954545454544,12319.136363636364,12228.227272727272,13890.272727272728,15321.636363636364,13114.590909090908,12866.136363636364,13591.727272727272,11882.227272727272,11554.181818181818,13141.136363636364,13024.174242424244,11950.5,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
6,WI,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,13354.648881673884,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
7,GA,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,13354.648881673884,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
8,SD,14170.463452708906,14052.059228650136,13857.921900826448,14307.355411255408,14168.171057513911,14191.228947368423,14152.988755980861,13833.364145021647,14035.948636363635,14648.02073365231,14044.411483253589,15161.693460925038,14662.055502392346,14821.327478870337,14495.755885384458,14946.257920110193,14353.529761904763,13931.196969696972,14139.163636363639,14635.611868686869,14571.593290043287,14255.406060606063,15147.466022727273,15288.448496240599,14123.521918432447,14647.906837280367,14402.875549613782,14482.889525507175,13691.474632034633,14542.857289562287,13889.427904040407,13354.648881673884,13170.972525252524,0.0,0.0,0.0,0.0,6008.0836776859505
