,State,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,22.44611111111111,25.413906349206343,23.28849579831933,24.847328431372556,24.447118055555553,24.388183673469392,24.980156349206357,25.98443055555556,26.024751984126983,24.49378354978355,24.817476190476192,24.87110317460317,25.70386904761905,25.5317316017316,25.727116402116398,25.959380952380954,25.14103174603175,27.05373809523809,25.293129251700677,24.78969387755102,23.981805555555553,25.392797619047624,24.56219047619048,24.125892857142855,26.108482142857145,25.04333333333333,22.462539682539678,23.40761904761905,23.021904761904764,23.669821428571428,22.90190476190476,24.45095238095239,22.888714285714286,24.80742857142857,24.811805555555555,24.133142857142854,21.694628571428577,24.376547619047624,23.69833333333333,25.039523809523807,24.723452380952377,25.31333333333333,22.81,26.66666666666667,24.6225,24.43666666666667,26.4146,25.97183333333333,25.14725,25.211722222222214,25.204166666666666,25.180000000000003,22.15,22.655,26.97623907775231,27.161797473214875,26.31189700176367,27.735833333333336,28.26233333333333
1,SC,23.350619637494635,27.708571428571428,28.56258928571428,29.278,26.834444444444447,28.625000000000004,29.42375,31.14,31.034285714285712,30.58142857142857,30.012857142857147,29.325714285714287,29.69833333333333,27.728571428571428,28.654285714285717,29.75,22.09,27.19,25.6599677049627,15.83,26.363141235215746,26.352007585685506,26.004561463095136,28.255,26.23983086344411,26.113868422442216,26.316580369542585,25.3,26.68806035359846,25.576001580860968,26.05690144188004,19.78,26.64120608109106,26.79000000000001,29.721666666666664,27.57,31.716,30.54,29.352,27.6825,26.706,29.1225,27.195589364303153,27.149559472687145,27.13394677340011,25.959227142599467,26.382610306771426,26.855539104678694,27.108922149911812,26.87122366329966,26.806752326118325,26.479616002660535,27.345583287237453,27.38351127188843,22.9575,23.47090909090909,20.48,23.021818181818183,29.231764904572945
2,IA,25.135,28.98466666666667,26.802523809523805,26.999693877551017,25.035793650793646,25.74007936507937,27.009888888888888,26.64033333333333,26.823892857142855,26.057523809523808,26.384047619047607,25.092202380952376,26.10494047619048,24.020452380952378,25.18836904761905,26.3208253968254,26.27,28.29546666666667,28.6896,27.3936,27.337277777777768,27.29138888888889,25.745142857142852,26.476857142857128,27.239841269841275,27.92768253968254,26.395773809523806,26.38909523809524,25.86238095238095,25.87066666666667,25.073412698412696,27.772222222222233,26.688547619047608,26.201214285714286,27.929166666666664,28.117089285714286,27.129166666666666,28.24166666666667,28.061190476190475,25.65142857142857,26.80833333333333,27.62614285714286,29.628750000000004,28.705714285714286,29.667500000000004,28.302857142857146,25.6025,26.855539104678694,27.108922149911812,26.87122366329966,26.806752326118325,26.479616002660535,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
3,NE,24.64033333333333,26.792075630252103,25.91887936507937,26.61570684523809,26.297392063492065,27.078803030303035,27.640957482993198,27.075261904761906,27.336880952380948,27.2028537414966,27.17400170068027,26.673623809523807,27.743257142857146,28.36255555555556,28.15240306122449,27.95803174603175,26.601944444444445,27.432261904761905,26.288092592592587,26.524185185185186,28.348523809523808,26.452720238095235,28.39623809523809,28.0008492063492,28.246444444444442,28.961861111111112,28.56144444444445,27.82488888888889,31.896,26.53238888888889,28.312305555555554,27.908,31.305100000000003,28.24033333333333,28.423333333333336,28.885,31.299800000000005,33.489583333333336,27.22866666666667,32.06472222222221,29.058166666666665,23.31900000000001,28.850666666666665,28.96125,30.7315,29.713125,28.17733333333333,28.864,31.71533333333333,27.974,27.43,26.479616002660535,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
4,KY,26.825,28.9125,27.83457142857143,27.55026190476191,26.95583333333333,28.07041666666667,28.96083333333333,30.055476190476192,30.322678571428572,26.985619047619053,27.768809523809534,28.05419047619048,28.691746031746028,27.75087301587301,29.340714285714284,27.64142857142857,26.63642857142857,26.66866666666667,28.59595238095239,28.63916666666667,28.32007936507937,27.69051587301588,27.87722222222222,28.98614285714286,29.12942857142857,27.766904761904765,27.73,27.51928571428572,31.06125,27.81946428571429,31.748214285714283,39.1,29.51,29.016666666666666,26.974285714285717,26.899519095632645,26.619270088068898,27.182685670862057,27.135224686545282,27.11187958971467,28.9825,28.75,28.710000000000004,28.349000000000004,30.517142857142854,30.21,28.322857142857146,30.648571428571444,29.86285714285714,30.004285714285718,27.89428571428572,28.00142857142857,29.272857142857127,31.44857142857143,31.376666666666665,29.825,30.457142857142863,29.712857142857146,32.204
5,MO,24.852222222222213,26.493000000000002,28.220595238095235,26.47934523809524,26.82857142857143,28.340000000000003,27.982888888888887,28.41821428571428,28.430571428571433,29.90203333333334,28.975365079365076,27.41485952380952,29.06722222222221,27.79725,28.19242857142857,28.914603174603176,25.82600276121411,27.70333333333333,25.964285714285715,27.84166666666667,27.321666666666665,29.525,20.696666666666676,28.028666666666666,27.39833333333333,28.574,26.536,29.91650000000001,30.44375,29.30333333333333,29.599,28.407630952380966,29.17857142857143,27.699666666666666,27.68998571428572,30.25141666666667,29.535818452380948,28.915972222222226,29.444875,24.75125,28.686,23.827625,25.322404761904764,28.88585714285714,29.15458333333333,25.959227142599467,26.92625,26.855539104678694,24.243125,24.712962962962962,17.84,26.52,27.49288888888889,26.24019047619048,25.159523809523808,17.557767857142856,27.29714285714286,22.10416666666667,19.1125
6,WI,18.8,26.510205525176605,24.78833333333333,25.536,24.748,23.72041666666667,24.495,24.463166666666666,24.531666666666666,25.3395,26.968000000000004,25.754,26.332,25.62983333333333,25.42466666666667,25.66875,25.44,23.421,23.35883333333333,22.62333333333333,24.063000000000002,22.75708333333333,24.08283333333333,24.08775,24.865,27.97625,25.70625,28.805,27.70625,24.204666666666668,25.71733333333333,24.403333333333336,27.86541666666667,26.2525,25.59,29.425,27.3825,26.320000000000004,29.286666666666665,28.61,25.59333333333333,22.7,24.76,27.04000000000001,26.106666666666666,25.959227142599467,26.382610306771426,26.855539104678694,27.108922149911812,26.87122366329966,26.806752326118325,26.479616002660535,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
7,GA,25.207777777777785,28.39357142857143,27.03444444444445,30.33160714285714,26.747070707070712,28.18125,25.91909090909091,21.74413636363636,26.066161904761906,25.922090909090908,26.152929292929286,24.10159090909091,25.801565656565657,25.29789141414141,28.32948412698413,29.908188888888887,26.11846428571429,26.835,27.296777777777766,28.30289682539683,27.819630952380948,28.687276190476194,28.88091269841269,28.854086850649352,28.68334415584416,27.00638798701298,26.459776785714283,27.373293650793656,27.015625,24.936262626262625,26.390476190476193,29.214533333333332,29.32428571428572,28.696785714285717,28.082,26.222,24.74,29.355,27.135224686545282,27.11187958971467,27.055188019979514,26.396516123621165,27.195589364303153,27.149559472687145,27.13394677340011,25.959227142599467,26.382610306771426,26.855539104678694,27.108922149911812,26.87122366329966,26.806752326118325,26.479616002660535,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
8,SD,22.446,24.683888888888887,24.283222222222232,26.306653061224488,24.93081632653061,24.98186309523809,28.1648125,28.16452083333333,27.00294940476191,27.04933333333333,26.68739417989418,25.86468253968254,26.03625925925926,27.043809523809525,27.098452380952377,25.645,25.423875,26.6054,26.678285714285717,27.240200000000005,25.40425238095238,24.923333333333336,26.461357142857146,25.409349206349212,27.54405555555555,27.16426666666667,27.20490476190476,27.510539682539683,28.02744444444444,25.136111111111113,25.35527777777777,26.427277777777785,27.368777777777787,26.98873015873016,27.32633333333333,28.067142857142862,27.95119047619048,29.05083333333333,29.263333333333332,29.27333333333333,26.425,31.60142857142857,35.575,35.70533333333333,34.650999999999996,30.826999999999998,33.014,26.93666666666667,25.32144444444444,31.69,24.99666666666667,29.8625,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
9,WV,23.350619637494635,26.510205525176605,26.736547619047624,24.937142857142852,24.943452380952376,25.483571428571423,28.230357142857148,26.46666666666667,24.08,25.38333333333333,27.94,29.9,25.965,25.777985050666754,26.45575413262852,24.051666666666666,26.31388888888889,28.32420833333334,26.29944444444445,26.053880952380954,25.46642857142857,23.79000000000001,25.218253968253965,26.407142857142862,27.101507936507932,27.79761904761905,25.156,27.66666666666667,28.54833333333333,27.28,31.3475,32.1,26.64120608109106,26.419505035890033,26.01405728845728,26.899519095632645,26.619270088068898,27.182685670862057,27.135224686545282,27.11187958971467,27.055188019979514,26.396516123621165,27.195589364303153,27.149559472687145,27.13394677340011,25.959227142599467,26.382610306771426,26.855539104678694,27.108922149911812,26.87122366329966,26.806752326118325,26.479616002660535,27.345583287237453,27.38351127188843,26.97623907775231,27.161797473214875,26.31189700176367,26.750134990928192,29.231764904572945
