,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,,,,,,,,,,,,,,,,,,,,2.27,2.3600000000000003,,,,,,,,,3.2750000000000004,4.27,4.409090909090908,4.5636363636363635,3.137348484848485,3.2846195286195288,3.2707272727272727,3.3194805194805186,3.3624242424242423,3.053320707070707,3.0270202020202017,3.8296969696969696,4.427940115440116,6.792424242424243,7.240954785954787,7.217165775401069,4.475989304812835,4.967748917748918,4.036289081289082,3.8361776859504135,4.685982880755609,3.660642292490118,12.44842309651133,8.507165350988878,2.2127946127946125,2.1181896344396347,2.616833166833167,2.7107809523809516
1,SC,,,,,,,,,,,,,,,,,,,,,,,,,3.054545454545455,3.227272727272727,2.793939393939394,3.009090909090909,3.0318181818181817,3.0363636363636366,2.8,2.8227272727272723,3.086363636363637,3.177272727272727,3.163636363636364,3.3318181818181816,3.0,2.9136363636363636,2.431414141414142,2.7166391184573,2.707740037740038,2.6681818181818184,2.7863636363636357,2.7231168831168837,2.6951048951048953,2.764335664335664,2.639610389610389,2.717532467532468,2.8992784992785,2.557142857142857,2.3344155844155847,2.551948051948052,2.2993506493506493,2.4915584415584413,2.6952380952380954,2.6674675324675325,2.693506493506493,2.658831168831169,2.6803896103896103,2.6089610389610387,2.6402597402597405,2.6979591836734693
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,,4.1364898989899,4.617190082644629,4.628925619834711,4.553719008264463,4.696694214876033,4.540495867768595,4.595041322314049,4.419834710743801,4.4702479338842975,4.4846280991735545,4.405041322314049,4.226446280991735,4.1710743801652885,4.2113131313131325,4.107727272727272,4.259090909090909,4.496363636363637,4.323674242424242,4.3873737373737365,4.284848484848484,4.062727272727273,4.244318181818183,4.25469696969697,4.000892857142857
3,NE,,,,,,,,,,,,,,,,,,,,,,,,,4.573737373737374,4.573737373737373,4.3171717171717185,4.256565656565656,4.641414141414142,4.362626262626263,4.485858585858586,4.497979797979798,4.306060606060607,3.778787878787879,3.760727272727273,4.58,4.547727272727274,4.340909090909092,4.363092463092462,4.542337662337663,4.5925252525252525,4.4409090909090905,4.711616161616161,4.455555555555557,4.446464646464647,4.535858585858588,4.531313131313131,4.477777777777779,4.5849494949494956,4.2242424242424255,4.312626262626264,4.128335301062574,4.239090909090908,4.268398268398268,4.7155844155844155,4.308838383838384,4.547626262626261,4.423636363636363,4.369949494949497,4.3783838383838365,4.546212121212121,4.353650793650794
4,KY,,,,,,,,,,,,,,,,,,,,,,,,,3.372727272727273,3.3363636363636364,3.036363636363636,3.2363636363636363,3.2909090909090906,3.027272727272727,3.2909090909090915,3.145454545454545,2.9909090909090907,2.972727272727273,3.0454545454545454,2.8636363636363638,2.4363636363636365,2.2,2.2464646464646463,2.5181818181818185,2.431060606060606,2.4242424242424243,2.475757575757576,2.333333333333333,2.372727272727273,2.190909090909091,2.0454545454545454,2.0484848484848484,2.188181818181818,2.075757575757576,1.9424242424242424,2.1303030303030304,1.8606060606060608,1.984848484848485,2.2606060606060603,2.136363636363636,2.109090909090909,2.2484848484848485,2.254545454545455,2.2212121212121207,2.187878787878788,2.1809523809523808
5,MO,,,,,,,,,,,,,,,,,,,,,,,,,4.563636363636364,4.469696969696969,4.387878787878788,4.364393939393938,4.414646464646465,4.412121212121213,4.463636363636363,4.206060606060606,4.072727272727273,4.235690235690235,4.078787878787879,4.031060606060606,4.468181818181818,4.168181818181819,3.4424963924963925,3.722459893048129,3.711704545454545,3.6011363636363636,3.6297682709447407,3.588770053475936,3.7086096256684487,3.4823529411764707,3.608021390374331,3.433475935828877,3.5533689839572187,3.469625668449198,3.3155080213903743,3.3907024793388434,3.1341794569067303,3.2414841597796142,3.2614306328592044,3.296796536796537,3.1527646595828416,3.307078905942542,3.215194805194806,3.1865254820936646,3.200013670539987,3.296867167919799
6,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6262731481481487,3.6558663558663564,3.4797607655502403,3.4521531100478464,3.559808612440192,3.4507177033492824,3.4688995215311005,3.2602870813397127,3.2555555555555564,3.3464646464646464,3.2277777777777787,3.141786283891547,3.0518660287081336,3.2157894736842105,3.114832535885167,3.199043062200957,3.433157894736841,3.4632535885167464,3.3669856459330143,3.4593301435406696,3.29933014354067,3.3461244019138747,3.3555023923444973,3.1490225563909777
7,GA,,,,,,,,,,,,,,,,,,,,,,,,,2.6727272727272724,2.4111111111111114,2.209090909090909,2.6272727272727274,2.6727272727272724,2.7818181818181817,2.872727272727273,2.6818181818181817,2.5363636363636366,2.5909090909090917,2.975,,,,2.175,2.3484848484848486,2.186038961038961,2.2854545454545456,2.468954545454546,2.267272727272727,2.452272727272727,2.435454545454546,2.349545454545455,2.2568181818181814,2.3427272727272728,2.2568181818181814,2.1022727272727275,2.245909090909091,2.1340909090909093,2.2136363636363643,2.082272727272727,2.3113636363636365,2.3536363636363635,2.3347727272727274,2.342136363636364,2.3518181818181816,2.445,2.3769047619047616
8,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.308118386243387,4.5465202020202025,4.757575757575757,4.5630303030303025,4.8466666666666685,4.650303030303031,4.713333333333334,4.7428484848484835,4.639285714285714,4.65020202020202,4.691666666666666,4.357993265993267,4.374060606060606,4.454060606060606,4.458787878787878,4.485454545454545,4.8222077922077915,4.469480519480519,4.8343506493506485,4.633376623376624,4.4246753246753245,4.517532467532468,4.50787878787879,4.503809523809523
9,WV,,,,,,,,,,,,,,,,,,,,,,,,,3.4454545454545453,3.6363636363636367,3.336363636363637,3.4090909090909087,3.4863636363636363,2.9,3.190909090909092,3.145454545454545,3.0681818181818183,3.231818181818182,3.2909090909090915,3.377272727272727,2.672727272727273,2.5409090909090906,2.6233405483405483,3.076623376623377,3.064772727272727,3.013636363636364,3.1499999999999995,2.935227272727273,2.8374999999999995,2.7965909090909093,2.9545454545454546,2.7397727272727272,2.91125,2.8579545454545454,2.7136363636363634,2.8192929292929296,2.5864646464646466,2.8151515151515154,3.1047619047619053,2.934949494949495,2.986868686868687,3.0939393939393947,2.9724242424242417,2.8995959595959597,2.9280583613916944,2.7219047619047627
