,State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,78.05454545454545,69.86363636363636,61.225,,,,,,,,,,,,
1,SC,,,,,,58.85454545454545,59.6,57.93636363636363,60.11818181818182,62.81818181818181,59.0,54.51818181818181,58.62727272727273,58.04545454545455,62.43636363636363,62.1,65.35454545454546,63.98181818181819,64.60000000000001,60.95454545454545,65.12727272727273,62.43636363636365,55.49090909090909,64.30000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NE,,,,,,61.91447811447811,67.31212121212121,64.37878787878788,65.13636363636364,59.61818181818182,63.36969696969695,59.6151515151515,47.521428571428565,56.85227272727272,68.60227272727272,65.15681818181818,69.91590909090908,63.02121212121213,62.62121212121211,63.74848484848484,66.62121212121212,60.912323232323246,54.7969696969697,54.073737373737366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,MO,,,,,,65.77272727272728,68.24545454545455,59.04090909090909,61.97272727272727,57.83316498316498,60.5,63.71818181818182,53.96401515151516,59.33636363636364,62.95454545454545,60.89090909090909,72.23181818181818,61.96363636363637,60.70454545454545,60.46818181818182,63.38636363636363,55.67272727272727,51.00909090909092,51.61818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
